,COF ID,k_avg [W/(mK)],k_x [W/(mK)],k_y [W/(mK)],Density [g/cm³],Largest included sphere diameter [A],Void fraction [-],Surface area [m^2/g],Dangling Mass Ratio [-]
0,linker98_C_linker13_C_htb_relaxed,0.6585799715883606,0.666114463502747,0.6510454796739742,0.57002001,27.55157,0.83657,5940.11,
1,linker97_N_linker64_CH_sql_relaxed,0.5862245629863211,0.6036957287215421,0.5687533972511001,0.40629161,30.53803,0.917898,7780.93,0.157399104
2,linker98_N_linker61_CH_sql_relaxed,0.5980888703471164,0.5923323524413915,0.6038453882528414,0.49236533,22.82675,0.891577,7212.4,0.158025082
3,linker97_CH_linker79_N_sql_relaxed,0.5507758818127471,0.5509049847628336,0.5506467788626607,0.42427702,30.12726,0.908298,7610.66,
4,linker95_C_linker30_C_hnb_relaxed,0.5535811233218095,0.5275512217894883,0.5796110248541307,0.26470128,55.16267,0.951922,9493.52,0.049350802
5,linker91_C_linker28_C_hnb_relaxed,0.5192438809264326,0.5213631568493585,0.5171246050035067,0.45377525,25.87162,0.886006,6446.0,0.192821765
6,linker95_C_linker76_C_hnb_relaxed,0.5626053046161241,0.5664917629583499,0.5587188462738985,0.3109788,44.55051,0.944385,9329.57,0.04851898
7,linker91_C_linker62_C_htb-a_relaxed,1.192170504823883,1.1958709068003963,1.18847010284737,1.0160431,24.4714,0.856029,5638.92,0.174226405
8,linker104_C_linker64_C_kgm_relaxed,0.6883275022001651,0.6670500425362277,0.7096049618641026,0.77510694,17.24117,0.789619,4239.18,0.305143265
9,linker108_CO_linker51_NH_sql_relaxed,1.266911155320717,1.3465745354103151,1.1872477752311188,1.1942891,9.38247,0.743196,4257.65,0.375732784
10,linker97_CH_linker18_N_sql_relaxed,0.5200397518020705,0.522603887778199,0.5174756158259419,0.39607638,31.48881,0.916079,7575.55,0.254285379
11,linker92_C_linker67_C_fss_relaxed,1.0863768181116948,1.1015892264074856,1.0711644098159043,1.084549,12.84647,0.803691,5531.53,0.278019805
12,linker94_CO_linker77_NH_hcb_relaxed,0.6141489587896527,0.602294287024468,0.6260036305548374,0.41993908,30.74739,0.926537,8722.39,0.158085945
13,linker100_C_linker10_C_kgm_relaxed,0.7071253030896922,0.6853106564308304,0.728939949748554,0.7941145,16.44316,0.733116,3423.09,0.439569797
14,linker92_C_linker18_C_tts-a_relaxed,0.4386714350414488,0.442081485233814,0.4352613848490836,0.59527921,24.49877,0.807901,4909.13,0.403698647
15,linker98_C_linker76_C_kgm_relaxed,1.055823682966822,1.1041438192418922,1.007503546691752,0.5017376,29.60803,0.891428,7150.37,0.197792406
16,linker92_N_linker10_CH_fxt_relaxed,0.4199332767263547,0.4181514475436296,0.4217151059090799,0.67976364,41.33137,0.883045,6077.26,0.403236896
17,linker109_C_linker2_C_sql_relaxed,1.183071623564111,1.2178306272014057,1.1483126199268163,0.74395068,9.0042,0.575808,3126.8,0.112245978
18,linker94_C_linker47_C_kgd-a_relaxed,0.8758356472713891,0.8734830360016903,0.878188258541088,0.58607375,26.00984,0.894211,6081.61,0.290834538
19,linker92_N_linker7_CH_tts-a_relaxed,0.5243630387780711,0.5171883363130724,0.5315377412430699,0.6502371,26.67889,0.869037,7626.66,0.173424116
20,linker93_C_linker2_C_hcb_relaxed,0.827451371941791,0.8775970510147563,0.7773056928688257,0.437193,20.50155,0.876227,7463.78,0.107248343
21,linker109_CO_linker40_NH_sql_relaxed,0.5027972549098721,0.49425226791743,0.5113422419023144,0.57101488,14.43683,0.79233,4884.36,0.170738177
22,linker95_C_linker60_C_hnb_relaxed,0.4289558648776731,0.4321375004093445,0.4257742293460017,0.31990279,44.34763,0.929939,8673.81,0.122601375
23,linker95_CO_linker88_NH_hcb_relaxed,0.49273627606761905,0.4814478885177897,0.5040246636174484,0.34559901,39.9826,0.93799,8607.65,0.187648001
24,linker95_NH_linker8_CO_hcb_relaxed,0.42464362311105985,0.4106954413530587,0.4385918048690611,0.38287233,40.00758,0.933536,7636.84,0.280669886
25,linker92_C_linker64_C_hnc_relaxed,1.2822194923072452,1.2839800435527284,1.2804589410617622,1.0664624,12.1803,0.835711,6509.48,0.205208013
26,linker91_CO_linker4_NH_fxt_relaxed,0.4272108842093261,0.4303784371453703,0.424043331273282,0.62939735,39.2937,0.884803,6374.43,0.318114921
27,linker105_N_linker36_CH_sql_relaxed,0.9021341118422631,0.9066654550025371,0.8976027686819891,0.81465219,13.25995,0.877575,7635.72,0.122307923
28,linker92_C_linker78_C_hcb_relaxed,1.867311293271483,1.7327622816061774,2.001860304936789,1.0743829,10.76479,0.810671,6476.96,0.205218647
29,linker91_C_linker10_C_hcb_relaxed,2.1634301824575966,2.075221330578473,2.25163903433672,1.2754017,11.77894,0.760582,3287.76,0.431058828
30,linker94_C_linker9_C_hnb_relaxed,0.6554763946186837,0.6384566541358877,0.6724961351014795,0.37471478,32.55268,0.907737,8147.91,0.1376139
31,linker91_C_linker25_C_hna_relaxed,0.6846887012385926,0.6557938214840526,0.7135835809931326,0.75763855,17.98229,0.84427,6183.56,0.326951664
32,linker94_C_linker37_C_hca_relaxed,0.35833959335299026,0.3703719180412917,0.3463072686646888,0.31247011,66.98253,0.943151,6927.96,0.237716779
33,linker108_CO_linker67_NH_kgm_relaxed,1.2296974910319893,1.2800542136190451,1.1793407684449335,1.0375664,18.80209,0.847602,5543.81,0.271260373
34,linker97_CH2_linker84_NH_kgm_relaxed,0.39423305803796804,0.4031855448816315,0.3852805711943046,0.34359367,46.22841,0.920721,8220.14,0.145318311
35,linker96_C_linker64_C_hca_relaxed,0.5569514459026811,0.5655070551924282,0.548395836612934,0.37310478,51.1923,0.936666,7589.16,
36,linker93_CH_linker6_N_hcb_relaxed,0.33685489301999055,0.3441726138029185,0.3295371722370626,0.43494945,27.63341,0.897095,6649.07,0.272758713
37,linker94_C_linker74_C_hcb_relaxed,0.9490484935169291,0.9305397200910368,0.9675572669428214,0.56501742,24.91151,0.889358,6907.95,
38,linker98_N_linker71_CH_sql_relaxed,0.6545559735186789,0.664545739744612,0.6445662072927458,0.52425452,22.20645,0.883826,6800.35,0.193293693
39,linker97_CH2_linker53_NH_sql_relaxed,0.46293834604594136,0.4582793573238535,0.4675973347680292,0.43671496,28.84318,0.888873,6858.96,0.26781086
40,linker95_C_linker4_C_hnb_relaxed,0.35217029822005425,0.3768501221156806,0.3274904743244279,0.31471607,44.13113,0.933071,8454.65,0.168184494
41,linker97_CH_linker16_N_kgm_relaxed,0.4793592029069311,0.4715281128188563,0.487190292995006,0.30900238,53.82352,0.930176,8332.23,0.166697173
42,linker94_C_linker88_C_hnb_relaxed,0.6996478332084803,0.703702368038311,0.6955932983786498,0.4020722,34.15274,0.919061,7774.39,0.148573233
43,linker108_C_linker85_C_kgm_relaxed,1.119039618582101,1.0615597996429496,1.1765194375212524,0.69089285,15.31298,0.776705,4570.83,0.214744803
44,linker92_N_linker7_CH_hne_relaxed,0.5285649439470139,0.5327784792036979,0.5243514086903299,0.65597299,21.79056,0.865555,7709.74,0.170793055
45,linker105_CH_linker30_N_krr_relaxed,0.9676269441557837,0.9375220741672248,0.9977318141443424,0.64467364,27.90496,0.897847,8102.17,0.090497239
46,linker94_C_linker49_C_hca_relaxed,0.5218770275730962,0.515596625354142,0.5281574297920505,0.37520495,50.28988,0.926654,6810.06,0.226024734
47,linker109_CO_linker32_NH_sql_relaxed,0.4820268102551254,0.4729603084319127,0.491093312078338,0.4896788,15.5968,0.771478,5187.92,0.182495014
48,linker95_C_linker78_C_hnb_relaxed,0.4191258539278196,0.4276369494040258,0.4106147584516134,0.3276657,42.85034,0.934309,8802.05,0.127345268
49,linker97_N_linker24_CH_sql_relaxed,0.481489802317504,0.4835447864612832,0.4794348181737248,0.37309449,33.28933,0.920067,7505.82,0.206462129
50,linker92_C_linker32_C_kgd-a_relaxed,0.5896390906096216,0.5987851292215111,0.580493051997732,0.52524252,20.11998,0.875941,7303.68,0.157327973
51,linker105_N_linker78_CH_kgm_relaxed,0.7214898390050108,0.7245891487954065,0.7183905292146153,0.8545909,24.08336,0.857343,6320.04,0.209606659
52,linker93_C_linker20_C_hca_relaxed,0.2504414522372097,0.2529675165703087,0.2479153879041107,0.20674464,60.4071,0.926916,8105.34,0.57844233
53,linker91_N_linker12_CH_hnb_relaxed,0.45560149410075895,0.4524724742662377,0.4587305139352802,0.69943588,24.8655,0.879029,5965.99,
54,linker91_C_linker88_C_hne_relaxed,1.6298003830305556,1.612556749710562,1.647044016350549,1.1888801,12.43385,0.839699,5909.72,0.225001873
55,linker91_C_linker4_C_fxt_relaxed,0.6216865599253041,0.6161342915485521,0.627238828302056,0.7646329,22.56161,0.839754,5359.13,0.283190185
56,linker98_N_linker41_CH_sql_relaxed,0.6336384914632021,0.6451908372080074,0.6220861457183966,0.51872288,22.94832,0.895561,6903.27,0.216728354
57,linker92_C_linker50_C_tts-a_relaxed,0.8892360988335486,0.8854167523457491,0.893055445321348,0.82108551,15.04793,0.689774,3192.58,0.30549438
58,linker97_CH_linker85_N_sql_relaxed,0.5681817595040034,0.5685877116847475,0.5677758073232593,0.43361671,30.01248,0.912566,7730.38,0.182487783
59,linker98_N_linker71_CH_kgm_relaxed,0.5085832612274326,0.5028364666505762,0.5143300558042888,0.47710576,36.72772,0.896384,6741.58,
60,linker98_C_linker4_C_kgm_relaxed,0.8431388013156522,0.8631700444545812,0.8231075581767233,0.55037322,28.7919,0.880506,6287.72,
61,linker95_NH_linker38_CH2_hcb_relaxed,0.31803067097302395,0.3192751952835536,0.3167861466624944,0.30390903,48.23195,0.944018,8441.15,
62,linker107_C_linker30_C_kgm_relaxed,0.7822726849776251,0.7728834134582431,0.7916619564970073,0.56078447,23.48147,0.866523,7042.64,0.098605272
63,linker97_C_linker34_C_kgm_relaxed,0.5942541976250463,0.5870642485337257,0.6014441467163668,0.38208316,44.1014,0.917269,7316.08,0.242396765
64,linker97_N_linker76_CH_sql_relaxed,0.6583915964718318,0.6595724425812713,0.6572107503623922,0.3881035,31.14418,0.922558,8330.46,0.106558712
65,linker104_N_linker68_CH_kgm_relaxed,0.6727357263566929,0.6934124924935411,0.6520589602198448,0.90936034,20.94352,0.856034,6153.72,0.295734507
66,linker98_CH_linker61_N_kgm_relaxed,0.4647964080785093,0.4607571498726568,0.4688356662843618,0.44867367,37.99315,0.905704,7266.97,0.177226128
67,linker92_C_linker77_C_kgd-a_relaxed,0.9578485457885586,0.9753896745427052,0.940307417034412,0.66574033,12.58554,0.821866,6745.25,0.127032027
68,linker97_CH_linker67_N_kgm_relaxed,0.4916528621711529,0.4908514549690841,0.4924542693732217,0.38271948,48.23374,0.926145,7802.99,0.185031822
69,linker96_C_linker7_C_hcb_relaxed,1.0861233378247126,1.0654329360248,1.1068137396246251,0.49943053,24.27072,0.892495,7671.11,0.130194822
