# Frequency (THz), VDOS (THz^-1)
0.00000, -1.18117e-03
0.20000, 1.12210e-03
0.40000, -9.67841e-04
0.60000, 7.77014e-04
0.80000, -6.15116e-04
1.00000, 5.19594e-04
1.20000, -4.82991e-04
1.40000, 4.67859e-04
1.60000, -4.38947e-04
1.80000, 3.84585e-04
2.00000, -3.14305e-04
2.20000, 2.43600e-04
2.40000, -1.83157e-04
2.60000, 1.37459e-04
2.80000, -1.06200e-04
3.00000, 8.44796e-05
3.20000, -6.45962e-05
3.40000, 4.10620e-05
3.60000, -1.46990e-05
3.80000, -8.73152e-06
4.00000, 2.44381e-05
4.20000, -3.32537e-05
4.40000, 4.05037e-05
4.60000, -5.11784e-05
4.80000, 6.72112e-05
5.00000, -8.79965e-05
5.20000, 1.10397e-04
5.40000, -1.28483e-04
5.60000, 1.37631e-04
5.80000, -1.40718e-04
6.00000, 1.46538e-04
6.20000, -1.59172e-04
6.40000, 1.71569e-04
6.60000, -1.72695e-04
6.80000, 1.59474e-04
7.00000, -1.39211e-04
7.20000, 1.21664e-04
7.40000, -1.11524e-04
7.60000, 1.08037e-04
7.80000, -1.08377e-04
8.00000, 1.09351e-04
8.20000, -1.07348e-04
8.40000, 9.94543e-05
8.60000, -8.55890e-05
8.80000, 6.88011e-05
9.00000, -5.29697e-05
9.20000, 4.04090e-05
9.40000, -3.13706e-05
9.60000, 2.47904e-05
9.80000, -1.90488e-05
10.00000, 1.27489e-05
10.20000, -5.66831e-06
10.40000, -9.28557e-07
10.60000, 5.33787e-06
10.80000, -7.09452e-06
11.00000, 7.63945e-06
11.20000, -9.21432e-06
11.40000, 1.30761e-05
11.60000, -1.89570e-05
11.80000, 2.62663e-05
12.00000, -3.51923e-05
12.20000, 4.58209e-05
12.40000, -5.62998e-05
12.60000, 6.29450e-05
12.80000, -6.30127e-05
13.00000, 5.75579e-05
13.20000, -5.15141e-05
13.40000, 5.04052e-05
13.60000, -5.55718e-05
13.80000, 6.16533e-05
14.00000, -5.97546e-05
14.20000, 4.50698e-05
14.40000, -2.20558e-05
14.60000, 1.62850e-06
14.80000, 6.31969e-06
15.00000, 2.74678e-06
15.20000, -2.74102e-05
15.40000, 5.52221e-05
15.60000, -5.01315e-05
15.80000, -5.23274e-05
16.00000, 3.17553e-04
16.20000, -7.50509e-04
16.40000, 1.24518e-03
16.60000, -1.60886e-03
16.80000, 1.67351e-03
17.00000, -1.41538e-03
17.20000, 9.74013e-04
17.40000, -5.49449e-04
17.60000, 2.74988e-04
17.80000, -1.75130e-04
18.00000, 2.16056e-04
18.20000, -3.68461e-04
18.40000, 6.15358e-04
18.60000, -9.08337e-04
18.80000, 1.12789e-03
19.00000, -1.10699e-03
19.20000, 7.31957e-04
19.40000, -5.76407e-05
19.60000, -6.72744e-04
19.80000, 1.15574e-03
20.00000, -1.21999e-03
20.20000, 9.23908e-04
20.40000, -4.82963e-04
20.60000, 1.07851e-04
20.80000, 1.05138e-04
21.00000, -1.71553e-04
21.20000, 1.53180e-04
21.40000, -1.05402e-04
21.60000, 6.64045e-05
21.80000, -6.80677e-05
22.00000, 1.38166e-04
22.20000, -2.83705e-04
22.40000, 4.71530e-04
22.60000, -6.32806e-04
22.80000, 6.99333e-04
23.00000, -6.45026e-04
23.20000, 4.95421e-04
23.40000, -3.00586e-04
23.60000, 1.03713e-04
23.80000, 6.71059e-05
24.00000, -1.91021e-04
24.20000, 2.54120e-04
24.40000, -2.62705e-04
24.60000, 2.52539e-04
24.80000, -2.75925e-04
25.00000, 3.69785e-04
25.20000, -5.28164e-04
25.40000, 7.01090e-04
25.60000, -8.19372e-04
25.80000, 8.27054e-04
26.00000, -7.09295e-04
26.20000, 5.13341e-04
26.40000, -3.47686e-04
26.60000, 3.35284e-04
26.80000, -5.31704e-04
27.00000, 8.71458e-04
27.20000, -1.20187e-03
27.40000, 1.38589e-03
27.60000, -1.37984e-03
27.80000, 1.21704e-03
28.00000, -9.40584e-04
28.20000, 5.82485e-04
28.40000, -2.00042e-04
28.60000, -1.14600e-04
28.80000, 2.90281e-04
29.00000, -3.29477e-04
29.20000, 2.87863e-04
29.40000, -2.05726e-04
29.60000, 6.91141e-05
29.80000, 1.62710e-04
30.00000, -4.98803e-04
30.20000, 8.88654e-04
30.40000, -1.24590e-03
30.60000, 1.48744e-03
30.80000, -1.55105e-03
31.00000, 1.40203e-03
31.20000, -1.05100e-03
31.40000, 5.64521e-04
31.60000, -4.00022e-05
31.80000, -4.37422e-04
32.00000, 8.11498e-04
32.20000, -1.04171e-03
32.40000, 1.10038e-03
32.60000, -9.97104e-04
32.80000, 7.95076e-04
33.00000, -5.83951e-04
33.20000, 4.27023e-04
33.40000, -3.32399e-04
33.60000, 2.69911e-04
33.80000, -2.09251e-04
34.00000, 1.42741e-04
34.20000, -8.09097e-05
34.40000, 3.59567e-05
34.60000, -1.14900e-05
34.80000, 2.85126e-06
35.00000, -2.14962e-06
35.20000, 3.22668e-06
35.40000, -4.97262e-06
35.60000, 1.09200e-05
35.80000, -2.41492e-05
36.00000, 4.17062e-05
36.20000, -5.48161e-05
36.40000, 5.55242e-05
36.60000, -4.32622e-05
36.80000, 2.48759e-05
37.00000, -8.68232e-06
37.20000, -1.20909e-06
37.40000, 5.69464e-06
37.60000, -7.58894e-06
37.80000, 8.46018e-06
38.00000, -7.73276e-06
38.20000, 3.94285e-06
38.40000, 3.34432e-06
38.60000, -1.28882e-05
38.80000, 2.37265e-05
39.00000, -3.93605e-05
39.20000, 7.19106e-05
39.40000, -1.41669e-04
39.60000, 2.64754e-04
39.80000, -4.25493e-04
40.00000, 5.49947e-04
40.20000, -5.19386e-04
40.40000, 2.46701e-04
40.60000, 2.29025e-04
40.80000, -7.26443e-04
41.00000, 1.02973e-03
41.20000, -1.03974e-03
41.40000, 8.30363e-04
41.60000, -5.59770e-04
41.80000, 3.25590e-04
42.00000, -9.75209e-05
42.20000, -2.20526e-04
42.40000, 6.66142e-04
42.60000, -1.15043e-03
42.80000, 1.50673e-03
43.00000, -1.60396e-03
43.20000, 1.41792e-03
43.40000, -1.01335e-03
43.60000, 4.87715e-04
43.80000, 5.90755e-05
44.00000, -5.33732e-04
44.20000, 8.75435e-04
44.40000, -1.08546e-03
44.60000, 1.20905e-03
44.80000, -1.27228e-03
45.00000, 1.24753e-03
45.20000, -1.09395e-03
45.40000, 8.23511e-04
45.60000, -5.13115e-04
45.80000, 2.52867e-04
46.00000, -9.02681e-05
46.20000, 1.92665e-05
46.40000, -7.20054e-06
46.60000, 2.35839e-05
46.80000, -4.94299e-05
47.00000, 7.22066e-05
47.20000, -8.13612e-05
47.40000, 7.11862e-05
47.60000, -4.55299e-05
47.80000, 1.59150e-05
48.00000, 7.11583e-06
48.20000, -2.12904e-05
48.40000, 3.20912e-05
48.60000, -4.61023e-05
48.80000, 6.45327e-05
49.00000, -8.17238e-05
49.20000, 8.93143e-05
49.40000, -8.26781e-05
49.60000, 6.43852e-05
49.80000, -4.20181e-05
50.00000, 2.28687e-05
50.20000, -1.02859e-05
50.40000, 3.74757e-06
50.60000, -1.05072e-06
50.80000, 1.91744e-07
51.00000, -8.67685e-09
51.20000, 1.04704e-08
51.40000, -3.81362e-08
51.60000, 4.83376e-08
51.80000, -2.32210e-08
52.00000, -6.62521e-08
52.20000, 2.84927e-07
52.40000, -7.35233e-07
52.60000, 1.49674e-06
52.80000, -2.50039e-06
53.00000, 3.43693e-06
53.20000, -3.85558e-06
53.40000, 3.46657e-06
53.60000, -2.39825e-06
53.80000, 1.11525e-06
54.00000, -2.09803e-08
54.20000, -9.10820e-07
54.40000, 2.17517e-06
54.60000, -4.42777e-06
54.80000, 8.05437e-06
55.00000, -1.30359e-05
55.20000, 1.94300e-05
55.40000, -2.78333e-05
55.60000, 3.82182e-05
55.80000, -4.71454e-05
56.00000, 4.71192e-05
56.20000, -3.17046e-05
56.40000, 2.99383e-06
56.60000, 2.72585e-05
56.80000, -4.57298e-05
57.00000, 4.70799e-05
57.20000, -3.58540e-05
57.40000, 2.07419e-05
57.60000, -8.27076e-06
57.80000, 7.95535e-07
58.00000, 2.19494e-06
58.20000, -2.40513e-06
58.40000, 1.76070e-06
58.60000, -1.67404e-06
58.80000, 2.41282e-06
59.00000, -2.99943e-06
59.20000, 1.87779e-06
59.40000, 1.80398e-06
59.60000, -6.98329e-06
59.80000, 1.08924e-05
60.00000, -1.12254e-05
60.20000, 8.32120e-06
60.40000, -4.77422e-06
60.60000, 2.86578e-06
60.80000, -2.79186e-06
61.00000, 3.27405e-06
61.20000, -3.20846e-06
61.40000, 2.45663e-06
61.60000, -1.48442e-06
61.80000, 7.19764e-07
62.00000, -2.86206e-07
62.20000, 9.86813e-08
62.40000, -3.43449e-08
62.60000, 1.51789e-08
62.80000, -9.60961e-09
63.00000, 1.00397e-08
63.20000, -1.62702e-08
63.40000, 2.76015e-08
63.60000, -3.98982e-08
63.80000, 4.62772e-08
64.00000, -4.09607e-08
64.20000, 2.38731e-08
64.40000, -1.91419e-09
64.60000, -1.52104e-08
64.80000, 2.17207e-08
65.00000, -1.92336e-08
65.20000, 1.41389e-08
65.40000, -1.18359e-08
65.60000, 1.30913e-08
65.80000, -1.49448e-08
66.00000, 1.43598e-08
66.20000, -1.10310e-08
66.40000, 7.20247e-09
66.60000, -5.23452e-09
66.80000, 5.45571e-09
67.00000, -6.21703e-09
67.20000, 5.84180e-09
67.40000, -4.44132e-09
67.60000, 3.81851e-09
67.80000, -5.61962e-09
68.00000, 9.64713e-09
68.20000, -1.39760e-08
68.40000, 1.65525e-08
68.60000, -1.66354e-08
68.80000, 1.50213e-08
69.00000, -1.32125e-08
69.20000, 1.22226e-08
69.40000, -1.18097e-08
69.60000, 1.07759e-08
69.80000, -8.13354e-09
70.00000, 3.98654e-09
70.20000, 6.88692e-10
70.40000, -4.84284e-09
70.60000, 7.74190e-09
70.80000, -8.83302e-09
71.00000, 7.69859e-09
71.20000, -4.35775e-09
71.40000, -4.48909e-10
71.60000, 5.38242e-09
71.80000, -9.03213e-09
72.00000, 1.05287e-08
72.20000, -9.86444e-09
72.40000, 7.72293e-09
72.60000, -4.96817e-09
72.80000, 2.19933e-09
73.00000, 3.22157e-10
73.20000, -2.44575e-09
73.40000, 3.94281e-09
73.60000, -4.58522e-09
73.80000, 4.39984e-09
74.00000, -3.81331e-09
74.20000, 3.49126e-09
74.40000, -3.94538e-09
74.60000, 5.20459e-09
74.80000, -6.82726e-09
75.00000, 8.26550e-09
75.20000, -9.27978e-09
75.40000, 1.00272e-08
75.60000, -1.07427e-08
75.80000, 1.13566e-08
76.00000, -1.14734e-08
76.20000, 1.07376e-08
76.40000, -9.19168e-09
76.60000, 7.24535e-09
76.80000, -5.30099e-09
77.00000, 3.46257e-09
77.20000, -1.66280e-09
77.40000, 1.96846e-11
77.60000, 1.08203e-09
77.80000, -1.31852e-09
78.00000, 7.39216e-10
78.20000, 2.91802e-10
78.40000, -1.36024e-09
78.60000, 2.15570e-09
78.80000, -2.49861e-09
79.00000, 2.36476e-09
79.20000, -1.88785e-09
79.40000, 1.28337e-09
79.60000, -7.64089e-10
79.80000, 5.14542e-10
80.00000, -6.59552e-10
80.20000, 1.16544e-09
80.40000, -1.75829e-09
80.60000, 1.98655e-09
80.80000, -1.43447e-09
81.00000, -2.56302e-11
81.20000, 2.08948e-09
81.40000, -4.11127e-09
81.60000, 5.43855e-09
81.80000, -5.79680e-09
82.00000, 5.43358e-09
82.20000, -4.90772e-09
82.40000, 4.70035e-09
82.60000, -4.93798e-09
82.80000, 5.39167e-09
83.00000, -5.70397e-09
83.20000, 5.65112e-09
83.40000, -5.24998e-09
83.60000, 4.66609e-09
83.80000, -4.04733e-09
84.00000, 3.43660e-09
84.20000, -2.80117e-09
84.40000, 2.10465e-09
84.60000, -1.34793e-09
84.80000, 5.73130e-10
85.00000, 1.45690e-10
85.20000, -7.23749e-10
85.40000, 1.10586e-09
85.60000, -1.29775e-09
85.80000, 1.34475e-09
86.00000, -1.27019e-09
86.20000, 1.05058e-09
86.40000, -6.75110e-10
86.60000, 2.36370e-10
86.80000, 5.03572e-11
87.00000, 5.35443e-11
87.20000, -6.42989e-10
87.40000, 1.55465e-09
87.60000, -2.41989e-09
87.80000, 2.89005e-09
88.00000, -2.87519e-09
88.20000, 2.58419e-09
88.40000, -2.32139e-09
88.60000, 2.23364e-09
88.80000, -2.23655e-09
89.00000, 2.13272e-09
89.20000, -1.73510e-09
89.40000, 8.35742e-10
89.60000, 1.02082e-09
89.80000, -4.99175e-09
90.00000, 1.35302e-08
90.20000, -3.03087e-08
90.40000, 5.77671e-08
90.60000, -9.17143e-08
90.80000, 1.17039e-07
91.00000, -1.12252e-07
91.20000, 6.49168e-08
91.40000, 1.36638e-08
91.60000, -9.09831e-08
91.80000, 1.34528e-07
92.00000, -1.33237e-07
92.20000, 1.00603e-07
92.40000, -6.00335e-08
92.60000, 2.84288e-08
92.80000, -1.04485e-08
93.00000, 2.74310e-09
93.20000, -3.21554e-10
93.40000, -1.12480e-10
93.60000, -9.52569e-11
93.80000, 6.52596e-10
94.00000, -1.51751e-09
94.20000, 2.49671e-09
94.40000, -3.20927e-09
94.60000, 3.29019e-09
94.80000, -2.63005e-09
95.00000, 1.45207e-09
95.20000, -1.73730e-10
95.40000, -8.28407e-10
95.60000, 1.37966e-09
95.80000, -1.51522e-09
96.00000, 1.38556e-09
96.20000, -1.15115e-09
96.40000, 9.12058e-10
96.60000, -6.84474e-10
96.80000, 4.39312e-10
97.00000, -1.77231e-10
97.20000, -4.79346e-11
97.40000, 2.00103e-10
97.60000, -3.37317e-10
97.80000, 5.78613e-10
98.00000, -9.76994e-10
98.20000, 1.42908e-09
98.40000, -1.71974e-09
98.60000, 1.67517e-09
98.80000, -1.30286e-09
99.00000, 8.02642e-10
99.20000, -4.35122e-10
99.40000, 3.50443e-10
99.60000, -5.07128e-10
99.80000, 7.26876e-10
100.00000, -8.25368e-10
