# Frequency (THz), VDOS (THz^-1)
0.00000, -2.71160e-06
0.20000, 2.42921e-05
0.40000, -7.46904e-05
0.60000, 1.22109e-04
0.80000, -1.42845e-04
1.00000, 1.39333e-04
1.20000, -1.32461e-04
1.40000, 1.36847e-04
1.60000, -1.47129e-04
1.80000, 1.48387e-04
2.00000, -1.35315e-04
2.20000, 1.18381e-04
2.40000, -1.12611e-04
2.60000, 1.22017e-04
2.80000, -1.34757e-04
3.00000, 1.32993e-04
3.20000, -1.07664e-04
3.40000, 6.41539e-05
3.60000, -1.53824e-05
3.80000, -2.78460e-05
4.00000, 5.95922e-05
4.20000, -7.63007e-05
4.40000, 7.65896e-05
4.60000, -6.49477e-05
4.80000, 5.31797e-05
5.00000, -5.42221e-05
5.20000, 7.19775e-05
5.40000, -9.78513e-05
5.60000, 1.19537e-04
5.80000, -1.33426e-04
6.00000, 1.46238e-04
6.20000, -1.64012e-04
6.40000, 1.82423e-04
6.60000, -1.90019e-04
6.80000, 1.79417e-04
7.00000, -1.53387e-04
7.20000, 1.21158e-04
7.40000, -9.13013e-05
7.60000, 6.81068e-05
7.80000, -5.20558e-05
8.00000, 4.14556e-05
8.20000, -3.37147e-05
8.40000, 2.65466e-05
8.60000, -1.89722e-05
8.80000, 1.13020e-05
9.00000, -4.10915e-06
9.20000, -2.71175e-06
9.40000, 9.97477e-06
9.60000, -1.85226e-05
9.80000, 2.84520e-05
10.00000, -3.86935e-05
10.20000, 4.72860e-05
10.40000, -5.24272e-05
10.60000, 5.36330e-05
10.80000, -5.18980e-05
11.00000, 4.85693e-05
11.20000, -4.41057e-05
11.40000, 3.81195e-05
11.60000, -3.05516e-05
11.80000, 2.24530e-05
12.00000, -1.55348e-05
12.20000, 1.14278e-05
12.40000, -1.18563e-05
12.60000, 1.91031e-05
12.80000, -3.49562e-05
13.00000, 5.81631e-05
13.20000, -8.30847e-05
13.40000, 1.01371e-04
13.60000, -1.05234e-04
13.80000, 9.05900e-05
14.00000, -6.00193e-05
14.20000, 2.37771e-05
14.40000, 4.63450e-06
14.60000, -1.67961e-05
14.80000, 1.39757e-05
15.00000, -3.77939e-06
15.20000, -6.44121e-06
15.40000, 1.25562e-05
15.60000, -1.18022e-05
15.80000, -1.47921e-06
16.00000, 4.20811e-05
16.20000, -1.40488e-04
16.40000, 3.38018e-04
16.60000, -6.55222e-04
16.80000, 1.04403e-03
17.00000, -1.37448e-03
17.20000, 1.49906e-03
17.40000, -1.35757e-03
17.60000, 1.02202e-03
