# Frequency (THz), VDOS (THz^-1)
0.00000, -3.04233e-04
0.20000, 2.99212e-04
0.40000, -2.74814e-04
0.60000, 2.16557e-04
0.80000, -1.32003e-04
1.00000, 5.92432e-05
1.20000, -3.80303e-05
1.40000, 7.09220e-05
1.60000, -1.21164e-04
1.80000, 1.51359e-04
2.00000, -1.57991e-04
2.20000, 1.66269e-04
2.40000, -1.97509e-04
2.60000, 2.45116e-04
2.80000, -2.78592e-04
3.00000, 2.67712e-04
3.20000, -2.04213e-04
3.40000, 1.02534e-04
3.60000, 1.66648e-05
3.80000, -1.37302e-04
4.00000, 2.40768e-04
4.20000, -2.97776e-04
4.40000, 2.81999e-04
4.60000, -1.99265e-04
4.80000, 9.87319e-05
5.00000, -4.44559e-05
5.20000, 6.80873e-05
5.40000, -1.48593e-04
5.60000, 2.39904e-04
5.80000, -3.15414e-04
6.00000, 3.80373e-04
6.20000, -4.44379e-04
6.40000, 4.94684e-04
6.60000, -5.04164e-04
6.80000, 4.59926e-04
7.00000, -3.76307e-04
7.20000, 2.81499e-04
7.40000, -1.97644e-04
7.60000, 1.33724e-04
7.80000, -9.03270e-05
8.00000, 6.50032e-05
8.20000, -5.32436e-05
8.40000, 4.84534e-05
8.60000, -4.40347e-05
8.80000, 3.61025e-05
9.00000, -2.40707e-05
9.20000, 8.70230e-06
9.40000, 1.05512e-05
9.60000, -3.65257e-05
9.80000, 7.22679e-05
10.00000, -1.17225e-04
10.20000, 1.65278e-04
10.40000, -2.06758e-04
10.60000, 2.32642e-04
10.80000, -2.37686e-04
11.00000, 2.21405e-04
11.20000, -1.87849e-04
11.40000, 1.44813e-04
11.60000, -1.02455e-04
11.80000, 7.12760e-05
12.00000, -5.92519e-05
12.20000, 6.82345e-05
12.40000, -9.15399e-05
12.60000, 1.15694e-04
12.80000, -1.26934e-04
13.00000, 1.19081e-04
13.20000, -9.72968e-05
13.40000, 7.39583e-05
13.60000, -5.87845e-05
13.80000, 5.14891e-05
14.00000, -4.41186e-05
14.20000, 3.05820e-05
14.40000, -1.30572e-05
14.60000, -1.02512e-06
14.80000, 6.63305e-06
15.00000, -4.60463e-06
15.20000, -1.00267e-06
15.40000, 6.55626e-06
15.60000, -9.15878e-06
15.80000, 3.03328e-06
16.00000, 2.79921e-05
16.20000, -1.19259e-04
16.40000, 3.21667e-04
16.60000, -6.66495e-04
16.80000, 1.10707e-03
17.00000, -1.49578e-03
17.20000, 1.65410e-03
17.40000, -1.50070e-03
17.60000, 1.11675e-03
17.80000, -6.79560e-04
18.00000, 3.35478e-04
18.20000, -1.31307e-04
18.40000, 3.70746e-05
18.60000, -2.87531e-06
18.80000, -6.80159e-06
19.00000, 9.27599e-06
19.20000, -1.15389e-05
19.40000, 1.57381e-05
19.60000, -2.07395e-05
19.80000, 2.33802e-05
20.00000, -2.10962e-05
20.20000, 1.42551e-05
20.40000, -6.05119e-06
20.60000, 9.30216e-08
20.80000, 2.25008e-06
21.00000, -2.74017e-06
21.20000, 4.68537e-06
21.40000, -9.86689e-06
21.60000, 1.67263e-05
21.80000, -2.23800e-05
22.00000, 2.70322e-05
22.20000, -3.52098e-05
22.40000, 5.09799e-05
22.60000, -7.24683e-05
22.80000, 9.28639e-05
23.00000, -1.06353e-04
23.20000, 1.10643e-04
23.40000, -1.03586e-04
23.60000, 8.08538e-05
23.80000, -4.02326e-05
24.00000, -1.19892e-05
24.20000, 6.13192e-05
24.40000, -9.40589e-05
24.60000, 1.07702e-04
24.80000, -1.13245e-04
25.00000, 1.26339e-04
25.20000, -1.53912e-04
25.40000, 1.87493e-04
25.60000, -2.08903e-04
25.80000, 2.03069e-04
26.00000, -1.67800e-04
26.20000, 1.14675e-04
26.40000, -6.19340e-05
26.60000, 2.43934e-05
26.80000, -6.68285e-06
27.00000, 3.97718e-06
27.20000, -8.41876e-06
27.40000, 1.47700e-05
27.60000, -2.09084e-05
27.80000, 2.50711e-05
28.00000, -2.47612e-05
28.20000, 1.90340e-05
28.40000, -1.09478e-05
28.60000, 6.30096e-06
28.80000, -9.01628e-06
29.00000, 1.75092e-05
29.20000, -2.56363e-05
29.40000, 2.76247e-05
29.60000, -2.30887e-05
29.80000, 1.85441e-05
30.00000, -2.49445e-05
30.20000, 5.30561e-05
30.40000, -1.07607e-04
30.60000, 1.80615e-04
30.80000, -2.48169e-04
31.00000, 2.77914e-04
31.20000, -2.47380e-04
31.40000, 1.60339e-04
31.60000, -4.60196e-05
31.80000, -5.91291e-05
32.00000, 1.31140e-04
32.20000, -1.65053e-04
32.40000, 1.69670e-04
32.60000, -1.61144e-04
32.80000, 1.58866e-04
33.00000, -1.78219e-04
33.20000, 2.19325e-04
33.40000, -2.62163e-04
33.60000, 2.77893e-04
33.80000, -2.49899e-04
34.00000, 1.85036e-04
34.20000, -1.04740e-04
34.40000, 2.76610e-05
34.60000, 3.75338e-05
34.80000, -8.63111e-05
35.00000, 1.12006e-04
35.20000, -1.07903e-04
35.40000, 7.28625e-05
35.60000, -1.29274e-05
35.80000, -6.02577e-05
36.00000, 1.30090e-04
36.20000, -1.76921e-04
36.40000, 1.85895e-04
36.60000, -1.56840e-04
36.80000, 1.05511e-04
37.00000, -5.30128e-05
37.20000, 1.31600e-05
37.40000, 1.14529e-05
37.60000, -2.46238e-05
37.80000, 3.03235e-05
38.00000, -2.98410e-05
38.20000, 2.18803e-05
38.40000, -4.31360e-06
38.60000, -2.27391e-05
38.80000, 5.42727e-05
39.00000, -8.14442e-05
39.20000, 9.66464e-05
39.40000, -9.82138e-05
39.60000, 9.04059e-05
39.80000, -7.91608e-05
40.00000, 6.76464e-05
40.20000, -5.50242e-05
40.40000, 3.90070e-05
40.60000, -1.96521e-05
40.80000, 5.39599e-07
41.00000, 1.38212e-05
41.20000, -2.13215e-05
41.40000, 2.28954e-05
41.60000, -2.05558e-05
41.80000, 1.53925e-05
42.00000, -7.27088e-06
42.20000, -3.98579e-06
42.40000, 1.71177e-05
42.60000, -2.88615e-05
42.80000, 3.48941e-05
43.00000, -3.14916e-05
43.20000, 1.58418e-05
43.40000, 1.61374e-05
43.60000, -7.23225e-05
43.80000, 1.62698e-04
44.00000, -2.91435e-04
44.20000, 4.47579e-04
44.40000, -6.03123e-04
44.60000, 7.21461e-04
44.80000, -7.69525e-04
45.00000, 7.26980e-04
45.20000, -5.94232e-04
45.40000, 3.99908e-04
45.60000, -1.97145e-04
45.80000, 4.04844e-05
46.00000, 4.28330e-05
46.20000, -6.21506e-05
46.40000, 4.71125e-05
46.60000, -2.43309e-05
46.80000, 6.39563e-06
47.00000, 4.71804e-06
47.20000, -9.65279e-06
47.40000, 7.51021e-06
47.60000, 2.72421e-06
47.80000, -1.85978e-05
48.00000, 3.34458e-05
48.20000, -4.03495e-05
48.40000, 3.71575e-05
48.60000, -2.74332e-05
48.80000, 1.68215e-05
49.00000, -8.97765e-06
49.20000, 4.44268e-06
49.40000, -2.05122e-06
49.60000, 6.26625e-07
49.80000, 3.38897e-07
50.00000, -8.82534e-07
50.20000, 9.88728e-07
50.40000, -7.86907e-07
50.60000, 4.87939e-07
50.80000, -2.47107e-07
51.00000, 1.10223e-07
51.20000, -5.12658e-08
51.40000, 3.08519e-08
51.60000, -2.90233e-08
51.80000, 5.36651e-08
52.00000, -1.39505e-07
52.20000, 3.28627e-07
52.40000, -5.89234e-07
52.60000, 6.51508e-07
52.80000, 1.12396e-07
53.00000, -2.46789e-06
53.20000, 6.62515e-06
53.40000, -1.15665e-05
53.60000, 1.52738e-05
53.80000, -1.60236e-05
54.00000, 1.36525e-05
54.20000, -9.55945e-06
54.40000, 5.54371e-06
54.60000, -2.68725e-06
54.80000, 1.11881e-06
55.00000, -4.49377e-07
55.20000, 2.49086e-07
55.40000, -2.46740e-07
55.60000, 3.11371e-07
55.80000, -3.74304e-07
56.00000, 3.83221e-07
56.20000, -3.05593e-07
56.40000, 1.53123e-07
56.60000, 1.63600e-08
56.80000, -1.35522e-07
57.00000, 1.72465e-07
57.20000, -1.43398e-07
57.40000, 8.84817e-08
57.60000, -4.01425e-08
57.80000, 8.88208e-09
58.00000, 1.24525e-08
58.20000, -3.66207e-08
58.40000, 6.96984e-08
58.60000, -1.03979e-07
58.80000, 1.22344e-07
59.00000, -1.13204e-07
59.20000, 8.23324e-08
59.40000, -4.81618e-08
59.60000, 2.42384e-08
59.80000, -5.72481e-09
60.00000, -2.81648e-08
60.20000, 9.71085e-08
60.40000, -1.99151e-07
60.60000, 3.02940e-07
60.80000, -3.63647e-07
61.00000, 3.53586e-07
61.20000, -2.81507e-07
61.40000, 1.83489e-07
61.60000, -9.61473e-08
61.80000, 3.72851e-08
62.00000, -6.05558e-09
62.20000, -6.08867e-09
62.40000, 7.17535e-09
62.60000, -3.01850e-09
62.80000, -2.04604e-09
63.00000, 5.23228e-09
63.20000, -5.73502e-09
63.40000, 4.32751e-09
63.60000, -2.33904e-09
63.80000, 8.77329e-10
64.00000, -5.74847e-10
64.20000, 1.56162e-09
64.40000, -3.44923e-09
64.60000, 5.42878e-09
64.80000, -6.61499e-09
65.00000, 6.51249e-09
65.20000, -5.27144e-09
65.40000, 3.51100e-09
65.60000, -1.86953e-09
65.80000, 6.78651e-10
66.00000, 3.69273e-11
66.20000, -3.85382e-10
66.40000, 4.87691e-10
66.60000, -4.56149e-10
66.80000, 3.88512e-10
67.00000, -3.37757e-10
67.20000, 2.95837e-10
67.40000, -2.24840e-10
67.60000, 1.08642e-10
67.80000, 2.74437e-11
68.00000, -1.40796e-10
68.20000, 2.01624e-10
68.40000, -1.97457e-10
68.60000, 1.23854e-10
68.80000, 1.36777e-11
69.00000, -1.88249e-10
69.20000, 3.46489e-10
69.40000, -4.10993e-10
69.60000, 2.89554e-10
69.80000, 8.91752e-11
70.00000, -7.06279e-10
70.20000, 1.40536e-09
70.40000, -1.94721e-09
70.60000, 2.15382e-09
70.80000, -2.01599e-09
71.00000, 1.66800e-09
71.20000, -1.27761e-09
71.40000, 9.63222e-10
71.60000, -7.72490e-10
71.80000, 6.85326e-10
72.00000, -6.29243e-10
72.20000, 5.26716e-10
72.40000, -3.58313e-10
72.60000, 1.84004e-10
72.80000, -9.52647e-11
73.00000, 1.40926e-10
73.20000, -2.93048e-10
73.40000, 4.74121e-10
73.60000, -6.11580e-10
73.80000, 6.73421e-10
74.00000, -6.66219e-10
74.20000, 6.10065e-10
74.40000, -5.16789e-10
74.60000, 3.86095e-10
74.80000, -2.16359e-10
75.00000, 1.84350e-11
75.20000, 1.78411e-10
75.40000, -3.34092e-10
75.60000, 4.16252e-10
75.80000, -4.18896e-10
76.00000, 3.67219e-10
76.20000, -3.01252e-10
76.40000, 2.48029e-10
76.60000, -2.06582e-10
76.80000, 1.59764e-10
77.00000, -9.63919e-11
77.20000, 1.71156e-11
77.40000, 7.60692e-11
77.60000, -1.83978e-10
77.80000, 2.99214e-10
78.00000, -3.96475e-10
78.20000, 4.40511e-10
78.40000, -4.06792e-10
78.60000, 2.97187e-10
78.80000, -1.40164e-10
79.00000, -2.10494e-11
79.20000, 1.44091e-10
79.40000, -2.01442e-10
79.60000, 1.88069e-10
79.80000, -1.17073e-10
80.00000, 3.96293e-12
80.20000, 1.46786e-10
80.40000, -3.35081e-10
80.60000, 5.39278e-10
80.80000, -6.98891e-10
81.00000, 7.34748e-10
81.20000, -5.99587e-10
81.40000, 3.17238e-10
81.60000, 2.42834e-11
81.80000, -3.19879e-10
82.00000, 4.98880e-10
82.20000, -5.48414e-10
82.40000, 5.00266e-10
82.60000, -3.97406e-10
82.80000, 2.67526e-10
83.00000, -1.21048e-10
83.20000, -3.23814e-11
83.40000, 1.71439e-10
83.60000, -2.71273e-10
83.80000, 3.25489e-10
84.00000, -3.56818e-10
84.20000, 3.99555e-10
84.40000, -4.67082e-10
84.60000, 5.37458e-10
84.80000, -5.73179e-10
85.00000, 5.54582e-10
85.20000, -4.93017e-10
85.40000, 4.15411e-10
85.60000, -3.42610e-10
85.80000, 2.83285e-10
86.00000, -2.41276e-10
86.20000, 2.21638e-10
86.40000, -2.28573e-10
86.60000, 2.58548e-10
86.80000, -2.94158e-10
87.00000, 3.04919e-10
87.20000, -2.59488e-10
87.40000, 1.44502e-10
87.60000, 2.39512e-11
87.80000, -2.06402e-10
88.00000, 3.59928e-10
88.20000, -4.58656e-10
88.40000, 5.02640e-10
88.60000, -5.11289e-10
88.80000, 5.08160e-10
89.00000, -5.08918e-10
89.20000, 5.17412e-10
89.40000, -5.24515e-10
89.60000, 5.07234e-10
89.80000, -4.36440e-10
90.00000, 2.94398e-10
90.20000, -7.72338e-11
90.40000, -2.40045e-10
90.60000, 7.39215e-10
90.80000, -1.51226e-09
91.00000, 2.52311e-09
91.20000, -3.51746e-09
91.40000, 4.13116e-09
91.60000, -4.13683e-09
91.80000, 3.59029e-09
92.00000, -2.74904e-09
92.20000, 1.88222e-09
92.40000, -1.15340e-09
92.60000, 6.18872e-10
92.80000, -2.71740e-10
93.00000, 7.48514e-11
93.20000, 2.19718e-11
93.40000, -6.77764e-11
93.60000, 9.69908e-11
93.80000, -1.22908e-10
94.00000, 1.42362e-10
94.20000, -1.47709e-10
94.40000, 1.37072e-10
94.60000, -1.16298e-10
94.80000, 9.35433e-11
95.00000, -7.30494e-11
95.20000, 5.45127e-11
95.40000, -3.79395e-11
95.60000, 2.72931e-11
95.80000, -2.81356e-11
96.00000, 4.29410e-11
96.20000, -6.99160e-11
96.40000, 1.04060e-10
96.60000, -1.35493e-10
96.80000, 1.47200e-10
97.00000, -1.20562e-10
97.20000, 5.05286e-11
97.40000, 4.10131e-11
97.60000, -1.09113e-10
97.80000, 1.10621e-10
98.00000, -3.49277e-11
98.20000, -8.38781e-11
98.40000, 1.86624e-10
98.60000, -2.27899e-10
98.80000, 2.04475e-10
99.00000, -1.52770e-10
99.20000, 1.20660e-10
99.40000, -1.35960e-10
99.60000, 1.91165e-10
99.80000, -2.50967e-10
100.00000, 2.76454e-10
