# Frequency (THz), VDOS (THz^-1)
0.00000, 3.92069e-05
0.20000, -7.81996e-05
0.40000, 1.71636e-04
0.60000, -2.65142e-04
0.80000, 3.09714e-04
1.00000, -2.90291e-04
1.20000, 2.26762e-04
1.40000, -1.51792e-04
1.60000, 8.79429e-05
1.80000, -4.13433e-05
2.00000, 9.24100e-06
2.20000, 1.23346e-05
2.40000, -2.78372e-05
2.60000, 4.36552e-05
2.80000, -6.51435e-05
3.00000, 9.06080e-05
3.20000, -1.09757e-04
3.40000, 1.10479e-04
3.60000, -8.86655e-05
3.80000, 5.19987e-05
4.00000, -1.45551e-05
4.20000, -1.23525e-05
4.40000, 2.56571e-05
4.60000, -2.96122e-05
4.80000, 3.07890e-05
5.00000, -3.30734e-05
5.20000, 3.57965e-05
5.40000, -3.56729e-05
5.60000, 3.04122e-05
5.80000, -2.08720e-05
6.00000, 1.04350e-05
6.20000, -2.88497e-06
6.40000, 6.23688e-07
6.60000, -3.80896e-06
6.80000, 1.03093e-05
7.00000, -1.67696e-05
7.20000, 2.06252e-05
7.40000, -2.14883e-05
7.60000, 2.05046e-05
7.80000, -1.85504e-05
8.00000, 1.53869e-05
8.20000, -1.02611e-05
8.40000, 2.48424e-06
8.60000, 8.68579e-06
8.80000, -2.34743e-05
9.00000, 3.96185e-05
9.20000, -5.12429e-05
9.40000, 5.10890e-05
9.60000, -3.49007e-05
9.80000, 4.37903e-06
10.00000, 3.29221e-05
10.20000, -6.61921e-05
10.40000, 8.63268e-05
10.60000, -9.17194e-05
10.80000, 8.89610e-05
11.00000, -8.48378e-05
11.20000, 7.79963e-05
11.40000, -6.31032e-05
11.60000, 4.49725e-05
11.80000, -4.39390e-05
12.00000, 8.22243e-05
12.20000, -1.64960e-04
12.40000, 2.76655e-04
12.60000, -3.95391e-04
12.80000, 5.06746e-04
13.00000, -6.01183e-04
13.20000, 6.61002e-04
13.40000, -6.60228e-04
13.60000, 5.86786e-04
13.80000, -4.63525e-04
14.00000, 3.39496e-04
14.20000, -2.57739e-04
14.40000, 2.32217e-04
14.60000, -2.50007e-04
14.80000, 2.85462e-04
15.00000, -3.09887e-04
15.20000, 2.96590e-04
15.40000, -2.29432e-04
15.60000, 1.14372e-04
15.80000, 1.78312e-05
16.00000, -1.25870e-04
16.20000, 1.80448e-04
16.40000, -1.77724e-04
16.60000, 1.35455e-04
16.80000, -7.83330e-05
17.00000, 2.49942e-05
17.20000, 1.56744e-05
17.40000, -4.19437e-05
17.60000, 5.94646e-05
17.80000, -8.50400e-05
18.00000, 1.40944e-04
18.20000, -2.33130e-04
18.40000, 3.33657e-04
18.60000, -3.94350e-04
18.80000, 3.84174e-04
19.00000, -3.11772e-04
19.20000, 2.12758e-04
19.40000, -1.21442e-04
19.60000, 5.52118e-05
19.80000, -1.58447e-05
20.00000, -4.52307e-06
20.20000, 1.83228e-05
20.40000, -3.50019e-05
20.60000, 5.31476e-05
20.80000, -6.16928e-05
21.00000, 5.18944e-05
21.20000, -2.76912e-05
21.40000, 2.41909e-06
21.60000, 1.39585e-05
21.80000, -2.18165e-05
22.00000, 2.62117e-05
22.20000, -2.79616e-05
22.40000, 2.30011e-05
22.60000, -8.97013e-06
22.80000, -1.04153e-05
23.00000, 2.76565e-05
23.20000, -3.67467e-05
23.40000, 3.64163e-05
23.60000, -2.96709e-05
23.80000, 2.09103e-05
24.00000, -1.32535e-05
24.20000, 7.88976e-06
24.40000, -4.84960e-06
24.60000, 3.51317e-06
24.80000, -2.58808e-06
25.00000, 5.35722e-07
25.20000, 3.31860e-06
25.40000, -8.03211e-06
25.60000, 1.16130e-05
25.80000, -1.25405e-05
26.00000, 1.07925e-05
26.20000, -7.39375e-06
26.40000, 3.01279e-06
26.60000, 3.06563e-06
26.80000, -1.28829e-05
27.00000, 2.87145e-05
27.20000, -5.10388e-05
27.40000, 7.61654e-05
27.60000, -9.56989e-05
27.80000, 1.00167e-04
28.00000, -8.55876e-05
28.20000, 5.76097e-05
28.40000, -2.87793e-05
28.60000, 1.04358e-05
28.80000, -5.45514e-06
29.00000, 7.24665e-06
29.20000, -5.75099e-06
29.40000, -3.52121e-06
29.60000, 1.37597e-05
29.80000, -9.35505e-06
30.00000, -2.38878e-05
30.20000, 8.72944e-05
30.40000, -1.64492e-04
30.60000, 2.27173e-04
30.80000, -2.49485e-04
31.00000, 2.23256e-04
31.20000, -1.63160e-04
31.40000, 9.65339e-05
31.60000, -4.56494e-05
31.80000, 1.70190e-05
32.00000, -3.96790e-06
32.20000, -3.75965e-06
32.40000, 1.21713e-05
32.60000, -2.04309e-05
32.80000, 2.29930e-05
33.00000, -1.47942e-05
33.20000, -3.70889e-06
33.40000, 2.56357e-05
33.60000, -4.20765e-05
33.80000, 4.83720e-05
34.00000, -4.72620e-05
34.20000, 4.67620e-05
34.40000, -5.46682e-05
34.60000, 7.29158e-05
34.80000, -9.40748e-05
35.00000, 1.02422e-04
35.20000, -8.21839e-05
35.40000, 3.01704e-05
35.60000, 3.79873e-05
35.80000, -9.63647e-05
36.00000, 1.25588e-04
36.20000, -1.22792e-04
36.40000, 9.85880e-05
36.60000, -6.81531e-05
36.80000, 4.44534e-05
37.00000, -3.42010e-05
37.20000, 3.48298e-05
37.40000, -3.49986e-05
37.60000, 2.25196e-05
37.80000, 3.90675e-06
38.00000, -3.13468e-05
38.20000, 4.46372e-05
38.40000, -4.23160e-05
38.60000, 3.71768e-05
38.80000, -4.01067e-05
39.00000, 4.76730e-05
39.20000, -4.82860e-05
39.40000, 3.68686e-05
39.60000, -1.94429e-05
39.80000, 5.22629e-06
40.00000, 1.66262e-06
40.20000, -2.87722e-06
40.40000, 1.81982e-06
40.60000, -6.70333e-07
40.80000, 1.42191e-07
41.00000, -5.50732e-07
41.20000, 2.76062e-06
41.40000, -8.15164e-06
41.60000, 1.68492e-05
41.80000, -2.47791e-05
42.00000, 2.32059e-05
42.20000, -4.76648e-06
42.40000, -2.72994e-05
42.60000, 5.81941e-05
42.80000, -7.44177e-05
43.00000, 7.82549e-05
43.20000, -8.69618e-05
43.40000, 1.17542e-04
43.60000, -1.73122e-04
43.80000, 2.39604e-04
44.00000, -2.89297e-04
44.20000, 2.91344e-04
44.40000, -2.32468e-04
44.60000, 1.37862e-04
44.80000, -6.88407e-05
45.00000, 8.85635e-05
45.20000, -2.18724e-04
45.40000, 4.20963e-04
45.60000, -6.15585e-04
45.80000, 7.23266e-04
46.00000, -7.05142e-04
46.20000, 5.79699e-04
46.40000, -4.06361e-04
46.60000, 2.47162e-04
46.80000, -1.35260e-04
47.00000, 7.08830e-05
47.20000, -3.83405e-05
47.40000, 2.30305e-05
47.60000, -1.67743e-05
47.80000, 1.54022e-05
48.00000, -1.63721e-05
48.20000, 1.85525e-05
48.40000, -2.19491e-05
48.60000, 2.61595e-05
48.80000, -2.90739e-05
49.00000, 2.74622e-05
49.20000, -1.86525e-05
49.40000, 1.13807e-06
49.60000, 2.62920e-05
49.80000, -6.48633e-05
50.00000, 1.13902e-04
50.20000, -1.67890e-04
50.40000, 2.15515e-04
50.60000, -2.42560e-04
50.80000, 2.37897e-04
51.00000, -1.99679e-04
51.20000, 1.37989e-04
51.40000, -7.11551e-05
51.60000, 1.68677e-05
51.80000, 1.63918e-05
52.00000, -3.18632e-05
52.20000, 4.01654e-05
52.40000, -5.21850e-05
52.60000, 7.33862e-05
52.80000, -1.00982e-04
53.00000, 1.24288e-04
53.20000, -1.29272e-04
53.40000, 1.07178e-04
53.60000, -6.26431e-05
53.80000, 1.36303e-05
54.00000, 1.96261e-05
54.20000, -2.84109e-05
54.40000, 1.94310e-05
54.60000, -6.18629e-06
54.80000, -2.12834e-06
55.00000, 4.22326e-06
55.20000, -3.08539e-06
55.40000, 1.51214e-06
55.60000, -5.71797e-07
55.80000, 2.19681e-07
56.00000, -1.56068e-07
56.20000, 1.76171e-07
56.40000, -1.87245e-07
56.60000, 1.61748e-07
56.80000, -1.09360e-07
57.00000, 5.55187e-08
