# Frequency (THz), VDOS (THz^-1)
0.00000, -5.39440e-04
0.20000, 5.18388e-04
0.40000, -4.65506e-04
0.60000, 4.01367e-04
0.80000, -3.38797e-04
1.00000, 2.77676e-04
1.20000, -2.14294e-04
1.40000, 1.50439e-04
1.60000, -9.39238e-05
1.80000, 5.45788e-05
2.00000, -3.86960e-05
2.20000, 4.24704e-05
2.40000, -5.13559e-05
2.60000, 5.06671e-05
2.80000, -3.74944e-05
3.00000, 1.98057e-05
3.20000, -5.33255e-06
3.40000, -4.92450e-06
3.60000, 1.28969e-05
3.80000, -1.77262e-05
4.00000, 1.62021e-05
4.20000, -7.13872e-06
4.40000, -7.49758e-06
4.60000, 2.62356e-05
4.80000, -4.99682e-05
5.00000, 7.65734e-05
5.20000, -9.41115e-05
5.40000, 8.49970e-05
5.60000, -4.18805e-05
5.80000, -2.15213e-05
6.00000, 7.87907e-05
6.20000, -1.10745e-04
6.40000, 1.17335e-04
6.60000, -1.13034e-04
6.80000, 1.13694e-04
7.00000, -1.26541e-04
7.20000, 1.48022e-04
7.40000, -1.67374e-04
7.60000, 1.71729e-04
7.80000, -1.50075e-04
8.00000, 9.62726e-05
8.20000, -1.30674e-05
8.40000, -8.38603e-05
8.60000, 1.67984e-04
8.80000, -2.14158e-04
9.00000, 2.13543e-04
9.20000, -1.78077e-04
9.40000, 1.31257e-04
9.60000, -9.44823e-05
9.80000, 7.82684e-05
10.00000, -8.03125e-05
10.20000, 8.91499e-05
10.40000, -9.22131e-05
10.60000, 8.48139e-05
10.80000, -7.35797e-05
11.00000, 7.01265e-05
11.20000, -7.92432e-05
11.40000, 9.31655e-05
11.60000, -9.95196e-05
11.80000, 9.53253e-05
12.00000, -8.98950e-05
12.20000, 9.16787e-05
12.40000, -9.57854e-05
12.60000, 8.93639e-05
12.80000, -6.86991e-05
13.00000, 4.71915e-05
13.20000, -4.51653e-05
13.40000, 7.21537e-05
13.60000, -1.17998e-04
13.80000, 1.59856e-04
14.00000, -1.78695e-04
14.20000, 1.71730e-04
14.40000, -1.52227e-04
14.60000, 1.39870e-04
14.80000, -1.51479e-04
15.00000, 1.99126e-04
15.20000, -2.95143e-04
15.40000, 4.54469e-04
15.60000, -6.80679e-04
15.80000, 9.37520e-04
16.00000, -1.13785e-03
16.20000, 1.18294e-03
16.40000, -1.03314e-03
16.60000, 7.43588e-04
16.80000, -4.26937e-04
17.00000, 1.80031e-04
17.20000, -3.96223e-05
17.40000, -9.86456e-06
17.60000, 2.84733e-06
17.80000, 3.30051e-05
18.00000, -8.44151e-05
18.20000, 1.51965e-04
18.40000, -2.49606e-04
18.60000, 3.97961e-04
18.80000, -6.01508e-04
19.00000, 8.19956e-04
19.20000, -9.66546e-04
19.40000, 9.51569e-04
19.60000, -7.41389e-04
19.80000, 3.81518e-04
20.00000, 3.05510e-05
20.20000, -3.91393e-04
20.40000, 6.26319e-04
20.60000, -7.07535e-04
20.80000, 6.56061e-04
21.00000, -5.24417e-04
21.20000, 3.69080e-04
21.40000, -2.31224e-04
21.60000, 1.32350e-04
21.80000, -7.72262e-05
22.00000, 5.90294e-05
22.20000, -6.79629e-05
22.40000, 9.99121e-05
22.60000, -1.56476e-04
22.80000, 2.35573e-04
23.00000, -3.23453e-04
23.20000, 3.96758e-04
23.40000, -4.31382e-04
23.60000, 4.11312e-04
23.80000, -3.36192e-04
24.00000, 2.26605e-04
24.20000, -1.20849e-04
24.40000, 5.99688e-05
24.60000, -7.00995e-05
24.80000, 1.57340e-04
25.00000, -3.18628e-04
25.20000, 5.51394e-04
25.40000, -8.41414e-04
25.60000, 1.13679e-03
25.80000, -1.34680e-03
26.00000, 1.38826e-03
26.20000, -1.24540e-03
26.40000, 9.84939e-04
26.60000, -7.16508e-04
26.80000, 5.41820e-04
27.00000, -5.22286e-04
27.20000, 6.53170e-04
27.40000, -8.45775e-04
27.60000, 9.56798e-04
27.80000, -8.74869e-04
28.00000, 5.98784e-04
28.20000, -2.34355e-04
28.40000, -8.25393e-05
