# Frequency (THz), VDOS (THz^-1)
0.00000, -1.01515e-03
0.20000, 9.41716e-04
0.40000, -7.71317e-04
0.60000, 6.13866e-04
0.80000, -5.56429e-04
1.00000, 6.08377e-04
1.20000, -7.10671e-04
1.40000, 7.88615e-04
1.60000, -8.03044e-04
1.80000, 7.68575e-04
2.00000, -7.34013e-04
2.20000, 7.39903e-04
2.40000, -7.79822e-04
2.60000, 7.96724e-04
2.80000, -7.27412e-04
3.00000, 5.61927e-04
3.20000, -3.58675e-04
3.40000, 1.97196e-04
3.60000, -1.16364e-04
3.80000, 9.56777e-05
4.00000, -8.65881e-05
4.20000, 5.57070e-05
4.40000, -3.35479e-06
4.60000, -4.81832e-05
4.80000, 7.72563e-05
5.00000, -7.54951e-05
5.20000, 4.63456e-05
5.40000, 7.55356e-07
5.60000, -5.31711e-05
5.80000, 9.68764e-05
6.00000, -1.20602e-04
6.20000, 1.20430e-04
6.40000, -1.01598e-04
6.60000, 7.64824e-05
6.80000, -5.88855e-05
7.00000, 5.66460e-05
7.20000, -6.77362e-05
7.40000, 8.33079e-05
7.60000, -9.43046e-05
7.80000, 9.53888e-05
8.00000, -8.48303e-05
8.20000, 6.37449e-05
8.40000, -3.62781e-05
8.60000, 8.77625e-06
8.80000, 1.29976e-05
9.00000, -2.61903e-05
9.20000, 3.01046e-05
9.40000, -2.32378e-05
9.60000, 2.34052e-06
9.80000, 3.32986e-05
10.00000, -7.53559e-05
10.20000, 1.06378e-04
10.40000, -1.11290e-04
10.60000, 9.31788e-05
10.80000, -7.72021e-05
11.00000, 9.44742e-05
11.20000, -1.56971e-04
11.40000, 2.44228e-04
11.60000, -3.13153e-04
11.80000, 3.24765e-04
12.00000, -2.69728e-04
12.20000, 1.74240e-04
12.40000, -8.13139e-05
12.60000, 2.27039e-05
12.80000, -3.96405e-06
13.00000, 1.05399e-05
13.20000, -2.38626e-05
13.40000, 3.27486e-05
13.60000, -3.48089e-05
13.80000, 3.14478e-05
14.00000, -2.28602e-05
14.20000, 7.77833e-06
14.40000, 1.22764e-05
14.60000, -3.00606e-05
14.80000, 3.71895e-05
15.00000, -3.59053e-05
15.20000, 5.13698e-05
15.40000, -1.36976e-04
15.60000, 3.63767e-04
15.80000, -7.82576e-04
16.00000, 1.36457e-03
16.20000, -1.96676e-03
16.40000, 2.37918e-03
16.60000, -2.44140e-03
16.80000, 2.13398e-03
17.00000, -1.57123e-03
17.20000, 9.24393e-04
17.40000, -3.49677e-04
17.60000, -5.15384e-05
17.80000, 2.50596e-04
18.00000, -2.86033e-04
18.20000, 2.29976e-04
18.40000, -1.47256e-04
18.60000, 7.49207e-05
18.80000, -2.52760e-05
19.00000, -3.16923e-06
19.20000, 1.77334e-05
19.40000, -2.69670e-05
19.60000, 3.79764e-05
19.80000, -5.57327e-05
20.00000, 8.28085e-05
20.20000, -1.16841e-04
20.40000, 1.47240e-04
20.60000, -1.57705e-04
20.80000, 1.37426e-04
21.00000, -9.22885e-05
21.20000, 4.31342e-05
21.40000, -1.03012e-05
21.60000, -1.16372e-06
21.80000, 1.97756e-06
22.00000, -5.94439e-06
22.20000, 1.69709e-05
22.40000, -2.71309e-05
22.60000, 2.61432e-05
22.80000, -1.22434e-05
23.00000, -5.95670e-06
23.20000, 1.69926e-05
23.40000, -1.47158e-05
23.60000, 1.97219e-07
23.80000, 2.13647e-05
24.00000, -4.40217e-05
24.20000, 6.28983e-05
24.40000, -7.50714e-05
24.60000, 7.95362e-05
24.80000, -7.61802e-05
25.00000, 6.52118e-05
25.20000, -4.81968e-05
25.40000, 2.90735e-05
25.60000, -1.28595e-05
25.80000, 2.88808e-06
26.00000, 5.38289e-07
26.20000, 6.56425e-07
26.40000, -3.28981e-06
26.60000, 2.67154e-06
26.80000, 7.53642e-06
27.00000, -3.28743e-05
27.20000, 7.29651e-05
27.40000, -1.17953e-04
27.60000, 1.51752e-04
27.80000, -1.61466e-04
28.00000, 1.45060e-04
28.20000, -1.10602e-04
28.40000, 6.94613e-05
28.60000, -3.06662e-05
28.80000, -5.37479e-07
29.00000, 2.14586e-05
29.20000, -2.97041e-05
29.40000, 2.18481e-05
29.60000, 3.71989e-06
29.80000, -4.05841e-05
30.00000, 7.27069e-05
30.20000, -8.32016e-05
30.40000, 6.67203e-05
30.60000, -3.27746e-05
30.80000, -2.97315e-06
31.00000, 3.03092e-05
31.20000, -4.94779e-05
31.40000, 6.77288e-05
31.60000, -9.10962e-05
31.80000, 1.17175e-04
32.00000, -1.34800e-04
32.20000, 1.32027e-04
32.40000, -1.05493e-04
32.60000, 6.18428e-05
32.80000, -1.09017e-05
33.00000, -4.03487e-05
33.20000, 8.68778e-05
33.40000, -1.22002e-04
33.60000, 1.38237e-04
33.80000, -1.32652e-04
34.00000, 1.10319e-04
34.20000, -8.14966e-05
34.40000, 5.51391e-05
34.60000, -3.47784e-05
34.80000, 1.96263e-05
35.00000, -8.25289e-06
35.20000, 5.97084e-07
35.40000, 2.83093e-06
35.60000, -2.53897e-06
35.80000, 4.78340e-07
36.00000, 7.72138e-07
36.20000, 1.02836e-06
36.40000, -7.57327e-06
36.60000, 2.03951e-05
36.80000, -4.08330e-05
37.00000, 6.89886e-05
37.20000, -1.02129e-04
37.40000, 1.33571e-04
37.60000, -1.53614e-04
37.80000, 1.53899e-04
38.00000, -1.33406e-04
38.20000, 1.00470e-04
38.40000, -6.75541e-05
