# Frequency (THz), VDOS (THz^-1)
0.00000, -2.02106e-04
0.20000, 2.03180e-04
0.40000, -2.00544e-04
0.60000, 1.84532e-04
0.80000, -1.56129e-04
1.00000, 1.30746e-04
1.20000, -1.25638e-04
1.40000, 1.43537e-04
1.60000, -1.69465e-04
1.80000, 1.83596e-04
2.00000, -1.76602e-04
2.20000, 1.53499e-04
2.40000, -1.26176e-04
2.60000, 1.05124e-04
2.80000, -9.67260e-05
3.00000, 1.03283e-04
3.20000, -1.21826e-04
3.40000, 1.43042e-04
3.60000, -1.54171e-04
3.80000, 1.46293e-04
4.00000, -1.20836e-04
4.20000, 8.83505e-05
4.40000, -5.89079e-05
4.60000, 3.31961e-05
4.80000, -4.08318e-06
5.00000, -3.29915e-05
5.20000, 7.21033e-05
5.40000, -9.89833e-05
5.60000, 1.00417e-04
5.80000, -7.33018e-05
6.00000, 2.75825e-05
6.20000, 1.89166e-05
6.40000, -5.09186e-05
6.60000, 6.40999e-05
6.80000, -6.50024e-05
7.00000, 6.30957e-05
7.20000, -6.27045e-05
7.40000, 6.20732e-05
7.60000, -5.88236e-05
7.80000, 5.43267e-05
8.00000, -5.22224e-05
8.20000, 5.43430e-05
8.40000, -5.93451e-05
8.60000, 6.41074e-05
8.80000, -6.50249e-05
9.00000, 5.91077e-05
9.20000, -4.60081e-05
9.40000, 2.90612e-05
9.60000, -1.29354e-05
9.80000, 1.17356e-08
10.00000, 1.00202e-05
10.20000, -1.70260e-05
10.40000, 1.83023e-05
10.60000, -1.07061e-05
10.80000, -5.34944e-06
11.00000, 2.50490e-05
11.20000, -4.28622e-05
11.40000, 5.64960e-05
11.60000, -6.61788e-05
11.80000, 7.03646e-05
12.00000, -6.45435e-05
12.20000, 4.66959e-05
12.40000, -2.33727e-05
12.60000, 7.19279e-06
12.80000, -6.61063e-06
13.00000, 1.99498e-05
13.20000, -4.05727e-05
13.40000, 6.44231e-05
13.60000, -8.91205e-05
13.80000, 1.08521e-04
14.00000, -1.13802e-04
14.20000, 1.01119e-04
14.40000, -7.59693e-05
14.60000, 4.94503e-05
14.80000, -3.11888e-05
15.00000, 2.49619e-05
15.20000, -2.84826e-05
15.40000, 3.55943e-05
15.60000, -3.88511e-05
15.80000, 3.14968e-05
16.00000, -8.87252e-06
16.20000, -3.03254e-05
16.40000, 8.25024e-05
16.60000, -1.37473e-04
16.80000, 1.78693e-04
17.00000, -1.88748e-04
17.20000, 1.59864e-04
17.40000, -1.01923e-04
17.60000, 3.85612e-05
17.80000, 8.10261e-06
18.00000, -3.08188e-05
18.20000, 3.67148e-05
18.40000, -3.66840e-05
18.60000, 3.79276e-05
18.80000, -4.52052e-05
19.00000, 6.44004e-05
19.20000, -1.00824e-04
19.40000, 1.52630e-04
19.60000, -2.07265e-04
19.80000, 2.48739e-04
20.00000, -2.72319e-04
20.20000, 2.90126e-04
20.40000, -3.16108e-04
20.60000, 3.44358e-04
20.80000, -3.48545e-04
21.00000, 3.07679e-04
21.20000, -2.30802e-04
21.40000, 1.54041e-04
21.60000, -1.14657e-04
21.80000, 1.27178e-04
22.00000, -1.77899e-04
22.20000, 2.35573e-04
22.40000, -2.68469e-04
22.60000, 2.58907e-04
22.80000, -2.07184e-04
23.00000, 1.21864e-04
23.20000, -6.57880e-06
23.40000, -1.39814e-04
23.60000, 3.07838e-04
23.80000, -4.66115e-04
24.00000, 5.71414e-04
24.20000, -5.93281e-04
24.40000, 5.31605e-04
24.60000, -4.14365e-04
24.80000, 2.79532e-04
25.00000, -1.53697e-04
25.20000, 4.11856e-05
25.40000, 6.75845e-05
25.60000, -1.74499e-04
25.80000, 2.60230e-04
26.00000, -2.95460e-04
26.20000, 2.66658e-04
26.40000, -1.87487e-04
26.60000, 8.24109e-05
26.80000, 3.75774e-05
27.00000, -1.77404e-04
27.20000, 3.34700e-04
27.40000, -4.77441e-04
27.60000, 5.49030e-04
27.80000, -4.99280e-04
28.00000, 3.16657e-04
28.20000, -4.12091e-05
28.40000, -2.46557e-04
28.60000, 4.58696e-04
28.80000, -5.45489e-04
29.00000, 5.27858e-04
29.20000, -4.88508e-04
29.40000, 5.21835e-04
29.60000, -6.72876e-04
29.80000, 9.01259e-04
30.00000, -1.09519e-03
30.20000, 1.13828e-03
30.40000, -9.92159e-04
30.60000, 7.28706e-04
30.80000, -4.76210e-04
31.00000, 3.22941e-04
31.20000, -2.64683e-04
31.40000, 2.36799e-04
31.60000, -1.86453e-04
31.80000, 1.11349e-04
32.00000, -4.13220e-05
32.20000, -2.83041e-07
32.40000, 1.36058e-05
32.60000, -1.27301e-05
32.80000, 9.51794e-06
33.00000, -5.73418e-06
33.20000, -4.84523e-06
33.40000, 2.84293e-05
33.60000, -6.30647e-05
33.80000, 9.67396e-05
34.00000, -1.14134e-04
34.20000, 1.06852e-04
34.40000, -7.89330e-05
34.60000, 4.43181e-05
34.80000, -1.93459e-05
35.00000, 1.47593e-05
35.20000, -3.00108e-05
35.40000, 5.27626e-05
35.60000, -6.57561e-05
35.80000, 5.73179e-05
36.00000, -2.71512e-05
36.20000, -1.57314e-05
36.40000, 5.79614e-05
36.60000, -8.58434e-05
36.80000, 9.05469e-05
37.00000, -7.46707e-05
37.20000, 5.37581e-05
37.40000, -4.80926e-05
37.60000, 6.98753e-05
37.80000, -1.15566e-04
38.00000, 1.68211e-04
38.20000, -2.08169e-04
38.40000, 2.26919e-04
38.60000, -2.33894e-04
38.80000, 2.45835e-04
39.00000, -2.63913e-04
39.20000, 2.63366e-04
39.40000, -2.12258e-04
39.60000, 1.03621e-04
39.80000, 2.95474e-05
40.00000, -1.29196e-04
40.20000, 1.46498e-04
40.40000, -7.40430e-05
40.60000, -4.65582e-05
40.80000, 1.50950e-04
41.00000, -1.94102e-04
41.20000, 1.74358e-04
41.40000, -1.22281e-04
41.60000, 6.95056e-05
41.80000, -2.70237e-05
42.00000, -1.29060e-05
42.20000, 6.12086e-05
42.40000, -1.19565e-04
42.60000, 1.77014e-04
42.80000, -2.14044e-04
43.00000, 2.14136e-04
43.20000, -1.77844e-04
43.40000, 1.24968e-04
43.60000, -7.88606e-05
43.80000, 4.90305e-05
44.00000, -3.04831e-05
44.20000, 1.58273e-05
44.40000, -3.07172e-06
44.60000, -6.56941e-06
44.80000, 1.30452e-05
45.00000, -1.79097e-05
45.20000, 2.23261e-05
45.40000, -2.59120e-05
45.60000, 2.74283e-05
45.80000, -2.63565e-05
46.00000, 2.30650e-05
46.20000, -1.61518e-05
46.40000, 8.52900e-08
46.60000, 3.09408e-05
46.80000, -7.30080e-05
47.00000, 1.07113e-04
47.20000, -1.09686e-04
47.40000, 7.36927e-05
47.60000, -1.90666e-05
47.80000, -2.05271e-05
48.00000, 2.20490e-05
48.20000, 1.37201e-05
48.40000, -6.65009e-05
48.60000, 1.09662e-04
48.80000, -1.25408e-04
49.00000, 1.17221e-04
49.20000, -1.07980e-04
49.40000, 1.17913e-04
49.60000, -1.41605e-04
49.80000, 1.52042e-04
50.00000, -1.29414e-04
50.20000, 8.11546e-05
50.40000, -3.22316e-05
50.60000, 1.56747e-06
50.80000, 8.93870e-06
51.00000, -7.88515e-06
51.20000, 3.71646e-06
51.40000, -2.45012e-07
51.60000, -2.18726e-06
51.80000, 4.33245e-06
52.00000, -6.49129e-06
52.20000, 7.56791e-06
52.40000, -4.78275e-06
52.60000, -4.60052e-06
52.80000, 1.88294e-05
53.00000, -2.75008e-05
53.20000, 1.34932e-05
53.40000, 3.66486e-05
53.60000, -1.19491e-04
53.80000, 2.09130e-04
54.00000, -2.67063e-04
54.20000, 2.65082e-04
54.40000, -2.05479e-04
54.60000, 1.20434e-04
54.80000, -5.00192e-05
55.00000, 1.77883e-05
55.20000, -2.04423e-05
55.40000, 3.22973e-05
55.60000, -2.03188e-05
55.80000, -3.34276e-05
56.00000, 1.15095e-04
56.20000, -1.87128e-04
56.40000, 2.18396e-04
56.60000, -2.07536e-04
56.80000, 1.79530e-04
57.00000, -1.66225e-04
57.20000, 1.89549e-04
57.40000, -2.50083e-04
57.60000, 3.19134e-04
57.80000, -3.45409e-04
58.00000, 2.85532e-04
58.20000, -1.40238e-04
58.40000, -3.82125e-05
58.60000, 1.77404e-04
58.80000, -2.27896e-04
59.00000, 1.86566e-04
59.20000, -9.20485e-05
59.40000, 4.43054e-07
59.60000, 4.68513e-05
59.80000, -4.53803e-05
60.00000, 2.27760e-05
60.20000, -1.09348e-05
60.40000, 2.12802e-05
60.60000, -4.30149e-05
60.80000, 5.89735e-05
61.00000, -6.02689e-05
61.20000, 4.90425e-05
61.40000, -3.26735e-05
