# Frequency (THz), VDOS (THz^-1)
0.00000, -5.05475e-04
0.20000, 4.17293e-04
0.40000, -1.89022e-04
0.60000, -8.34992e-05
0.80000, 2.85555e-04
1.00000, -3.41986e-04
1.20000, 2.58597e-04
1.40000, -1.12443e-04
1.60000, -4.57919e-06
1.80000, 4.51314e-05
2.00000, -2.47386e-05
2.20000, -7.96522e-06
2.40000, 1.70175e-05
2.60000, -1.91550e-06
2.80000, -1.47826e-05
3.00000, 1.55391e-05
3.20000, -4.04964e-06
3.40000, -1.05473e-06
3.60000, -1.52329e-05
3.80000, 5.07854e-05
4.00000, -8.78454e-05
4.20000, 1.06957e-04
4.40000, -1.01393e-04
4.60000, 7.99652e-05
4.80000, -5.65439e-05
5.00000, 3.74092e-05
5.20000, -1.90838e-05
5.40000, -3.07071e-06
5.60000, 2.67055e-05
5.80000, -4.30580e-05
6.00000, 4.35941e-05
6.20000, -2.59819e-05
6.40000, -3.33820e-06
6.60000, 2.99518e-05
6.80000, -3.66319e-05
7.00000, 1.29345e-05
7.20000, 3.59315e-05
7.40000, -8.93087e-05
7.60000, 1.23001e-04
7.80000, -1.24553e-04
8.00000, 9.94548e-05
8.20000, -6.40907e-05
8.40000, 3.30660e-05
8.60000, -1.20351e-05
8.80000, -1.06536e-07
9.00000, 5.19105e-06
9.20000, -3.35502e-06
9.40000, -4.62632e-06
9.60000, 1.48060e-05
9.80000, -2.07687e-05
10.00000, 1.69994e-05
10.20000, -2.74782e-06
10.40000, -1.60849e-05
10.60000, 2.93762e-05
10.80000, -2.87537e-05
11.00000, 1.22526e-05
11.20000, 1.59114e-05
11.40000, -4.83262e-05
11.60000, 7.62566e-05
11.80000, -9.06287e-05
12.00000, 8.43961e-05
12.20000, -5.52506e-05
12.40000, 6.23660e-06
12.60000, 5.45316e-05
12.80000, -1.13299e-04
13.00000, 1.52622e-04
13.20000, -1.59349e-04
13.40000, 1.33580e-04
13.60000, -8.92231e-05
13.80000, 4.45613e-05
14.00000, -1.11966e-05
14.20000, -9.61899e-06
14.40000, 2.17870e-05
14.60000, -2.67855e-05
14.80000, 2.20609e-05
15.00000, -6.89732e-06
15.20000, -1.22693e-05
15.40000, 2.50901e-05
15.60000, -2.60720e-05
15.80000, 1.88502e-05
16.00000, -1.23375e-05
16.20000, 1.44029e-05
