# Frequency (THz), VDOS (THz^-1)
0.00000, -2.36221e-04
0.20000, 2.25134e-04
0.40000, -1.90921e-04
0.60000, 1.34017e-04
0.80000, -6.20971e-05
1.00000, -9.16906e-06
1.20000, 6.26864e-05
1.40000, -8.83368e-05
1.60000, 8.72852e-05
1.80000, -7.07136e-05
2.00000, 5.34233e-05
2.20000, -4.46644e-05
2.40000, 4.28918e-05
2.60000, -3.98910e-05
2.80000, 3.02069e-05
3.00000, -1.60535e-05
3.20000, 3.86733e-06
3.40000, 2.18427e-06
3.60000, -2.96531e-06
3.80000, 2.05549e-06
4.00000, -1.96005e-06
4.20000, 2.65105e-06
4.40000, -2.91342e-06
4.60000, 2.19737e-06
4.80000, -1.03676e-06
5.00000, 1.65733e-07
5.20000, 4.35619e-07
5.40000, -1.68081e-06
5.60000, 4.59163e-06
5.80000, -9.21043e-06
6.00000, 1.42384e-05
6.20000, -1.78929e-05
6.40000, 1.92482e-05
6.60000, -1.87822e-05
6.80000, 1.76749e-05
7.00000, -1.66346e-05
7.20000, 1.53776e-05
7.40000, -1.31523e-05
7.60000, 9.74510e-06
7.80000, -6.16959e-06
8.00000, 4.95984e-06
8.20000, -1.08770e-05
8.40000, 3.25932e-05
8.60000, -8.36253e-05
8.80000, 1.77885e-04
9.00000, -3.16720e-04
9.20000, 4.74099e-04
9.40000, -5.97001e-04
9.60000, 6.31432e-04
9.80000, -5.58678e-04
10.00000, 4.09624e-04
10.20000, -2.43015e-04
10.40000, 1.08237e-04
10.60000, -2.39550e-05
10.80000, -1.71448e-05
11.00000, 3.12881e-05
11.20000, -3.14269e-05
11.40000, 2.50055e-05
11.60000, -1.64428e-05
11.80000, 8.74763e-06
12.00000, -3.46099e-06
12.20000, 6.32249e-07
12.40000, 4.15883e-07
12.60000, -1.17446e-07
12.80000, -1.76943e-06
13.00000, 5.64410e-06
13.20000, -1.07173e-05
13.40000, 1.41099e-05
13.60000, -1.22472e-05
13.80000, 4.25783e-06
14.00000, 6.21633e-06
14.20000, -1.36388e-05
14.40000, 1.52298e-05
14.60000, -1.26210e-05
14.80000, 9.31785e-06
15.00000, -7.56077e-06
15.20000, 8.08275e-06
15.40000, -1.25751e-05
15.60000, 2.54545e-05
15.80000, -5.11540e-05
16.00000, 8.71150e-05
16.20000, -1.19321e-04
16.40000, 1.28541e-04
16.60000, -1.05301e-04
16.80000, 5.95569e-05
17.00000, -1.40040e-05
17.20000, -1.29807e-05
17.40000, 1.85516e-05
17.60000, -1.25154e-05
17.80000, 6.70483e-06
18.00000, -7.58060e-06
18.20000, 1.63868e-05
18.40000, -3.38063e-05
18.60000, 6.45168e-05
18.80000, -1.18038e-04
19.00000, 2.02389e-04
19.20000, -3.10856e-04
19.40000, 4.12564e-04
19.60000, -4.62237e-04
19.80000, 4.28548e-04
20.00000, -3.16641e-04
20.20000, 1.62845e-04
20.40000, -1.04838e-05
20.60000, -1.07385e-04
20.80000, 1.71343e-04
21.00000, -1.77449e-04
21.20000, 1.40436e-04
21.40000, -8.79234e-05
21.60000, 4.50431e-05
21.80000, -2.30929e-05
22.00000, 2.03049e-05
22.20000, -2.87169e-05
22.40000, 3.88408e-05
22.60000, -4.15238e-05
22.80000, 3.05349e-05
23.00000, -6.21364e-06
23.20000, -2.34680e-05
23.40000, 4.70611e-05
23.60000, -5.66746e-05
23.80000, 5.22923e-05
24.00000, -4.01553e-05
24.20000, 2.74885e-05
24.40000, -1.83554e-05
24.60000, 1.30079e-05
24.80000, -9.58227e-06
25.00000, 5.88509e-06
25.20000, 3.69433e-08
25.40000, -1.04071e-05
25.60000, 2.78828e-05
25.80000, -5.36092e-05
26.00000, 8.34102e-05
26.20000, -1.06167e-04
26.40000, 1.09629e-04
26.60000, -9.31004e-05
26.80000, 7.62073e-05
27.00000, -8.90668e-05
27.20000, 1.41893e-04
27.40000, -1.96692e-04
27.60000, 1.74918e-04
27.80000, -1.06987e-05
28.00000, -2.84621e-04
28.20000, 6.02634e-04
28.40000, -7.94900e-04
28.60000, 7.77882e-04
28.80000, -5.99030e-04
29.00000, 3.93518e-04
29.20000, -2.67647e-04
29.40000, 2.26852e-04
29.60000, -2.10326e-04
29.80000, 1.71189e-04
30.00000, -1.11014e-04
30.20000, 5.53223e-05
30.40000, -1.99372e-05
30.60000, 2.74216e-06
30.80000, 6.07376e-06
31.00000, -1.39068e-05
31.20000, 2.24721e-05
31.40000, -2.93192e-05
31.60000, 3.14889e-05
31.80000, -2.87419e-05
32.00000, 2.35418e-05
32.20000, -1.78827e-05
32.40000, 1.11698e-05
32.60000, -2.55068e-06
32.80000, -5.22414e-06
33.00000, 6.77793e-06
33.20000, -1.88663e-07
33.40000, -9.68160e-06
33.60000, 1.56187e-05
33.80000, -1.47590e-05
34.00000, 9.74500e-06
34.20000, -4.65718e-06
34.40000, 1.48149e-06
34.60000, 2.64220e-07
34.80000, -2.73386e-06
35.00000, 1.00648e-05
35.20000, -2.93540e-05
35.40000, 6.92653e-05
35.60000, -1.33485e-04
35.80000, 2.11430e-04
36.00000, -2.75525e-04
36.20000, 2.93315e-04
36.40000, -2.49748e-04
36.60000, 1.61889e-04
36.80000, -7.13927e-05
37.00000, 1.89000e-05
37.20000, -2.06696e-05
37.40000, 6.40790e-05
37.60000, -1.20377e-04
37.80000, 1.61331e-04
38.00000, -1.70368e-04
38.20000, 1.46679e-04
38.40000, -1.02560e-04
38.60000, 5.50471e-05
38.80000, -1.68712e-05
39.00000, -6.88789e-06
39.20000, 1.56261e-05
39.40000, -9.00113e-06
39.60000, -1.34593e-05
39.80000, 4.97008e-05
40.00000, -9.30470e-05
40.20000, 1.32588e-04
40.40000, -1.56481e-04
40.60000, 1.57959e-04
40.80000, -1.41176e-04
41.00000, 1.22487e-04
41.20000, -1.26433e-04
41.40000, 1.78423e-04
41.60000, -2.93098e-04
41.80000, 4.58380e-04
42.00000, -6.27259e-04
42.20000, 7.33540e-04
42.40000, -7.24033e-04
42.60000, 5.72948e-04
42.80000, -2.63296e-04
43.00000, -2.25014e-04
43.20000, 8.72469e-04
43.40000, -1.55281e-03
43.60000, 2.04269e-03
43.80000, -2.14962e-03
44.00000, 1.85319e-03
44.20000, -1.31435e-03
44.40000, 7.42679e-04
44.60000, -2.52223e-04
44.80000, -1.77498e-04
45.00000, 6.29885e-04
45.20000, -1.13816e-03
45.40000, 1.61287e-03
45.60000, -1.87405e-03
45.80000, 1.78573e-03
46.00000, -1.38687e-03
46.20000, 8.87168e-04
46.40000, -5.16808e-04
46.60000, 3.63267e-04
46.80000, -3.26872e-04
47.00000, 2.05088e-04
47.20000, 1.75384e-04
47.40000, -8.54667e-04
47.60000, 1.69873e-03
47.80000, -2.43932e-03
48.00000, 2.79982e-03
48.20000, -2.65416e-03
48.40000, 2.10460e-03
48.60000, -1.40735e-03
48.80000, 8.11053e-04
49.00000, -4.43852e-04
49.20000, 3.09471e-04
49.40000, -3.42230e-04
49.60000, 4.52464e-04
49.80000, -5.49734e-04
50.00000, 5.66385e-04
50.20000, -4.83735e-04
50.40000, 3.36201e-04
50.60000, -1.82329e-04
50.80000, 6.64857e-05
51.00000, -1.56595e-06
51.20000, -2.29524e-05
51.40000, 2.46492e-05
51.60000, -1.76784e-05
51.80000, 1.00202e-05
52.00000, -4.66992e-06
52.20000, 1.79278e-06
52.40000, -5.45645e-07
52.60000, 1.08061e-07
52.80000, 1.00212e-08
53.00000, -2.92406e-08
53.20000, 2.87522e-08
53.40000, -2.85128e-08
53.60000, 2.78958e-08
53.80000, -2.22883e-08
54.00000, 9.31096e-09
54.20000, 9.44458e-09
54.40000, -2.83138e-08
54.60000, 3.96199e-08
54.80000, -3.82283e-08
55.00000, 2.52967e-08
55.20000, -7.33189e-09
55.40000, -8.47114e-09
55.60000, 1.78163e-08
55.80000, -1.95583e-08
56.00000, 1.48056e-08
56.20000, -6.81889e-09
56.40000, 3.43799e-10
56.60000, 1.76882e-09
56.80000, -5.31277e-09
57.00000, 3.53126e-08
57.20000, -1.47828e-07
57.40000, 4.20659e-07
57.60000, -8.66815e-07
57.80000, 1.23229e-06
58.00000, -8.07718e-07
58.20000, -1.38629e-06
58.40000, 5.80860e-06
58.60000, -1.14899e-05
58.80000, 1.60475e-05
59.00000, -1.69092e-05
59.20000, 1.24725e-05
59.40000, -1.73467e-06
59.60000, -1.69983e-05
59.80000, 4.56711e-05
60.00000, -8.27697e-05
60.20000, 1.19251e-04
60.40000, -1.40159e-04
60.60000, 1.33970e-04
60.80000, -1.02363e-04
61.00000, 6.00926e-05
61.20000, -2.42587e-05
61.40000, 3.48887e-06
61.60000, 3.86224e-06
61.80000, -4.07559e-06
62.00000, 2.34591e-06
62.20000, -9.68388e-07
62.40000, 2.96809e-07
62.60000, -5.85055e-08
62.80000, -3.59623e-09
63.00000, 1.31031e-08
63.20000, -1.07401e-08
63.40000, 5.61696e-09
63.60000, 7.06927e-10
63.80000, -6.93475e-09
64.00000, 1.15947e-08
64.20000, -1.40905e-08
64.40000, 1.47811e-08
64.60000, -1.40947e-08
64.80000, 1.20683e-08
65.00000, -8.86287e-09
65.20000, 5.26631e-09
65.40000, -2.35535e-09
65.60000, 7.88972e-10
65.80000, -5.27760e-10
66.00000, 1.05141e-09
66.20000, -1.71233e-09
66.40000, 1.97634e-09
66.60000, -1.49405e-09
66.80000, 1.20271e-10
67.00000, 1.97005e-09
67.20000, -4.18394e-09
67.40000, 5.71279e-09
67.60000, -6.00938e-09
67.80000, 5.13047e-09
68.00000, -3.63465e-09
68.20000, 2.15327e-09
68.40000, -1.00276e-09
68.60000, 1.24112e-10
68.80000, 6.41417e-10
69.00000, -1.22724e-09
69.20000, 1.32236e-09
69.40000, -7.17056e-10
69.60000, -3.38579e-10
69.80000, 1.18586e-09
70.00000, -1.23473e-09
70.20000, 4.29415e-10
70.40000, 7.01887e-10
70.60000, -1.38693e-09
70.80000, 1.03785e-09
71.00000, 4.72251e-10
71.20000, -2.77228e-09
71.40000, 5.15088e-09
71.60000, -6.78747e-09
71.80000, 7.00920e-09
72.00000, -5.60109e-09
72.20000, 3.04348e-09
72.40000, -3.96620e-10
72.60000, -1.23253e-09
72.80000, 1.29873e-09
73.00000, -7.38765e-11
73.20000, -1.56223e-09
73.40000, 2.59713e-09
73.60000, -2.37948e-09
73.80000, 9.43113e-10
74.00000, 1.00352e-09
