# Frequency (THz), VDOS (THz^-1)
0.00000, -1.91350e-04
0.20000, 1.81626e-04
0.40000, -1.53596e-04
0.60000, 1.10066e-04
0.80000, -5.48896e-05
1.00000, -6.03368e-06
1.20000, 6.31605e-05
1.40000, -1.04200e-04
1.60000, 1.19551e-04
1.80000, -1.09264e-04
2.00000, 8.41332e-05
2.20000, -5.79480e-05
2.40000, 3.81365e-05
2.60000, -2.41146e-05
2.80000, 1.32726e-05
3.00000, -6.49826e-06
3.20000, 7.32352e-06
3.40000, -1.63434e-05
3.60000, 2.74630e-05
3.80000, -3.12216e-05
4.00000, 2.32482e-05
4.20000, -9.20847e-06
4.40000, 9.97994e-07
4.60000, -1.05301e-05
4.80000, 5.12502e-05
5.00000, -1.45415e-04
5.20000, 3.21050e-04
5.40000, -5.86810e-04
5.60000, 8.99482e-04
5.80000, -1.16247e-03
6.00000, 1.27564e-03
6.20000, -1.20113e-03
6.40000, 9.83910e-04
6.60000, -7.11986e-04
6.80000, 4.61396e-04
7.00000, -2.70407e-04
7.20000, 1.44481e-04
7.40000, -7.12578e-05
7.60000, 3.30515e-05
7.80000, -1.48423e-05
8.00000, 8.04075e-06
8.20000, -1.10908e-05
8.40000, 2.90681e-05
8.60000, -7.26557e-05
8.80000, 1.53263e-04
9.00000, -2.71508e-04
9.20000, 4.04582e-04
9.40000, -5.06878e-04
9.60000, 5.32448e-04
9.80000, -4.65817e-04
10.00000, 3.33933e-04
10.20000, -1.87526e-04
10.40000, 6.93397e-05
10.60000, 4.23672e-06
10.80000, -3.92273e-05
11.00000, 4.93910e-05
11.20000, -4.58147e-05
11.40000, 3.53126e-05
11.60000, -2.26878e-05
11.80000, 1.16775e-05
12.00000, -4.26552e-06
12.20000, 4.57715e-07
12.40000, 7.50352e-07
12.60000, -1.36283e-07
12.80000, -2.24035e-06
13.00000, 6.36849e-06
13.20000, -1.08223e-05
13.40000, 1.20771e-05
13.60000, -6.49352e-06
13.80000, -5.79924e-06
14.00000, 1.93937e-05
14.20000, -2.73201e-05
14.40000, 2.66401e-05
14.60000, -2.00056e-05
14.80000, 1.22809e-05
15.00000, -6.83324e-06
15.20000, 5.43319e-06
15.40000, -1.11262e-05
15.60000, 2.98736e-05
15.80000, -6.65349e-05
16.00000, 1.15630e-04
16.20000, -1.55928e-04
16.40000, 1.59986e-04
16.60000, -1.16153e-04
16.80000, 4.29111e-05
17.00000, 2.18602e-05
17.20000, -4.91681e-05
17.40000, 3.84549e-05
17.60000, -1.20181e-05
17.80000, -6.30081e-06
18.00000, 6.56337e-06
18.20000, 8.17567e-06
18.40000, -3.26689e-05
18.60000, 6.89582e-05
18.80000, -1.28484e-04
19.00000, 2.24744e-04
19.20000, -3.57608e-04
19.40000, 4.99195e-04
19.60000, -5.98003e-04
19.80000, 6.06183e-04
20.00000, -5.10088e-04
20.20000, 3.37941e-04
20.40000, -1.42243e-04
20.60000, -2.38680e-05
20.80000, 1.23733e-04
21.00000, -1.48366e-04
21.20000, 1.18430e-04
21.40000, -7.05526e-05
21.60000, 3.57528e-05
21.80000, -2.74512e-05
22.00000, 4.41003e-05
22.20000, -7.58828e-05
22.40000, 1.07246e-04
22.60000, -1.18993e-04
22.80000, 9.62441e-05
23.00000, -3.94032e-05
23.20000, -3.23747e-05
23.40000, 9.12247e-05
23.60000, -1.17621e-04
23.80000, 1.10802e-04
24.00000, -8.50995e-05
24.20000, 5.75100e-05
24.40000, -3.76408e-05
24.60000, 2.56040e-05
24.80000, -1.47765e-05
25.00000, -7.11625e-06
25.20000, 6.22558e-05
25.40000, -1.87977e-04
25.60000, 4.28570e-04
25.80000, -8.00224e-04
26.00000, 1.24323e-03
26.20000, -1.61243e-03
26.40000, 1.74663e-03
26.60000, -1.57962e-03
26.80000, 1.19234e-03
27.00000, -7.52424e-04
27.20000, 3.99506e-04
27.40000, -1.76580e-04
27.60000, 4.30714e-05
27.80000, 7.02346e-05
28.00000, -2.12525e-04
28.20000, 3.85545e-04
28.40000, -5.35539e-04
28.60000, 5.72738e-04
28.80000, -4.27328e-04
29.00000, 1.16108e-04
29.20000, 2.41972e-04
29.40000, -4.95076e-04
29.60000, 5.60491e-04
29.80000, -4.66754e-04
30.00000, 3.07255e-04
30.20000, -1.64602e-04
30.40000, 7.29911e-05
30.60000, -2.80650e-05
30.80000, 1.25984e-05
31.00000, -1.21673e-05
31.20000, 1.77156e-05
31.40000, -2.32739e-05
31.60000, 2.51144e-05
31.80000, -2.25373e-05
32.00000, 1.74447e-05
32.20000, -1.18506e-05
32.40000, 6.01742e-06
32.60000, 2.66899e-07
32.80000, -5.15265e-06
33.00000, 5.32955e-06
33.20000, 9.01644e-09
33.40000, -7.16670e-06
33.60000, 1.11689e-05
33.80000, -1.02836e-05
34.00000, 6.56881e-06
34.20000, -2.92466e-06
34.40000, 7.09260e-07
34.60000, 3.83897e-07
34.80000, -1.64090e-06
35.00000, 5.36456e-06
35.20000, -1.53881e-05
35.40000, 3.63813e-05
35.60000, -7.04442e-05
35.80000, 1.12123e-04
