# Frequency (THz), VDOS (THz^-1)
0.00000, -4.35052e-04
0.20000, 4.16309e-04
0.40000, -3.54663e-04
0.60000, 2.43216e-04
0.80000, -9.13936e-05
1.00000, -6.79964e-05
1.20000, 1.90072e-04
1.40000, -2.40480e-04
1.60000, 2.18627e-04
1.80000, -1.66791e-04
2.00000, 1.46416e-04
2.20000, -1.87651e-04
2.40000, 2.59424e-04
2.60000, -2.98857e-04
2.80000, 2.71922e-04
3.00000, -2.00048e-04
3.20000, 1.31102e-04
3.40000, -9.39286e-05
3.60000, 8.08704e-05
3.80000, -6.57743e-05
4.00000, 3.39757e-05
4.20000, 4.55746e-06
4.40000, -2.84881e-05
4.60000, 2.63955e-05
4.80000, -1.64979e-06
5.00000, -4.00230e-05
5.20000, 1.00208e-04
5.40000, -1.81696e-04
5.60000, 2.75043e-04
5.80000, -3.55489e-04
6.00000, 3.96442e-04
6.20000, -3.86880e-04
6.40000, 3.36011e-04
6.60000, -2.63837e-04
6.80000, 1.89608e-04
7.00000, -1.26192e-04
7.20000, 7.90613e-05
7.40000, -4.73929e-05
7.60000, 2.70997e-05
7.80000, -1.47406e-05
8.00000, 1.03163e-05
8.20000, -1.89500e-05
8.40000, 5.28678e-05
8.60000, -1.32071e-04
8.80000, 2.77080e-04
9.00000, -4.89049e-04
9.20000, 7.27448e-04
9.40000, -9.11142e-04
9.60000, 9.58247e-04
9.80000, -8.41055e-04
10.00000, 6.07505e-04
10.20000, -3.48014e-04
10.40000, 1.38633e-04
10.60000, -8.11963e-06
10.80000, -5.48057e-05
11.00000, 7.48454e-05
11.20000, -7.13805e-05
11.40000, 5.58282e-05
11.60000, -3.60371e-05
11.80000, 1.82436e-05
12.00000, -5.95740e-06
12.20000, -5.04226e-07
12.40000, 2.48893e-06
12.60000, -9.89983e-07
12.80000, -4.14297e-06
13.00000, 1.28971e-05
13.20000, -2.22200e-05
13.40000, 2.47057e-05
13.60000, -1.28038e-05
13.80000, -1.30489e-05
14.00000, 4.13981e-05
14.20000, -5.78125e-05
14.40000, 5.67544e-05
14.60000, -4.46283e-05
14.80000, 3.20319e-05
15.00000, -2.48464e-05
15.20000, 2.22931e-05
15.40000, -2.10717e-05
15.60000, 1.97807e-05
15.80000, -1.94878e-05
16.00000, 2.07796e-05
16.20000, -2.10400e-05
16.40000, 1.55963e-05
16.60000, -2.57540e-06
16.80000, -1.31222e-05
17.00000, 2.18253e-05
17.20000, -1.68963e-05
17.40000, 1.49618e-06
17.60000, 1.27093e-05
17.80000, -1.38602e-05
18.00000, -3.16338e-06
18.20000, 3.75148e-05
18.40000, -8.94804e-05
18.60000, 1.68042e-04
18.80000, -2.91421e-04
19.00000, 4.72120e-04
19.20000, -6.87651e-04
19.40000, 8.62712e-04
19.60000, -8.97973e-04
19.80000, 7.41356e-04
20.00000, -4.40625e-04
20.20000, 1.19450e-04
20.40000, 1.05624e-04
20.60000, -1.91794e-04
20.80000, 1.71417e-04
21.00000, -1.06946e-04
21.20000, 4.72702e-05
21.40000, -1.19183e-05
21.60000, -1.45733e-06
21.80000, 3.06292e-06
22.00000, -2.58096e-06
22.20000, 1.00493e-05
22.40000, -4.45930e-05
22.60000, 1.46449e-04
22.80000, -3.80287e-04
23.00000, 8.08501e-04
23.20000, -1.42433e-03
23.40000, 2.08489e-03
23.60000, -2.53190e-03
23.80000, 2.53975e-03
24.00000, -2.08824e-03
24.20000, 1.38912e-03
24.40000, -7.29639e-04
24.60000, 2.85768e-04
24.80000, -6.33819e-05
25.00000, -3.50362e-05
25.20000, 1.28499e-04
25.40000, -3.26493e-04
25.60000, 7.20032e-04
25.80000, -1.33909e-03
26.00000, 2.08228e-03
26.20000, -2.70422e-03
26.40000, 2.93271e-03
26.60000, -2.65514e-03
26.80000, 2.00569e-03
27.00000, -1.26433e-03
27.20000, 6.67481e-04
27.40000, -2.98540e-04
27.60000, 1.13146e-04
27.80000, -2.59602e-05
28.00000, -2.64987e-05
28.20000, 7.03213e-05
28.40000, -1.05676e-04
28.60000, 1.23487e-04
28.80000, -1.18162e-04
29.00000, 9.34513e-05
29.20000, -6.04621e-05
29.40000, 3.06642e-05
29.60000, -1.01727e-05
29.80000, -7.32840e-07
30.00000, 4.68112e-06
30.20000, -4.68412e-06
30.40000, 3.17816e-06
30.60000, -1.72629e-06
30.80000, 9.19479e-07
31.00000, -6.25634e-07
31.20000, 4.85440e-07
31.40000, -3.53458e-07
31.60000, 4.95273e-07
31.80000, -1.39168e-06
32.00000, 3.10241e-06
32.20000, -4.67720e-06
32.40000, 4.64700e-06
32.60000, -2.85711e-06
32.80000, 1.68869e-06
33.00000, -4.18997e-06
33.20000, 1.03404e-05
33.40000, -1.61917e-05
33.60000, 1.75885e-05
33.80000, -1.40551e-05
34.00000, 8.46408e-06
34.20000, -3.82738e-06
34.40000, 1.22719e-06
34.60000, -1.31981e-07
34.80000, -5.24557e-07
35.00000, 1.93687e-06
35.20000, -5.60643e-06
35.40000, 1.31713e-05
35.60000, -2.52097e-05
35.80000, 3.95922e-05
