# Frequency (THz), VDOS (THz^-1)
0.00000, -1.57722e-04
0.20000, 1.45739e-04
0.40000, -1.14740e-04
0.60000, 7.56284e-05
0.80000, -3.77888e-05
1.00000, 5.68256e-06
1.20000, 1.87835e-05
1.40000, -3.33324e-05
1.60000, 3.62920e-05
1.80000, -2.95866e-05
2.00000, 1.91339e-05
2.20000, -1.17877e-05
2.40000, 1.14998e-05
2.60000, -1.68754e-05
2.80000, 2.15918e-05
3.00000, -1.87154e-05
3.20000, 6.28986e-06
3.40000, 1.13334e-05
3.60000, -2.76014e-05
3.80000, 3.80007e-05
4.00000, -4.01747e-05
4.20000, 3.22152e-05
4.40000, -1.33663e-05
4.60000, -1.34492e-05
4.80000, 4.11162e-05
5.00000, -6.06750e-05
5.20000, 6.45275e-05
5.40000, -5.01194e-05
5.60000, 2.34633e-05
5.80000, 2.05962e-06
6.00000, -1.40940e-05
6.20000, 1.03143e-05
6.40000, 7.74836e-07
6.60000, -7.34917e-06
6.80000, 4.00825e-06
7.00000, -5.24910e-07
7.20000, 2.64175e-05
7.40000, -1.19919e-04
7.60000, 2.93609e-04
7.80000, -4.99937e-04
8.00000, 6.43393e-04
8.20000, -6.49716e-04
8.40000, 5.31106e-04
8.60000, -3.76443e-04
8.80000, 2.74439e-04
9.00000, -2.48186e-04
9.20000, 2.56991e-04
9.40000, -2.46693e-04
9.60000, 1.93524e-04
9.80000, -1.11157e-04
10.00000, 3.07591e-05
10.20000, 2.03377e-05
10.40000, -2.68008e-05
10.60000, -1.55134e-05
10.80000, 9.85171e-05
11.00000, -1.98729e-04
11.20000, 2.82555e-04
11.40000, -3.22801e-04
11.60000, 3.12686e-04
11.80000, -2.64532e-04
12.00000, 1.97848e-04
12.20000, -1.29753e-04
12.40000, 7.21228e-05
12.60000, -3.14804e-05
12.80000, 8.86121e-06
13.00000, -4.94779e-07
13.20000, 1.38632e-07
13.40000, -2.11896e-06
13.60000, 3.36376e-06
13.80000, -3.47582e-06
14.00000, 3.28839e-06
14.20000, -3.15211e-06
14.40000, 2.00350e-06
14.60000, 2.35094e-06
14.80000, -1.19620e-05
15.00000, 2.74028e-05
15.20000, -4.73154e-05
15.40000, 6.86174e-05
15.60000, -8.65782e-05
15.80000, 9.54341e-05
16.00000, -9.08732e-05
16.20000, 7.29749e-05
16.40000, -4.58349e-05
16.60000, 1.23418e-05
16.80000, 3.31849e-05
17.00000, -1.08947e-04
17.20000, 2.38698e-04
17.40000, -4.29513e-04
17.60000, 6.46201e-04
17.80000, -8.12190e-04
18.00000, 8.53331e-04
18.20000, -7.53576e-04
18.40000, 5.67558e-04
18.60000, -3.77595e-04
18.80000, 2.40666e-04
19.00000, -1.69387e-04
19.20000, 1.45370e-04
19.40000, -1.40267e-04
19.60000, 1.30290e-04
19.80000, -1.01303e-04
20.00000, 4.56920e-05
20.20000, 4.14424e-05
20.40000, -1.57384e-04
20.60000, 2.80811e-04
20.80000, -3.71261e-04
21.00000, 3.89904e-04
21.20000, -3.27695e-04
21.40000, 2.13586e-04
21.60000, -9.46667e-05
21.80000, 8.36361e-06
22.00000, 3.10295e-05
22.20000, -2.90246e-05
22.40000, 1.32215e-06
22.60000, 3.41851e-05
22.80000, -6.23777e-05
23.00000, 7.42424e-05
23.20000, -6.91339e-05
23.40000, 5.42810e-05
23.60000, -4.01718e-05
23.80000, 3.43068e-05
24.00000, -3.78065e-05
24.20000, 4.63448e-05
24.40000, -5.34848e-05
24.60000, 5.45466e-05
24.80000, -4.96771e-05
25.00000, 4.37393e-05
25.20000, -4.18916e-05
25.40000, 4.50665e-05
25.60000, -5.16376e-05
25.80000, 6.35028e-05
26.00000, -8.49019e-05
26.20000, 1.07953e-04
26.40000, -9.93903e-05
26.60000, 1.17352e-05
26.80000, 1.79341e-04
27.00000, -4.41294e-04
27.20000, 6.88458e-04
27.40000, -8.26050e-04
27.60000, 8.03289e-04
27.80000, -6.39235e-04
28.00000, 4.06979e-04
28.20000, -1.90869e-04
28.40000, 4.94680e-05
28.60000, -9.80396e-06
28.80000, 8.58128e-05
29.00000, -2.85643e-04
29.20000, 5.86633e-04
29.40000, -9.07595e-04
29.60000, 1.13188e-03
29.80000, -1.18316e-03
30.00000, 1.08199e-03
30.20000, -9.19748e-04
30.40000, 7.77364e-04
30.60000, -6.73127e-04
30.80000, 5.79238e-04
31.00000, -4.70294e-04
31.20000, 3.48847e-04
31.40000, -2.34834e-04
31.60000, 1.44271e-04
31.80000, -8.08188e-05
32.00000, 4.04076e-05
32.20000, -1.75888e-05
32.40000, 7.81116e-06
32.60000, -7.01952e-06
32.80000, 1.10731e-05
33.00000, -1.58866e-05
33.20000, 1.81505e-05
33.40000, -1.60761e-05
33.60000, 9.61594e-06
33.80000, -3.93125e-08
34.00000, -1.08280e-05
34.20000, 2.12786e-05
34.40000, -3.00222e-05
34.60000, 3.61154e-05
34.80000, -3.88824e-05
35.00000, 3.82391e-05
35.20000, -3.53340e-05
35.40000, 3.27972e-05
35.60000, -3.38707e-05
35.80000, 4.04881e-05
36.00000, -5.14502e-05
36.20000, 6.23350e-05
36.40000, -6.80348e-05
36.60000, 6.69587e-05
36.80000, -6.43210e-05
37.00000, 7.22801e-05
37.20000, -1.06434e-04
37.40000, 1.78629e-04
37.60000, -2.86867e-04
37.80000, 4.10006e-04
38.00000, -5.20579e-04
38.20000, 6.12430e-04
38.40000, -7.08869e-04
38.60000, 8.25343e-04
38.80000, -9.22952e-04
39.00000, 9.21881e-04
39.20000, -7.78785e-04
39.40000, 5.45876e-04
39.60000, -3.42193e-04
39.80000, 2.62203e-04
40.00000, -3.06626e-04
40.20000, 3.92381e-04
40.40000, -4.25664e-04
40.60000, 3.70659e-04
40.80000, -2.58742e-04
41.00000, 1.45343e-04
41.20000, -6.56365e-05
