# Frequency (THz), VDOS (THz^-1)
0.00000, -1.83674e-04
0.20000, 1.69769e-04
0.40000, -1.33850e-04
0.60000, 8.87030e-05
0.80000, -4.53507e-05
1.00000, 8.91947e-06
1.20000, 1.87574e-05
1.40000, -3.56175e-05
1.60000, 4.00878e-05
1.80000, -3.42167e-05
2.00000, 2.42230e-05
2.20000, -1.73698e-05
2.40000, 1.78643e-05
2.60000, -2.40798e-05
2.80000, 2.88835e-05
3.00000, -2.44917e-05
3.20000, 8.95801e-06
3.40000, 1.21577e-05
3.60000, -3.05294e-05
3.80000, 4.02356e-05
4.00000, -3.83742e-05
4.20000, 2.35076e-05
4.40000, 3.47160e-06
4.60000, -3.69043e-05
4.80000, 6.68476e-05
5.00000, -8.31895e-05
5.20000, 7.99625e-05
5.40000, -5.81027e-05
5.60000, 2.66130e-05
5.80000, 2.70267e-07
6.00000, -1.11152e-05
6.20000, 4.76257e-06
6.40000, 1.01400e-05
6.60000, -2.30301e-05
6.80000, 3.05083e-05
7.00000, -4.27267e-05
7.20000, 8.33591e-05
7.40000, -1.73641e-04
7.60000, 2.98932e-04
7.80000, -3.88490e-04
8.00000, 3.54199e-04
8.20000, -1.80264e-04
8.40000, -2.46636e-05
8.60000, 9.13885e-05
8.80000, 7.17686e-05
9.00000, -3.97547e-04
9.20000, 7.08948e-04
9.40000, -8.44665e-04
9.60000, 7.53722e-04
9.80000, -5.03582e-04
10.00000, 2.19926e-04
10.20000, -1.20991e-05
10.40000, -6.85273e-05
10.60000, 2.61453e-05
10.80000, 1.01226e-04
11.00000, -2.58665e-04
11.20000, 3.88959e-04
11.40000, -4.52982e-04
11.60000, 4.44024e-04
11.80000, -3.81449e-04
12.00000, 2.91963e-04
12.20000, -1.97538e-04
12.40000, 1.14184e-04
12.60000, -5.27248e-05
12.80000, 1.70275e-05
13.00000, -3.06292e-06
13.20000, 1.79251e-06
13.40000, -4.33680e-06
13.60000, 5.78437e-06
13.80000, -5.56514e-06
14.00000, 5.10264e-06
14.20000, -4.96682e-06
14.40000, 3.37905e-06
14.60000, 3.25763e-06
14.80000, -1.83853e-05
15.00000, 4.34648e-05
15.20000, -7.73716e-05
15.40000, 1.16003e-04
15.60000, -1.51118e-04
15.80000, 1.70953e-04
16.00000, -1.65655e-04
16.20000, 1.34203e-04
16.40000, -8.51711e-05
16.60000, 2.88794e-05
16.80000, 3.36298e-05
17.00000, -1.16853e-04
17.20000, 2.44585e-04
17.40000, -4.27279e-04
17.60000, 6.34843e-04
17.80000, -7.94755e-04
18.00000, 8.33282e-04
18.20000, -7.31232e-04
18.40000, 5.40155e-04
18.60000, -3.43373e-04
18.80000, 2.02947e-04
19.00000, -1.36583e-04
19.20000, 1.27232e-04
19.40000, -1.43492e-04
19.60000, 1.55416e-04
19.80000, -1.41288e-04
20.00000, 8.68237e-05
20.20000, 1.56549e-05
20.40000, -1.60094e-04
20.60000, 3.15791e-04
20.80000, -4.30378e-04
21.00000, 4.57193e-04
21.20000, -3.88823e-04
21.40000, 2.63652e-04
21.60000, -1.37490e-04
21.80000, 4.85713e-05
22.00000, -5.02511e-06
22.20000, -4.98047e-06
22.40000, -1.92457e-06
22.60000, 1.29380e-05
22.80000, -2.10623e-05
23.00000, 2.41209e-05
23.20000, -2.32424e-05
23.40000, 2.14645e-05
23.60000, -2.22234e-05
23.80000, 2.77454e-05
24.00000, -3.78638e-05
24.20000, 4.96489e-05
24.40000, -5.81670e-05
24.60000, 5.87917e-05
24.80000, -5.02637e-05
25.00000, 3.58899e-05
25.20000, -2.13574e-05
25.40000, 1.13953e-05
25.60000, -8.62063e-06
25.80000, 1.41526e-05
26.00000, -2.63695e-05
26.20000, 3.70776e-05
26.40000, -3.00982e-05
26.60000, -1.28621e-05
26.80000, 1.00794e-04
27.00000, -2.20795e-04
27.20000, 3.24961e-04
27.40000, -3.24110e-04
27.60000, 1.15809e-04
27.80000, 3.35510e-04
28.00000, -9.18154e-04
28.20000, 1.39556e-03
28.40000, -1.55529e-03
28.60000, 1.35823e-03
28.80000, -9.43967e-04
29.00000, 5.04076e-04
29.20000, -1.60347e-04
29.40000, -6.35354e-05
29.60000, 2.04893e-04
29.80000, -3.19742e-04
30.00000, 4.52801e-04
30.20000, -6.14070e-04
30.40000, 7.71634e-04
30.60000, -8.73561e-04
30.80000, 8.85016e-04
31.00000, -8.08735e-04
31.20000, 6.75007e-04
31.40000, -5.18350e-04
31.60000, 3.64431e-04
31.80000, -2.30673e-04
32.00000, 1.28623e-04
32.20000, -6.22464e-05
32.40000, 2.69406e-05
32.60000, -1.29064e-05
32.80000, 1.01084e-05
33.00000, -1.11504e-05
33.20000, 1.16626e-05
33.40000, -9.63929e-06
33.60000, 4.71118e-06
33.80000, 2.46686e-06
34.00000, -1.07647e-05
34.20000, 1.90132e-05
34.40000, -2.62052e-05
34.60000, 3.14722e-05
34.80000, -3.41143e-05
35.00000, 3.39993e-05
35.20000, -3.22239e-05
35.40000, 3.13925e-05
35.60000, -3.47991e-05
35.80000, 4.44581e-05
36.00000, -5.90226e-05
36.20000, 7.34174e-05
36.40000, -8.14889e-05
36.60000, 8.05725e-05
36.80000, -7.41015e-05
37.00000, 6.89133e-05
37.20000, -6.91565e-05
37.40000, 7.35506e-05
37.60000, -8.04466e-05
37.80000, 9.70274e-05
38.00000, -1.43289e-04
38.20000, 2.42973e-04
38.40000, -4.01702e-04
38.60000, 5.85687e-04
38.80000, -7.24228e-04
39.00000, 7.47285e-04
39.20000, -6.34261e-04
39.40000, 4.29935e-04
39.60000, -2.11822e-04
39.80000, 4.10741e-05
40.00000, 6.15950e-05
40.20000, -1.06644e-04
40.40000, 1.14237e-04
40.60000, -1.00810e-04
40.80000, 7.72338e-05
41.00000, -5.14677e-05
41.20000, 2.95062e-05
41.40000, -1.43854e-05
41.60000, 5.90912e-06
41.80000, -2.02841e-06
42.00000, 5.76581e-07
42.20000, -1.38149e-07
42.40000, 5.01938e-08
42.60000, -1.20383e-07
42.80000, 4.68328e-07
43.00000, -1.58215e-06
43.20000, 4.46081e-06
43.40000, -1.04870e-05
43.60000, 2.05894e-05
43.80000, -3.38070e-05
44.00000, 4.65483e-05
44.20000, -5.41561e-05
44.40000, 5.43287e-05
44.60000, -4.91594e-05
44.80000, 4.31748e-05
45.00000, -3.91908e-05
45.20000, 3.65569e-05
45.40000, -3.34862e-05
45.60000, 3.03861e-05
45.80000, -3.03480e-05
46.00000, 3.62904e-05
46.20000, -4.74950e-05
46.40000, 5.89873e-05
46.60000, -6.51130e-05
46.80000, 6.44213e-05
47.00000, -6.05090e-05
47.20000, 5.73644e-05
47.40000, -5.45028e-05
47.60000, 4.75677e-05
47.80000, -3.32760e-05
48.00000, 1.29551e-05
48.20000, 8.30540e-06
48.40000, -2.47340e-05
48.60000, 3.18882e-05
48.80000, -2.71640e-05
49.00000, 1.06616e-05
49.20000, 1.29887e-05
49.40000, -3.40185e-05
49.60000, 4.07621e-05
49.80000, -2.64645e-05
50.00000, -4.78414e-06
50.20000, 3.87886e-05
50.40000, -5.95250e-05
50.60000, 5.79608e-05
50.80000, -3.36506e-05
51.00000, -9.40194e-06
51.20000, 6.36403e-05
51.40000, -1.12471e-04
51.60000, 1.26591e-04
51.80000, -6.87308e-05
52.00000, -9.91086e-05
52.20000, 4.10317e-04
52.40000, -8.75463e-04
52.60000, 1.43917e-03
52.80000, -1.94690e-03
53.00000, 2.18824e-03
53.20000, -2.02353e-03
53.40000, 1.49350e-03
53.60000, -8.02314e-04
53.80000, 1.88703e-04
54.00000, 1.94963e-04
54.20000, -3.13281e-04
54.40000, 2.12506e-04
54.60000, 1.86389e-05
54.80000, -2.73152e-04
55.00000, 4.53186e-04
55.20000, -5.05263e-04
55.40000, 4.39303e-04
55.60000, -3.11415e-04
55.80000, 1.83196e-04
56.00000, -9.01593e-05
56.20000, 3.72648e-05
56.40000, -1.29346e-05
56.60000, 3.72417e-06
56.80000, -8.28276e-07
57.00000, 7.99839e-08
57.20000, 6.10924e-08
57.40000, -6.04118e-08
57.60000, 3.62940e-08
57.80000, -1.45935e-08
58.00000, 2.12251e-09
58.20000, -2.37252e-09
58.40000, 1.45684e-08
58.60000, -3.18369e-08
58.80000, 4.23587e-08
59.00000, -2.61029e-08
59.20000, -6.71655e-08
59.40000, 3.65382e-07
59.60000, -1.11619e-06
59.80000, 2.63126e-06
60.00000, -5.04255e-06
60.20000, 7.96299e-06
60.40000, -1.04076e-05
60.60000, 1.12724e-05
60.80000, -1.01142e-05
61.00000, 7.51898e-06
61.20000, -4.69263e-06
61.40000, 2.72344e-06
61.60000, -2.18941e-06
61.80000, 3.20012e-06
62.00000, -5.42506e-06
62.20000, 7.87511e-06
62.40000, -8.85814e-06
62.60000, 6.70799e-06
62.80000, -1.11129e-06
63.00000, -6.14550e-06
63.20000, 1.20385e-05
63.40000, -1.42910e-05
63.60000, 1.27610e-05
63.80000, -9.10632e-06
64.00000, 5.32356e-06
64.20000, -2.57922e-06
64.40000, 1.03980e-06
64.60000, -3.46114e-07
64.80000, 8.98489e-08
65.00000, -1.12940e-08
65.20000, -8.26781e-09
65.40000, 1.09942e-08
65.60000, -9.31240e-09
65.80000, 6.71399e-09
66.00000, -4.35794e-09
66.20000, 2.61912e-09
66.40000, -1.25794e-09
66.60000, -5.14360e-10
66.80000, 3.41858e-09
67.00000, -7.14171e-09
67.20000, 1.01357e-08
67.40000, -1.07558e-08
67.60000, 8.66761e-09
67.80000, -5.04672e-09
68.00000, 1.55177e-09
68.20000, 7.42037e-10
68.40000, -1.65607e-09
68.60000, 1.60277e-09
68.80000, -1.13327e-09
69.00000, 6.54700e-10
69.20000, -3.84884e-10
69.40000, 4.27311e-10
69.60000, -8.14250e-10
69.80000, 1.47923e-09
70.00000, -2.24566e-09
70.20000, 2.90042e-09
70.40000, -3.28172e-09
70.60000, 3.28067e-09
70.80000, -2.81504e-09
71.00000, 1.91447e-09
71.20000, -8.62546e-10
71.40000, 1.52774e-10
71.60000, -1.96187e-10
71.80000, 1.05752e-09
72.00000, -2.45755e-09
72.20000, 3.92920e-09
72.40000, -4.94823e-09
72.60000, 5.09758e-09
72.80000, -4.30507e-09
73.00000, 2.92942e-09
73.20000, -1.52953e-09
73.40000, 5.18854e-10
73.60000, -6.07555e-12
73.80000, -1.29871e-10
74.00000, 8.03436e-11
74.20000, 8.00253e-12
74.40000, -6.31320e-11
74.60000, 5.82656e-11
74.80000, 1.43984e-11
75.00000, -1.32150e-10
75.20000, 2.31254e-10
75.40000, -2.47347e-10
75.60000, 1.77614e-10
75.80000, -9.34505e-11
76.00000, 9.38596e-11
76.20000, -2.47243e-10
76.40000, 5.51848e-10
76.60000, -9.22367e-10
76.80000, 1.21921e-09
77.00000, -1.32030e-09
77.20000, 1.18387e-09
77.40000, -8.46065e-10
77.60000, 3.74374e-10
77.80000, 1.44341e-10
78.00000, -5.68748e-10
78.20000, 7.10214e-10
78.40000, -4.30157e-10
78.60000, -2.69723e-10
78.80000, 1.26720e-09
79.00000, -2.37903e-09
79.20000, 3.32986e-09
79.40000, -3.69797e-09
79.60000, 3.04548e-09
79.80000, -1.23329e-09
80.00000, -1.36385e-09
80.20000, 3.96397e-09
80.40000, -5.72049e-09
80.60000, 6.07492e-09
80.80000, -4.97420e-09
81.00000, 2.88317e-09
81.20000, -5.64953e-10
81.40000, -1.27858e-09
81.60000, 2.29124e-09
81.80000, -2.50146e-09
82.00000, 2.14646e-09
82.20000, -1.47228e-09
82.40000, 6.64352e-10
82.60000, 1.12818e-10
82.80000, -6.97718e-10
83.00000, 9.93467e-10
83.20000, -1.02463e-09
83.40000, 8.92201e-10
83.60000, -6.62211e-10
83.80000, 3.16601e-10
84.00000, 1.75298e-10
84.20000, -7.49461e-10
84.40000, 1.23364e-09
84.60000, -1.45349e-09
84.80000, 1.35169e-09
85.00000, -1.00776e-09
85.20000, 5.65055e-10
85.40000, -1.53050e-10
85.60000, -1.46712e-10
85.80000, 3.08933e-10
86.00000, -3.62711e-10
86.20000, 3.69122e-10
86.40000, -3.82690e-10
86.60000, 4.25090e-10
86.80000, -4.85417e-10
87.00000, 5.36353e-10
87.20000, -5.52790e-10
87.40000, 5.24524e-10
87.60000, -4.57077e-10
87.80000, 3.63298e-10
88.00000, -2.54255e-10
88.20000, 1.34545e-10
88.40000, -5.08002e-12
88.60000, -1.26589e-10
88.80000, 2.39295e-10
89.00000, -3.08508e-10
89.20000, 3.37189e-10
89.40000, -4.15113e-10
89.60000, 8.51938e-10
89.80000, -2.44780e-09
90.00000, 6.82779e-09
90.20000, -1.63707e-08
90.40000, 3.29353e-08
90.60000, -5.52727e-08
90.80000, 7.70623e-08
91.00000, -8.87609e-08
91.20000, 8.37177e-08
91.40000, -6.36998e-08
91.60000, 3.80084e-08
91.80000, -1.66436e-08
92.00000, 4.17323e-09
92.20000, 7.50818e-10
92.40000, -1.79166e-09
92.60000, 1.70994e-09
92.80000, -1.57528e-09
93.00000, 1.46365e-09
93.20000, -1.20986e-09
93.40000, 7.37141e-10
93.60000, -1.16350e-10
93.80000, -4.73464e-10
94.00000, 8.32060e-10
94.20000, -8.39743e-10
94.40000, 5.17694e-10
94.60000, -1.12197e-11
94.80000, -4.84071e-10
95.00000, 8.03453e-10
95.20000, -8.65883e-10
95.40000, 6.85989e-10
95.60000, -3.49665e-10
95.80000, -2.86787e-11
96.00000, 3.47260e-10
96.20000, -5.42774e-10
96.40000, 5.92700e-10
96.60000, -5.01277e-10
96.80000, 2.92531e-10
97.00000, -1.78586e-11
97.20000, -2.43681e-10
97.40000, 4.08071e-10
97.60000, -4.18380e-10
97.80000, 2.67108e-10
98.00000, -3.42942e-12
98.20000, -2.79088e-10
98.40000, 4.81102e-10
98.60000, -5.48434e-10
98.80000, 4.96122e-10
99.00000, -3.81520e-10
99.20000, 2.52794e-10
99.40000, -1.24463e-10
99.60000, -1.53969e-12
99.80000, 1.04006e-10
100.00000, -1.44782e-10
