# Frequency (THz), VDOS (THz^-1)
0.00000, -2.30225e-04
0.20000, 1.90902e-04
0.40000, -1.04228e-04
0.60000, 3.78554e-05
0.80000, -3.70825e-05
1.00000, 8.05891e-05
1.20000, -9.11648e-05
1.40000, 3.43129e-07
1.60000, 1.84384e-04
1.80000, -3.73084e-04
2.00000, 4.60513e-04
2.20000, -4.07938e-04
2.40000, 2.65103e-04
2.60000, -1.19803e-04
2.80000, 3.13114e-05
3.00000, -5.10669e-06
3.20000, 1.35280e-05
3.40000, -2.79466e-05
3.60000, 3.40170e-05
3.80000, -2.85117e-05
4.00000, 1.10979e-05
4.20000, 2.02939e-05
4.40000, -7.07269e-05
4.60000, 1.46133e-04
4.80000, -2.44825e-04
5.00000, 3.46510e-04
5.20000, -4.13355e-04
5.40000, 4.11581e-04
5.60000, -3.38262e-04
5.80000, 2.26168e-04
6.00000, -1.20630e-04
6.20000, 5.17066e-05
6.40000, -2.54068e-05
6.60000, 3.29759e-05
6.80000, -6.13435e-05
7.00000, 9.51316e-05
7.20000, -1.15361e-04
7.40000, 1.03605e-04
7.60000, -5.14805e-05
7.80000, -3.28932e-05
8.00000, 1.27219e-04
8.20000, -2.03820e-04
8.40000, 2.40247e-04
8.60000, -2.28685e-04
8.80000, 1.79796e-04
9.00000, -1.16713e-04
9.20000, 6.28563e-05
9.40000, -3.44947e-05
9.60000, 4.39659e-05
9.80000, -1.06843e-04
10.00000, 2.39922e-04
10.20000, -4.43953e-04
10.40000, 6.82225e-04
10.60000, -8.79786e-04
10.80000, 9.58753e-04
11.00000, -8.90711e-04
11.20000, 7.20795e-04
11.40000, -5.36588e-04
11.60000, 4.06001e-04
11.80000, -3.37736e-04
12.00000, 2.94748e-04
12.20000, -2.40720e-04
12.40000, 1.72700e-04
12.60000, -1.13765e-04
12.80000, 8.26065e-05
13.00000, -7.54251e-05
13.20000, 7.46033e-05
13.40000, -6.84677e-05
13.60000, 6.00497e-05
13.80000, -5.92363e-05
14.00000, 6.92904e-05
14.20000, -8.09767e-05
14.40000, 7.82858e-05
