# Frequency (THz), VDOS (THz^-1)
0.00000, -2.62888e-04
0.20000, 2.16254e-04
0.40000, -1.12558e-04
0.60000, 3.00002e-05
0.80000, -2.05336e-05
1.00000, 5.80957e-05
1.20000, -5.10285e-05
1.40000, -8.09104e-05
1.60000, 3.24537e-04
1.80000, -5.64221e-04
2.00000, 6.65830e-04
2.20000, -5.81938e-04
2.40000, 3.80827e-04
2.60000, -1.79824e-04
2.80000, 5.67680e-05
3.00000, -1.72929e-05
3.20000, 2.37643e-05
3.40000, -3.84103e-05
3.60000, 4.26589e-05
3.80000, -3.20750e-05
4.00000, 5.21759e-06
4.20000, 4.27321e-05
4.40000, -1.21861e-04
4.60000, 2.43539e-04
4.80000, -4.05704e-04
5.00000, 5.74689e-04
5.20000, -6.87386e-04
5.40000, 6.87037e-04
5.60000, -5.67477e-04
5.80000, 3.81740e-04
6.00000, -2.04695e-04
6.20000, 8.70617e-05
6.40000, -3.99342e-05
6.60000, 4.91470e-05
6.80000, -9.20429e-05
7.00000, 1.40152e-04
7.20000, -1.55812e-04
7.40000, 9.80964e-05
7.60000, 5.97442e-05
7.80000, -3.12238e-04
8.00000, 6.12695e-04
8.20000, -8.78685e-04
8.40000, 1.01970e-03
8.60000, -9.84339e-04
8.80000, 7.95534e-04
9.00000, -5.37715e-04
9.20000, 3.03572e-04
9.40000, -1.49029e-04
9.60000, 8.97865e-05
9.80000, -1.25550e-04
10.00000, 2.56018e-04
10.20000, -4.70276e-04
10.40000, 7.23395e-04
10.60000, -9.33087e-04
10.80000, 1.01732e-03
11.00000, -9.53106e-04
11.20000, 8.03638e-04
11.40000, -6.77559e-04
11.60000, 6.45074e-04
11.80000, -6.83060e-04
12.00000, 7.02117e-04
12.20000, -6.31793e-04
12.40000, 4.81265e-04
12.60000, -3.20218e-04
12.80000, 2.10075e-04
13.00000, -1.59729e-04
13.20000, 1.39550e-04
13.40000, -1.23280e-04
13.60000, 1.10740e-04
13.80000, -1.16235e-04
14.00000, 1.42931e-04
14.20000, -1.71280e-04
14.40000, 1.71850e-04
14.60000, -1.28285e-04
14.80000, 4.75085e-05
15.00000, 4.78965e-05
15.20000, -1.29438e-04
15.40000, 1.67729e-04
15.60000, -1.47939e-04
15.80000, 9.68025e-05
16.00000, -8.34029e-05
16.20000, 1.66527e-04
16.40000, -3.31070e-04
16.60000, 4.87829e-04
16.80000, -5.45341e-04
17.00000, 4.80215e-04
17.20000, -3.39690e-04
17.40000, 1.88258e-04
17.60000, -5.79388e-05
17.80000, -6.04537e-05
18.00000, 1.91604e-04
18.20000, -3.42381e-04
18.40000, 4.87261e-04
18.60000, -5.85969e-04
18.80000, 6.17783e-04
19.00000, -5.94908e-04
19.20000, 5.40558e-04
19.40000, -4.63186e-04
19.60000, 3.58152e-04
19.80000, -2.24268e-04
20.00000, 6.75555e-05
20.20000, 1.05459e-04
20.40000, -2.85557e-04
20.60000, 4.50156e-04
20.80000, -5.62535e-04
21.00000, 5.88648e-04
21.20000, -5.18230e-04
21.40000, 3.71538e-04
21.60000, -1.86660e-04
21.80000, -8.21879e-07
