# Frequency (THz), VDOS (THz^-1)
0.00000, -1.34361e-04
0.20000, 1.25479e-04
0.40000, -1.00330e-04
0.60000, 6.47213e-05
0.80000, -2.92038e-05
1.00000, 4.47850e-06
1.20000, 5.10565e-06
1.40000, -3.24131e-06
1.60000, -2.72471e-06
1.80000, 7.20295e-06
2.00000, -8.24241e-06
2.20000, 6.12594e-06
2.40000, -1.63145e-06
2.60000, -4.22834e-06
2.80000, 9.57232e-06
3.00000, -1.17847e-05
3.20000, 9.09073e-06
3.40000, -2.25586e-06
3.60000, -5.58912e-06
3.80000, 1.11904e-05
4.00000, -1.34051e-05
4.20000, 1.34139e-05
4.40000, -1.30142e-05
4.60000, 1.27347e-05
4.80000, -1.13814e-05
5.00000, 7.30778e-06
5.20000, -2.99000e-07
5.40000, -7.53256e-06
5.60000, 1.26350e-05
5.80000, -1.21790e-05
6.00000, 6.11533e-06
6.20000, 2.45392e-06
6.40000, -9.26653e-06
6.60000, 1.18079e-05
6.80000, -1.04533e-05
7.00000, 6.94831e-06
7.20000, -2.33249e-06
7.40000, -3.31879e-06
7.60000, 9.63823e-06
7.80000, -1.52441e-05
8.00000, 1.83962e-05
8.20000, -1.80947e-05
8.40000, 1.46496e-05
8.60000, -9.55979e-06
8.80000, 4.80615e-06
9.00000, -1.80326e-06
9.20000, 6.62300e-07
9.40000, -3.82180e-07
9.60000, -2.04669e-07
9.80000, 1.60898e-06
10.00000, -3.61474e-06
10.20000, 5.70921e-06
10.40000, -7.36528e-06
10.60000, 8.00744e-06
10.80000, -7.07213e-06
11.00000, 4.52098e-06
11.20000, -1.47029e-06
11.40000, -5.41817e-08
11.60000, -1.37070e-06
11.80000, 5.19462e-06
12.00000, -9.54048e-06
12.20000, 1.33358e-05
12.40000, -1.69926e-05
12.60000, 1.99865e-05
12.80000, -1.77828e-05
13.00000, 2.91703e-06
13.20000, 2.80093e-05
13.40000, -6.70473e-05
13.60000, 9.66895e-05
13.80000, -1.02238e-04
14.00000, 8.33528e-05
14.20000, -5.28707e-05
14.40000, 2.52742e-05
14.60000, -7.50684e-06
14.80000, -1.00722e-06
15.00000, 3.26803e-06
15.20000, -9.03224e-07
15.40000, -6.65895e-06
15.60000, 2.10415e-05
15.80000, -4.21899e-05
16.00000, 6.53413e-05
16.20000, -8.12439e-05
16.40000, 8.16368e-05
16.60000, -6.61407e-05
16.80000, 4.35446e-05
17.00000, -2.52566e-05
17.20000, 1.68446e-05
17.40000, -1.54770e-05
17.60000, 1.44897e-05
17.80000, -9.57742e-06
18.00000, 1.34182e-06
18.20000, 6.52163e-06
18.40000, -1.10629e-05
18.60000, 1.27706e-05
18.80000, -1.41126e-05
19.00000, 1.38669e-05
19.20000, -2.70173e-06
19.40000, -3.30744e-05
19.60000, 9.94245e-05
19.80000, -1.82821e-04
20.00000, 2.50266e-04
20.20000, -2.66761e-04
20.40000, 2.21624e-04
20.60000, -1.40740e-04
20.80000, 6.84155e-05
21.00000, -3.30962e-05
21.20000, 3.07244e-05
21.40000, -3.90862e-05
21.60000, 4.20538e-05
21.80000, -3.82660e-05
22.00000, 3.27823e-05
22.20000, -2.67484e-05
22.40000, 1.47675e-05
22.60000, 1.18521e-05
22.80000, -6.16365e-05
23.00000, 1.41306e-04
23.20000, -2.52401e-04
23.40000, 3.83062e-04
23.60000, -5.02068e-04
23.80000, 5.68389e-04
24.00000, -5.55451e-04
24.20000, 4.69266e-04
24.40000, -3.43606e-04
24.60000, 2.19369e-04
24.80000, -1.26247e-04
25.00000, 7.44294e-05
25.20000, -5.49359e-05
25.40000, 4.80239e-05
25.60000, -3.70502e-05
25.80000, 1.81801e-05
26.00000, 1.80365e-06
26.20000, -1.50986e-05
26.40000, 1.86475e-05
26.60000, -1.20476e-05
26.80000, -5.98909e-06
27.00000, 3.59542e-05
27.20000, -7.25186e-05
27.40000, 1.03716e-04
27.60000, -1.18173e-04
27.80000, 1.15159e-04
28.00000, -1.06924e-04
28.20000, 1.08260e-04
28.40000, -1.21716e-04
28.60000, 1.33639e-04
28.80000, -1.25567e-04
29.00000, 8.89414e-05
29.20000, -2.94913e-05
29.40000, -3.87667e-05
29.60000, 1.01692e-04
29.80000, -1.51974e-04
30.00000, 1.94695e-04
30.20000, -2.45402e-04
30.40000, 3.15815e-04
30.60000, -3.99174e-04
30.80000, 4.74811e-04
31.00000, -5.28882e-04
31.20000, 5.63523e-04
31.40000, -5.81587e-04
31.60000, 5.71109e-04
31.80000, -5.15585e-04
32.00000, 4.17904e-04
32.20000, -3.05132e-04
32.40000, 2.07537e-04
32.60000, -1.37438e-04
32.80000, 8.87411e-05
33.00000, -5.02181e-05
33.20000, 1.34216e-05
33.40000, 2.99548e-05
33.60000, -8.95363e-05
33.80000, 1.66904e-04
34.00000, -2.43293e-04
34.20000, 2.82372e-04
34.40000, -2.53887e-04
34.60000, 1.60406e-04
34.80000, -4.15326e-05
35.00000, -5.12572e-05
35.20000, 8.85514e-05
35.40000, -7.72533e-05
35.60000, 4.63477e-05
35.80000, -2.19473e-05
36.00000, 1.49327e-05
36.20000, -2.60461e-05
36.40000, 5.51538e-05
36.60000, -1.02207e-04
36.80000, 1.60523e-04
37.00000, -2.12098e-04
37.20000, 2.32847e-04
37.40000, -2.06455e-04
37.60000, 1.36865e-04
37.80000, -4.80528e-05
38.00000, -3.19992e-05
38.20000, 9.20443e-05
38.40000, -1.43998e-04
38.60000, 2.06923e-04
38.80000, -2.83620e-04
39.00000, 3.54374e-04
39.20000, -3.94739e-04
39.40000, 3.98490e-04
39.60000, -3.81402e-04
39.80000, 3.61863e-04
40.00000, -3.39557e-04
40.20000, 2.96850e-04
40.40000, -2.22618e-04
40.60000, 1.31359e-04
40.80000, -5.51069e-05
41.00000, 1.73995e-05
41.20000, -1.65680e-05
41.40000, 3.10979e-05
41.60000, -3.71409e-05
41.80000, 2.29952e-05
42.00000, 6.81153e-06
42.20000, -3.75236e-05
42.40000, 5.46158e-05
42.60000, -5.09914e-05
42.80000, 2.76353e-05
43.00000, 9.30808e-06
43.20000, -5.11166e-05
43.40000, 8.74209e-05
43.60000, -1.06627e-04
43.80000, 9.85254e-05
44.00000, -5.94729e-05
44.20000, -4.46712e-06
44.40000, 8.02836e-05
44.60000, -1.53732e-04
44.80000, 2.12750e-04
45.00000, -2.47922e-04
45.20000, 2.53221e-04
