# Frequency (THz), VDOS (THz^-1)
0.00000, -6.80838e-05
0.20000, 6.68706e-05
0.40000, -6.06107e-05
0.60000, 4.64861e-05
0.80000, -2.87599e-05
1.00000, 1.69624e-05
1.20000, -1.69621e-05
1.40000, 2.59977e-05
1.60000, -3.62018e-05
1.80000, 4.11336e-05
2.00000, -3.90574e-05
2.20000, 3.21774e-05
2.40000, -2.43611e-05
2.60000, 1.92023e-05
2.80000, -1.86454e-05
3.00000, 2.20969e-05
3.20000, -2.66221e-05
3.40000, 2.87158e-05
3.60000, -2.66854e-05
3.80000, 2.17533e-05
4.00000, -1.71445e-05
4.20000, 1.61041e-05
4.40000, -1.97487e-05
4.60000, 2.51823e-05
4.80000, -2.55120e-05
5.00000, 1.38628e-05
5.20000, 1.01803e-05
5.40000, -3.76077e-05
5.60000, 5.45875e-05
5.80000, -5.16228e-05
6.00000, 2.98911e-05
6.20000, 3.02343e-08
6.40000, -2.55322e-05
6.60000, 3.92478e-05
6.80000, -4.08025e-05
7.00000, 3.34248e-05
7.20000, -2.04546e-05
7.40000, 4.79883e-06
7.60000, 1.04921e-05
7.80000, -2.27897e-05
8.00000, 3.07354e-05
8.20000, -3.39793e-05
8.40000, 3.26003e-05
8.60000, -2.73287e-05
8.80000, 1.99220e-05
9.00000, -1.26150e-05
9.20000, 6.90797e-06
9.40000, -2.84027e-06
9.60000, -5.53682e-07
9.80000, 4.02602e-06
10.00000, -7.34945e-06
10.20000, 9.75234e-06
10.40000, -1.08182e-05
10.60000, 1.04871e-05
10.80000, -8.23923e-06
11.00000, 3.22833e-06
11.20000, 3.97742e-06
11.40000, -1.04307e-05
11.60000, 1.29274e-05
11.80000, -1.12126e-05
12.00000, 8.08915e-06
12.20000, -6.22018e-06
12.40000, 5.76536e-06
12.60000, -5.34171e-06
12.80000, 4.29818e-06
13.00000, -3.43656e-06
13.20000, 3.95860e-06
13.40000, -6.19826e-06
13.60000, 9.28580e-06
13.80000, -1.18438e-05
14.00000, 1.30119e-05
14.20000, -1.28681e-05
14.40000, 1.21656e-05
14.60000, -1.22637e-05
14.80000, 1.52966e-05
15.00000, -2.30765e-05
15.20000, 3.44410e-05
15.40000, -4.38083e-05
15.60000, 4.30928e-05
15.80000, -2.49395e-05
16.00000, -1.51676e-05
16.20000, 7.61398e-05
16.40000, -1.46395e-04
16.60000, 2.02550e-04
16.80000, -2.19498e-04
17.00000, 1.88425e-04
17.20000, -1.26155e-04
17.40000, 6.40405e-05
17.60000, -2.58147e-05
17.80000, 1.52042e-05
18.00000, -2.09744e-05
18.20000, 2.90124e-05
