# Frequency (THz), VDOS (THz^-1)
0.00000, -5.17204e-04
0.20000, 4.75981e-04
0.40000, -3.66442e-04
0.60000, 2.24876e-04
0.80000, -9.40012e-05
1.00000, 4.80798e-06
1.20000, 3.42937e-05
1.40000, -3.51135e-05
1.60000, 1.77775e-05
1.80000, 2.04178e-07
2.00000, -6.59583e-06
2.20000, -9.17267e-06
2.40000, 5.72768e-05
2.60000, -1.39471e-04
2.80000, 2.36174e-04
3.00000, -3.05813e-04
3.20000, 3.08274e-04
3.40000, -2.36882e-04
3.60000, 1.26279e-04
3.80000, -2.60382e-05
4.00000, -3.33032e-05
4.20000, 5.15507e-05
4.40000, -4.59700e-05
4.60000, 3.34542e-05
4.80000, -2.20626e-05
5.00000, 1.22513e-05
5.20000, -1.74464e-06
5.40000, -1.04655e-05
5.60000, 2.24735e-05
5.80000, -3.03676e-05
6.00000, 3.11970e-05
6.20000, -2.57279e-05
6.40000, 1.79605e-05
6.60000, -1.15269e-05
6.80000, 7.07761e-06
7.00000, -3.58637e-06
7.20000, 1.24004e-06
7.40000, -1.67483e-06
7.60000, 5.41399e-06
7.80000, -1.03362e-05
8.00000, 1.33192e-05
8.20000, -1.29179e-05
8.40000, 1.02085e-05
8.60000, -7.62421e-06
8.80000, 7.25900e-06
9.00000, -9.64850e-06
9.20000, 1.34843e-05
9.40000, -1.64191e-05
9.60000, 1.62801e-05
9.80000, -1.16531e-05
10.00000, 2.01190e-06
10.20000, 1.15326e-05
10.40000, -2.52672e-05
10.60000, 3.38058e-05
10.80000, -3.34083e-05
11.00000, 2.48393e-05
11.20000, -1.28180e-05
11.40000, 2.63915e-06
11.60000, 2.91318e-06
11.80000, -4.17755e-06
12.00000, 3.05858e-06
12.20000, -1.10433e-06
12.40000, -1.24797e-06
12.60000, 4.13553e-06
12.80000, -7.47897e-06
13.00000, 1.08034e-05
13.20000, -1.35400e-05
13.40000, 1.52622e-05
13.60000, -1.57607e-05
13.80000, 1.51723e-05
14.00000, -1.41327e-05
14.20000, 1.37396e-05
14.40000, -1.50459e-05
14.60000, 1.76462e-05
14.80000, -1.73668e-05
15.00000, 4.28323e-06
15.20000, 3.74473e-05
15.40000, -1.27112e-04
15.60000, 2.80263e-04
15.80000, -4.93911e-04
16.00000, 7.29282e-04
16.20000, -9.11605e-04
16.40000, 9.63883e-04
16.60000, -8.58972e-04
16.80000, 6.43853e-04
17.00000, -4.08444e-04
17.20000, 2.26257e-04
17.40000, -1.19389e-04
17.60000, 6.83154e-05
17.80000, -4.34412e-05
18.00000, 2.70976e-05
18.20000, -1.55527e-05
18.40000, 9.83038e-06
18.60000, -8.01525e-06
18.80000, 5.30837e-06
19.00000, 5.16191e-07
19.20000, -5.63100e-06
19.40000, 3.61466e-06
19.60000, 7.28345e-06
19.80000, -2.13320e-05
20.00000, 3.10231e-05
20.20000, -3.63681e-05
20.40000, 4.83573e-05
20.60000, -8.08679e-05
20.80000, 1.35304e-04
21.00000, -1.92184e-04
21.20000, 2.21713e-04
21.40000, -2.06835e-04
21.60000, 1.56518e-04
21.80000, -9.64321e-05
22.00000, 4.86001e-05
22.20000, -1.98185e-05
22.40000, 4.25780e-06
22.60000, 8.76856e-06
22.80000, -2.99208e-05
23.00000, 6.72501e-05
23.20000, -1.21922e-04
23.40000, 1.83094e-04
23.60000, -2.28925e-04
23.80000, 2.38187e-04
24.00000, -2.05328e-04
24.20000, 1.45091e-04
24.40000, -8.20694e-05
24.60000, 3.54592e-05
24.80000, -1.14085e-05
25.00000, 5.06765e-06
25.20000, -6.78757e-06
25.40000, 7.93666e-06
25.60000, -4.68276e-06
25.80000, -1.50795e-06
26.00000, 6.86161e-06
26.20000, -9.05819e-06
26.40000, 8.28112e-06
26.60000, -5.33639e-06
26.80000, -1.46051e-07
27.00000, 9.12402e-06
27.20000, -2.10252e-05
27.40000, 3.26879e-05
27.60000, -3.98958e-05
27.80000, 4.04889e-05
28.00000, -3.60967e-05
28.20000, 3.04671e-05
28.40000, -2.59303e-05
28.60000, 2.16217e-05
28.80000, -1.47704e-05
29.00000, 3.01423e-06
29.20000, 1.41236e-05
29.40000, -3.42414e-05
29.60000, 5.14568e-05
29.80000, -5.82156e-05
30.00000, 5.03423e-05
30.20000, -3.13383e-05
30.40000, 1.06765e-05
30.60000, 3.06619e-06
30.80000, -7.47403e-06
31.00000, 5.54921e-06
31.20000, -1.42024e-06
31.40000, -2.74931e-06
31.60000, 7.15306e-06
31.80000, -1.34213e-05
32.00000, 2.33587e-05
32.20000, -3.70882e-05
32.40000, 5.11498e-05
32.60000, -5.89141e-05
32.80000, 5.46781e-05
33.00000, -3.82782e-05
33.20000, 1.48389e-05
33.40000, 1.06548e-05
33.60000, -3.73394e-05
33.80000, 6.53766e-05
34.00000, -8.87211e-05
34.20000, 9.26741e-05
34.40000, -6.17712e-05
34.60000, -6.28236e-06
34.80000, 9.25919e-05
35.00000, -1.64465e-04
35.20000, 1.94905e-04
35.40000, -1.78916e-04
35.60000, 1.33479e-04
35.80000, -8.32672e-05
36.00000, 4.59670e-05
36.20000, -2.75272e-05
36.40000, 2.55785e-05
36.60000, -3.35397e-05
36.80000, 4.22805e-05
37.00000, -4.22462e-05
37.20000, 2.83732e-05
37.40000, -4.44797e-06
37.60000, -1.86002e-05
37.80000, 3.06794e-05
38.00000, -3.07292e-05
38.20000, 2.91371e-05
38.40000, -4.32856e-05
38.60000, 8.88922e-05
38.80000, -1.70311e-04
39.00000, 2.73149e-04
39.20000, -3.64955e-04
39.40000, 4.09306e-04
39.60000, -3.87867e-04
39.80000, 3.12541e-04
40.00000, -2.15660e-04
40.20000, 1.28252e-04
40.40000, -6.68626e-05
40.60000, 3.56211e-05
40.80000, -3.30786e-05
41.00000, 5.37453e-05
41.20000, -8.64812e-05
41.40000, 1.17322e-04
41.60000, -1.36948e-04
41.80000, 1.44896e-04
42.00000, -1.45895e-04
42.20000, 1.43073e-04
42.40000, -1.35300e-04
42.60000, 1.20859e-04
42.80000, -1.04363e-04
43.00000, 9.96823e-05
43.20000, -1.20524e-04
43.40000, 1.59534e-04
43.60000, -1.73263e-04
43.80000, 9.39106e-05
44.00000, 1.31704e-04
44.20000, -5.00872e-04
44.40000, 9.42700e-04
44.60000, -1.35118e-03
44.80000, 1.64801e-03
45.00000, -1.82246e-03
45.20000, 1.90286e-03
45.40000, -1.89160e-03
45.60000, 1.75055e-03
45.80000, -1.46057e-03
46.00000, 1.07597e-03
46.20000, -7.02413e-04
46.40000, 4.26949e-04
46.60000, -2.74156e-04
46.80000, 2.14577e-04
47.00000, -1.98054e-04
47.20000, 1.81861e-04
47.40000, -1.44257e-04
47.60000, 8.58799e-05
47.80000, -2.28089e-05
48.00000, -2.53846e-05
48.20000, 4.75760e-05
48.40000, -4.62144e-05
48.60000, 3.27945e-05
48.80000, -1.88980e-05
49.00000, 1.05502e-05
49.20000, -8.17414e-06
49.40000, 9.16470e-06
49.60000, -1.03021e-05
49.80000, 9.48635e-06
50.00000, -6.64731e-06
50.20000, 3.26330e-06
50.40000, -8.36766e-07
50.60000, -2.06905e-07
50.80000, 3.58845e-07
51.00000, -2.45441e-07
51.20000, 1.83753e-07
51.40000, -2.47727e-07
51.60000, 4.80456e-07
51.80000, -9.88843e-07
52.00000, 1.90826e-06
52.20000, -3.35014e-06
52.40000, 5.47076e-06
52.60000, -8.62763e-06
52.80000, 1.32232e-05
53.00000, -1.88986e-05
53.20000, 2.37594e-05
53.40000, -2.51337e-05
53.60000, 2.20391e-05
53.80000, -1.69417e-05
54.00000, 1.43188e-05
54.20000, -1.69375e-05
54.40000, 2.34525e-05
54.60000, -2.95183e-05
54.80000, 3.11493e-05
55.00000, -2.73542e-05
55.20000, 2.01762e-05
55.40000, -1.26809e-05
55.60000, 6.93514e-06
55.80000, -3.41514e-06
56.00000, 1.61234e-06
56.20000, -8.14206e-07
56.40000, 4.89545e-07
56.60000, -3.41564e-07
56.80000, 2.45329e-07
57.00000, -1.71828e-07
57.20000, 1.24636e-07
57.40000, -1.03510e-07
57.60000, 9.80645e-08
57.80000, -9.75827e-08
58.00000, 9.91740e-08
58.20000, -1.06049e-07
58.40000, 1.17250e-07
58.60000, -1.13792e-07
58.80000, 5.04509e-08
59.00000, 1.28956e-07
59.20000, -4.38973e-07
59.40000, 7.88879e-07
59.60000, -9.85819e-07
59.80000, 8.59760e-07
60.00000, -4.39534e-07
60.20000, 7.26030e-09
60.40000, 7.03174e-08
60.60000, 3.70473e-07
60.80000, -1.12614e-06
61.00000, 1.74771e-06
61.20000, -1.86276e-06
61.40000, 1.42992e-06
61.60000, -7.25137e-07
61.80000, 1.04944e-07
62.00000, 2.30360e-07
62.20000, -2.96237e-07
62.40000, 2.19666e-07
62.60000, -1.12751e-07
62.80000, 2.53837e-08
63.00000, 3.39990e-08
63.20000, -6.82316e-08
63.40000, 8.14206e-08
63.60000, -8.13698e-08
63.80000, 7.94921e-08
64.00000, -8.59278e-08
64.20000, 1.06978e-07
64.40000, -1.48691e-07
64.60000, 2.22522e-07
64.80000, -3.49413e-07
65.00000, 5.75767e-07
65.20000, -1.04243e-06
65.40000, 2.11560e-06
65.60000, -4.35695e-06
65.80000, 7.79655e-06
66.00000, -1.03990e-05
66.20000, 7.37765e-06
66.40000, 5.96323e-06
66.60000, -2.85078e-05
66.80000, 5.09313e-05
67.00000, -6.15862e-05
67.20000, 5.59383e-05
67.40000, -3.95173e-05
67.60000, 2.19625e-05
67.80000, -9.60295e-06
68.00000, 3.32139e-06
68.20000, -1.01961e-06
68.40000, 4.68507e-07
68.60000, -4.05817e-07
68.80000, 3.70048e-07
69.00000, -2.78115e-07
69.20000, 1.63830e-07
69.40000, -7.01016e-08
69.60000, 1.61077e-08
69.80000, 2.72822e-09
70.00000, -2.44181e-09
70.20000, -1.58318e-09
70.40000, 9.79737e-10
70.60000, 5.10092e-09
70.80000, -1.28646e-08
71.00000, 1.75301e-08
71.20000, -1.62999e-08
71.40000, 9.76067e-09
71.60000, -1.06139e-09
71.80000, -6.56353e-09
72.00000, 1.20240e-08
72.20000, -1.68101e-08
72.40000, 2.36315e-08
72.60000, -3.42691e-08
72.80000, 4.77605e-08
73.00000, -5.98489e-08
73.20000, 6.43160e-08
73.40000, -5.60085e-08
73.60000, 3.39604e-08
73.80000, -2.25285e-09
74.00000, -3.21351e-08
74.20000, 6.24766e-08
74.40000, -8.39559e-08
74.60000, 9.36302e-08
74.80000, -9.02645e-08
75.00000, 7.49094e-08
75.20000, -5.15293e-08
75.40000, 2.65713e-08
75.60000, -6.89923e-09
75.80000, -3.42080e-09
76.00000, 5.23479e-09
76.20000, -2.81577e-09
76.40000, -1.95276e-10
76.60000, 3.04825e-09
76.80000, -6.42464e-09
77.00000, 1.02184e-08
77.20000, -1.34314e-08
77.40000, 1.53496e-08
77.60000, -1.59998e-08
77.80000, 1.55889e-08
78.00000, -1.38965e-08
78.20000, 1.04469e-08
78.40000, -5.26114e-09
78.60000, -8.96213e-10
78.80000, 7.09867e-09
79.00000, -1.25606e-08
79.20000, 1.64588e-08
79.40000, -1.88014e-08
79.60000, 2.19391e-08
79.80000, -2.93723e-08
80.00000, 4.13674e-08
80.20000, -5.25442e-08
80.40000, 5.55930e-08
80.60000, -4.78999e-08
80.80000, 3.40353e-08
81.00000, -2.17288e-08
81.20000, 1.61322e-08
81.40000, -1.82755e-08
81.60000, 2.79585e-08
81.80000, -4.61891e-08
82.00000, 7.33284e-08
82.20000, -1.04305e-07
82.40000, 1.25905e-07
82.60000, -1.20584e-07
82.80000, 7.74612e-08
83.00000, -5.24147e-09
83.20000, -6.40709e-08
83.40000, 9.03291e-08
83.60000, -5.39251e-08
83.80000, -2.53978e-08
84.00000, 1.00541e-07
84.20000, -1.32265e-07
84.40000, 1.15408e-07
84.60000, -7.40418e-08
84.80000, 3.60510e-08
85.00000, -1.35841e-08
85.20000, 2.31932e-09
85.40000, 7.56576e-09
85.60000, -2.13001e-08
85.80000, 3.64698e-08
86.00000, -4.63239e-08
86.20000, 4.54895e-08
86.40000, -3.36464e-08
86.60000, 1.50798e-08
86.80000, 4.30535e-09
87.00000, -2.00676e-08
87.20000, 3.16104e-08
87.40000, -4.27925e-08
87.60000, 5.92032e-08
87.80000, -8.64038e-08
88.00000, 1.48229e-07
88.20000, -3.68903e-07
88.40000, 1.17210e-06
88.60000, -3.52553e-06
88.80000, 8.80701e-06
89.00000, -1.77042e-05
89.20000, 2.84782e-05
89.40000, -3.65726e-05
89.60000, 3.72824e-05
89.80000, -2.97406e-05
90.00000, 1.79687e-05
90.20000, -7.65948e-06
90.40000, 2.43055e-06
90.60000, -3.58536e-06
