# Frequency (THz), VDOS (THz^-1)
0.00000, -8.07841e-04
0.20000, 7.41279e-04
0.40000, -5.63679e-04
0.60000, 3.33189e-04
0.80000, -1.21602e-04
1.00000, -1.53812e-05
1.20000, 6.11481e-05
1.40000, -3.89748e-05
1.60000, -9.78214e-06
1.80000, 5.10048e-05
2.00000, -6.77055e-05
2.20000, 5.44339e-05
2.40000, -1.01107e-05
2.60000, -6.02919e-05
2.80000, 1.38542e-04
3.00000, -1.93884e-04
3.20000, 1.99746e-04
3.40000, -1.54712e-04
3.60000, 8.53115e-05
3.80000, -2.53813e-05
4.00000, -7.46686e-06
4.20000, 1.70820e-05
4.40000, -1.68494e-05
4.60000, 1.63119e-05
4.80000, -1.67303e-05
5.00000, 1.45286e-05
5.20000, -6.66030e-06
5.40000, -6.32170e-06
5.60000, 2.02293e-05
5.80000, -2.92970e-05
6.00000, 2.94859e-05
6.20000, -2.14855e-05
6.40000, 1.06450e-05
6.60000, -3.01410e-06
6.80000, 1.07490e-06
7.00000, -3.33007e-06
7.20000, 7.12462e-06
7.40000, -1.06940e-05
7.60000, 1.28140e-05
7.80000, -1.20764e-05
8.00000, 7.46877e-06
8.20000, 5.71483e-07
8.40000, -9.98674e-06
8.60000, 1.79778e-05
8.80000, -2.23600e-05
9.00000, 2.25493e-05
9.20000, -1.93055e-05
9.40000, 1.35604e-05
9.60000, -6.26055e-06
9.80000, 2.42550e-08
10.00000, 3.05841e-07
10.20000, 8.51623e-06
10.40000, -2.27392e-05
10.60000, 3.19644e-05
10.80000, -2.70414e-05
11.00000, 7.87336e-06
11.20000, 1.67426e-05
11.40000, -3.62166e-05
11.60000, 4.50018e-05
11.80000, -4.41864e-05
12.00000, 3.84172e-05
12.20000, -3.17772e-05
12.40000, 2.57318e-05
12.60000, -1.97852e-05
12.80000, 1.32839e-05
13.00000, -6.50595e-06
13.20000, 4.92461e-07
13.40000, 3.70861e-06
13.60000, -5.60049e-06
13.80000, 5.36420e-06
14.00000, -3.70579e-06
14.20000, 1.53750e-06
14.40000, 6.67915e-07
14.60000, -4.26428e-06
14.80000, 1.47299e-05
15.00000, -4.39948e-05
15.20000, 1.10932e-04
15.40000, -2.38129e-04
15.60000, 4.42870e-04
15.80000, -7.20143e-04
16.00000, 1.02232e-03
16.20000, -1.25626e-03
16.40000, 1.32152e-03
16.60000, -1.17741e-03
16.80000, 8.80508e-04
17.00000, -5.49104e-04
17.20000, 2.84929e-04
17.40000, -1.23969e-04
17.60000, 4.65061e-05
17.80000, -1.57562e-05
18.00000, 4.76552e-06
18.20000, -1.09661e-06
18.40000, 5.97120e-07
18.60000, -1.33377e-06
18.80000, 1.36734e-06
19.00000, 3.49720e-07
19.20000, -2.58960e-06
19.40000, 2.58289e-06
19.60000, 1.33743e-06
19.80000, -8.23436e-06
20.00000, 1.63351e-05
20.20000, -2.65271e-05
20.40000, 4.37108e-05
20.60000, -7.31264e-05
20.80000, 1.12994e-04
21.00000, -1.50320e-04
21.20000, 1.66931e-04
21.40000, -1.53056e-04
21.60000, 1.15488e-04
21.80000, -7.17336e-05
22.00000, 3.67651e-05
22.20000, -1.52388e-05
22.40000, 3.13467e-06
22.60000, 7.15106e-06
22.80000, -2.38921e-05
23.00000, 5.46413e-05
23.20000, -1.02658e-04
23.40000, 1.61132e-04
23.60000, -2.11449e-04
23.80000, 2.31626e-04
24.00000, -2.11106e-04
24.20000, 1.58983e-04
24.40000, -9.75389e-05
24.60000, 4.74239e-05
24.80000, -1.74514e-05
25.00000, 4.83189e-06
25.20000, -1.69193e-06
25.40000, 1.18227e-06
25.60000, -4.55397e-08
25.80000, -1.87001e-06
26.00000, 3.40654e-06
26.20000, -3.65717e-06
26.40000, 2.50590e-06
26.60000, -2.94376e-07
26.80000, -2.67610e-06
27.00000, 6.23287e-06
27.20000, -9.99036e-06
27.40000, 1.30564e-05
27.60000, -1.43385e-05
27.80000, 1.34079e-05
