# Frequency (THz), VDOS (THz^-1)
0.00000, 4.37321e-04
0.20000, -4.04471e-04
0.40000, 3.21757e-04
0.60000, -2.24660e-04
0.80000, 1.44125e-04
1.00000, -9.16347e-05
1.20000, 6.16793e-05
1.40000, -4.31704e-05
1.60000, 2.81541e-05
1.80000, -1.36454e-05
2.00000, -4.54001e-07
2.20000, 1.32093e-05
2.40000, -2.31648e-05
2.60000, 2.86877e-05
2.80000, -2.87299e-05
3.00000, 2.34667e-05
3.20000, -1.44739e-05
3.40000, 4.47755e-06
3.60000, 3.50564e-06
3.80000, -7.52025e-06
4.00000, 7.52831e-06
4.20000, -4.95358e-06
4.40000, 1.43921e-06
4.60000, 1.99530e-06
4.80000, -4.94745e-06
5.00000, 7.21629e-06
5.20000, -8.53833e-06
5.40000, 8.65987e-06
5.60000, -7.55421e-06
5.80000, 5.49668e-06
6.00000, -2.94224e-06
6.20000, 3.56868e-07
6.40000, 1.91646e-06
6.60000, -3.75218e-06
6.80000, 5.21241e-06
7.00000, -6.36071e-06
7.20000, 7.11402e-06
7.40000, -7.35941e-06
7.60000, 7.26556e-06
7.80000, -7.42722e-06
8.00000, 8.57667e-06
8.20000, -1.10411e-05
8.40000, 1.43848e-05
8.60000, -1.74323e-05
8.80000, 1.85677e-05
9.00000, -1.62491e-05
9.20000, 9.75341e-06
9.40000, 1.16880e-07
9.60000, -1.09292e-05
9.80000, 1.94909e-05
10.00000, -2.33466e-05
10.20000, 2.19089e-05
10.40000, -1.63431e-05
10.60000, 8.29854e-06
10.80000, 1.32818e-06
11.00000, -1.23234e-05
11.20000, 2.38968e-05
11.40000, -3.38450e-05
11.60000, 3.92573e-05
11.80000, -3.78655e-05
12.00000, 2.87104e-05
12.20000, -1.27530e-05
12.40000, -5.43719e-06
12.60000, 1.70319e-05
12.80000, -1.32540e-05
13.00000, -6.79443e-06
13.20000, 3.30860e-05
13.40000, -5.15376e-05
13.60000, 5.45802e-05
13.80000, -4.50099e-05
14.00000, 3.11692e-05
14.20000, -2.03012e-05
14.40000, 1.58022e-05
14.60000, -1.79518e-05
14.80000, 2.51088e-05
15.00000, -3.41105e-05
15.20000, 4.08254e-05
15.40000, -4.19761e-05
15.60000, 3.73626e-05
15.80000, -2.98746e-05
16.00000, 2.24906e-05
16.20000, -1.55482e-05
16.40000, 7.78445e-06
16.60000, 4.31794e-07
16.80000, -6.42947e-06
17.00000, 8.33841e-06
17.20000, -8.09366e-06
17.40000, 1.05205e-05
17.60000, -1.90798e-05
17.80000, 3.24205e-05
18.00000, -4.52555e-05
18.20000, 5.28235e-05
18.40000, -5.45101e-05
18.60000, 5.31356e-05
18.80000, -5.10370e-05
19.00000, 4.74765e-05
19.20000, -4.05438e-05
19.40000, 3.16409e-05
19.60000, -2.72217e-05
19.80000, 3.52549e-05
20.00000, -5.98846e-05
20.20000, 9.92038e-05
20.40000, -1.46788e-04
20.60000, 1.94397e-04
20.80000, -2.34085e-04
21.00000, 2.59076e-04
21.20000, -2.63193e-04
21.40000, 2.41010e-04
21.60000, -1.91818e-04
21.80000, 1.24728e-04
22.00000, -5.65732e-05
22.20000, 1.09720e-06
22.40000, 3.95050e-05
22.60000, -7.14824e-05
22.80000, 1.02015e-04
23.00000, -1.39803e-04
23.20000, 2.00097e-04
23.40000, -2.97466e-04
23.60000, 4.23983e-04
23.80000, -5.36969e-04
24.00000, 5.79900e-04
24.20000, -5.24236e-04
24.40000, 3.91637e-04
24.60000, -2.35100e-04
24.80000, 1.00929e-04
25.00000, -6.97564e-06
25.20000, -5.20593e-05
25.40000, 8.72879e-05
25.60000, -1.04662e-04
25.80000, 1.06324e-04
26.00000, -9.66499e-05
26.20000, 8.24718e-05
26.40000, -6.72421e-05
26.60000, 4.79936e-05
26.80000, -1.95310e-05
27.00000, -1.84904e-05
27.20000, 5.71081e-05
27.40000, -7.96100e-05
27.60000, 7.06763e-05
27.80000, -2.78080e-05
28.00000, -3.60753e-05
28.20000, 1.01626e-04
28.40000, -1.52610e-04
28.60000, 1.76901e-04
28.80000, -1.64137e-04
29.00000, 1.08597e-04
29.20000, -1.41139e-05
29.40000, -1.08010e-04
29.60000, 2.46812e-04
29.80000, -3.94531e-04
30.00000, 5.41383e-04
30.20000, -6.71900e-04
30.40000, 7.70133e-04
30.60000, -8.26407e-04
30.80000, 8.34563e-04
31.00000, -7.84651e-04
31.20000, 6.67753e-04
31.40000, -4.93591e-04
31.60000, 2.98513e-04
31.80000, -1.28992e-04
32.00000, 1.52044e-05
32.20000, 4.12933e-05
32.40000, -5.99964e-05
32.60000, 6.51278e-05
32.80000, -7.19683e-05
33.00000, 8.12214e-05
33.20000, -8.26647e-05
33.40000, 6.51862e-05
33.60000, -2.60163e-05
33.80000, -2.75388e-05
34.00000, 8.37656e-05
34.20000, -1.32941e-04
34.40000, 1.68946e-04
34.60000, -1.87723e-04
34.80000, 1.87573e-04
35.00000, -1.71552e-04
35.20000, 1.47241e-04
35.40000, -1.22600e-04
35.60000, 1.03027e-04
35.80000, -9.27013e-05
36.00000, 9.49515e-05
36.20000, -1.06504e-04
36.40000, 1.12506e-04
36.60000, -9.47669e-05
36.80000, 5.05124e-05
37.00000, -8.23646e-08
37.20000, -3.01103e-05
37.40000, 3.20208e-05
37.60000, -1.91170e-05
37.80000, 7.13891e-06
38.00000, 8.90456e-07
38.20000, -9.59963e-06
38.40000, 1.91648e-05
38.60000, -2.38141e-05
38.80000, 1.95044e-05
39.00000, -7.93191e-06
39.20000, -7.74378e-06
39.40000, 2.76293e-05
39.60000, -5.22994e-05
39.80000, 7.62782e-05
40.00000, -8.87208e-05
40.20000, 8.28484e-05
