# Frequency (THz), VDOS (THz^-1)
0.00000, 2.23376e-04
0.20000, -2.08640e-04
0.40000, 1.72956e-04
0.60000, -1.34518e-04
0.80000, 1.07424e-04
1.00000, -9.49502e-05
1.20000, 9.22144e-05
1.40000, -9.14323e-05
1.60000, 8.53119e-05
1.80000, -6.93001e-05
2.00000, 4.35873e-05
2.20000, -1.34120e-05
2.40000, -1.37323e-05
2.60000, 3.24440e-05
2.80000, -4.17367e-05
3.00000, 4.38359e-05
3.20000, -4.16925e-05
3.40000, 3.77126e-05
3.60000, -3.34581e-05
3.80000, 2.93112e-05
4.00000, -2.46304e-05
4.20000, 1.88673e-05
4.40000, -1.25946e-05
4.60000, 7.45286e-06
4.80000, -5.29944e-06
5.00000, 7.22053e-06
5.20000, -1.28601e-05
5.40000, 2.05595e-05
5.60000, -2.82542e-05
5.80000, 3.40719e-05
6.00000, -3.59441e-05
6.20000, 3.13146e-05
6.40000, -1.85424e-05
6.60000, -5.43055e-07
6.80000, 1.98176e-05
7.00000, -3.17547e-05
7.20000, 3.22190e-05
7.40000, -2.30742e-05
7.60000, 1.05215e-05
7.80000, -7.77117e-07
8.00000, -3.58380e-06
8.20000, 4.15905e-06
8.40000, -4.20625e-06
8.60000, 5.72577e-06
8.80000, -8.76867e-06
9.00000, 1.27702e-05
9.20000, -1.76850e-05
9.40000, 2.37705e-05
9.60000, -3.07961e-05
9.80000, 3.76381e-05
10.00000, -4.23608e-05
10.20000, 4.27687e-05
10.40000, -3.75367e-05
10.60000, 2.72356e-05
10.80000, -1.41155e-05
11.00000, 8.80926e-07
11.20000, 1.00461e-05
11.40000, -1.63963e-05
11.60000, 1.62360e-05
11.80000, -8.95140e-06
12.00000, -3.95009e-06
12.20000, 1.90591e-05
12.40000, -3.22079e-05
12.60000, 4.00736e-05
12.80000, -4.13827e-05
13.00000, 3.66733e-05
13.20000, -2.69274e-05
13.40000, 1.29259e-05
13.60000, 3.87306e-06
13.80000, -2.07180e-05
14.00000, 3.50404e-05
14.20000, -4.67744e-05
14.40000, 5.83099e-05
14.60000, -7.11710e-05
14.80000, 8.27196e-05
15.00000, -8.71106e-05
15.20000, 8.05633e-05
15.40000, -6.58573e-05
15.60000, 5.08365e-05
15.80000, -4.18413e-05
16.00000, 3.88809e-05
16.20000, -3.73273e-05
16.40000, 3.31510e-05
16.60000, -2.53660e-05
16.80000, 1.38364e-05
17.00000, 3.88729e-06
17.20000, -3.21379e-05
17.40000, 7.20207e-05
17.60000, -1.16240e-04
17.80000, 1.51191e-04
18.00000, -1.66843e-04
18.20000, 1.64256e-04
18.40000, -1.52026e-04
18.60000, 1.36851e-04
18.80000, -1.19527e-04
19.00000, 9.83909e-05
19.20000, -7.37007e-05
19.40000, 4.88173e-05
19.60000, -2.89189e-05
19.80000, 1.85804e-05
20.00000, -1.94642e-05
20.20000, 2.98770e-05
20.40000, -4.62430e-05
20.60000, 6.43636e-05
20.80000, -7.95398e-05
21.00000, 8.71149e-05
21.20000, -8.42452e-05
21.40000, 7.13179e-05
21.60000, -5.16855e-05
21.80000, 3.02105e-05
22.00000, -1.13400e-05
22.20000, -2.79762e-06
22.40000, 1.29023e-05
22.60000, -2.08427e-05
22.80000, 2.79941e-05
23.00000, -3.62235e-05
23.20000, 4.97974e-05
23.40000, -7.33623e-05
23.60000, 1.05524e-04
23.80000, -1.35124e-04
24.00000, 1.46972e-04
24.20000, -1.33301e-04
24.40000, 9.94226e-05
24.60000, -5.83871e-05
24.80000, 2.16728e-05
25.00000, 5.25274e-06
25.20000, -2.16384e-05
25.40000, 2.86439e-05
25.60000, -2.79323e-05
25.80000, 2.21998e-05
26.00000, -1.63529e-05
26.20000, 1.67558e-05
26.40000, -2.75512e-05
26.60000, 4.65475e-05
26.80000, -6.48354e-05
27.00000, 7.25038e-05
27.20000, -6.71869e-05
27.40000, 5.66601e-05
27.60000, -5.09537e-05
27.80000, 5.22677e-05
28.00000, -5.45115e-05
28.20000, 5.16798e-05
28.40000, -4.36981e-05
28.60000, 3.39460e-05
28.80000, -2.36190e-05
29.00000, 9.65776e-06
29.20000, 1.28010e-05
29.40000, -4.63538e-05
29.60000, 8.87110e-05
29.80000, -1.33890e-04
30.00000, 1.77609e-04
30.20000, -2.22935e-04
30.40000, 2.79310e-04
30.60000, -3.51930e-04
30.80000, 4.28290e-04
31.00000, -4.76029e-04
31.20000, 4.60236e-04
31.40000, -3.69509e-04
31.60000, 2.27732e-04
31.80000, -8.03824e-05
32.00000, -3.24566e-05
32.20000, 9.59508e-05
32.40000, -1.22788e-04
32.60000, 1.39500e-04
32.80000, -1.65707e-04
33.00000, 1.99418e-04
33.20000, -2.19230e-04
33.40000, 2.02105e-04
33.60000, -1.41541e-04
33.80000, 5.05519e-05
34.00000, 5.03241e-05
34.20000, -1.45053e-04
34.40000, 2.23921e-04
34.60000, -2.80755e-04
34.80000, 3.14399e-04
35.00000, -3.30408e-04
35.20000, 3.33858e-04
35.40000, -3.19237e-04
