# Frequency (THz), VDOS (THz^-1)
0.00000, -1.66716e-04
0.20000, 1.66344e-04
0.40000, -1.52160e-04
0.60000, 1.03345e-04
0.80000, -2.35901e-05
1.00000, -5.23786e-05
1.20000, 8.61535e-05
1.40000, -6.68887e-05
1.60000, 1.55295e-05
1.80000, 3.71960e-05
2.00000, -7.32937e-05
2.20000, 9.13634e-05
2.40000, -9.61886e-05
2.60000, 8.94036e-05
2.80000, -6.84822e-05
3.00000, 3.13426e-05
3.20000, 1.76556e-05
3.40000, -6.44910e-05
3.60000, 9.04773e-05
3.80000, -8.50103e-05
4.00000, 5.47201e-05
4.20000, -1.86529e-05
4.40000, -5.94150e-06
4.60000, 1.35795e-05
4.80000, -9.67296e-06
5.00000, 3.16898e-06
5.20000, -4.89682e-08
5.40000, 1.43711e-06
5.60000, -5.41927e-06
5.80000, 9.40926e-06
6.00000, -1.12132e-05
6.20000, 9.48336e-06
6.40000, -4.46510e-06
6.60000, -1.73031e-06
6.80000, 6.31402e-06
7.00000, -7.71909e-06
7.20000, 6.53300e-06
7.40000, -4.89299e-06
7.60000, 5.11967e-06
7.80000, -8.48915e-06
8.00000, 1.46475e-05
8.20000, -2.19395e-05
8.40000, 2.83319e-05
8.60000, -3.19125e-05
8.80000, 3.04960e-05
9.00000, -2.13136e-05
9.20000, 2.04200e-06
9.40000, 2.69046e-05
9.60000, -6.03114e-05
9.80000, 8.83865e-05
10.00000, -1.00620e-04
10.20000, 9.18423e-05
10.40000, -6.56412e-05
10.60000, 3.11172e-05
10.80000, 4.23473e-06
11.00000, -3.75931e-05
11.20000, 6.67749e-05
11.40000, -8.58079e-05
11.60000, 8.75644e-05
11.80000, -7.09432e-05
12.00000, 4.35753e-05
12.20000, -1.67770e-05
12.40000, -1.58754e-06
12.60000, 1.01066e-05
12.80000, -1.20937e-05
13.00000, 1.19620e-05
13.20000, -1.22303e-05
13.40000, 1.26859e-05
13.60000, -1.18763e-05
13.80000, 9.08168e-06
14.00000, -4.37689e-06
14.20000, -3.28470e-06
14.40000, 1.71904e-05
14.60000, -4.04803e-05
14.80000, 7.11703e-05
15.00000, -9.94907e-05
15.20000, 1.11918e-04
15.40000, -9.99132e-05
15.60000, 6.50238e-05
15.80000, -1.42594e-05
16.00000, -4.89567e-05
16.20000, 1.24965e-04
16.40000, -2.05608e-04
16.60000, 2.65826e-04
16.80000, -2.76585e-04
17.00000, 2.30609e-04
17.20000, -1.53155e-04
17.40000, 8.57210e-05
17.60000, -5.87884e-05
17.80000, 7.57870e-05
18.00000, -1.16061e-04
18.20000, 1.50865e-04
18.40000, -1.60898e-04
18.60000, 1.44770e-04
18.80000, -1.14710e-04
19.00000, 8.52579e-05
19.20000, -6.45308e-05
19.40000, 5.31405e-05
19.60000, -4.87426e-05
19.80000, 5.11277e-05
20.00000, -6.43375e-05
20.20000, 9.46847e-05
20.40000, -1.45440e-04
20.60000, 2.11514e-04
20.80000, -2.78717e-04
21.00000, 3.28752e-04
21.20000, -3.46155e-04
21.40000, 3.23676e-04
21.60000, -2.65649e-04
21.80000, 1.87997e-04
22.00000, -1.12024e-04
22.20000, 5.40895e-05
22.40000, -1.88125e-05
22.60000, 1.74315e-07
22.80000, 1.32382e-05
23.00000, -3.43144e-05
23.20000, 7.47220e-05
23.40000, -1.39409e-04
23.60000, 2.18681e-04
23.80000, -2.86502e-04
24.00000, 3.13022e-04
24.20000, -2.85058e-04
24.40000, 2.16061e-04
24.60000, -1.35508e-04
24.80000, 6.85514e-05
25.00000, -2.43284e-05
25.20000, -1.07628e-06
25.40000, 1.51565e-05
25.60000, -2.27610e-05
25.80000, 2.58145e-05
26.00000, -2.56981e-05
26.20000, 2.44592e-05
26.40000, -2.41947e-05
26.60000, 2.61454e-05
26.80000, -3.02297e-05
27.00000, 3.48184e-05
27.20000, -3.72934e-05
27.40000, 3.57598e-05
27.60000, -3.04918e-05
27.80000, 2.35340e-05
28.00000, -1.70176e-05
28.20000, 1.19486e-05
28.40000, -8.15905e-06
28.60000, 4.69233e-06
28.80000, 2.36501e-07
29.00000, -9.54229e-06
29.20000, 2.65318e-05
29.40000, -5.20691e-05
29.60000, 8.11287e-05
29.80000, -1.02946e-04
30.00000, 1.07235e-04
30.20000, -9.22775e-05
30.40000, 6.68103e-05
30.60000, -4.32416e-05
30.80000, 2.87677e-05
31.00000, -2.22438e-05
31.20000, 1.77011e-05
31.40000, -9.79164e-06
31.60000, -2.88181e-06
31.80000, 1.74320e-05
32.00000, -2.87657e-05
32.20000, 3.30662e-05
32.40000, -3.05448e-05
32.60000, 2.50564e-05
32.80000, -2.07337e-05
33.00000, 1.88150e-05
33.20000, -1.73549e-05
33.40000, 1.31790e-05
33.60000, -3.41263e-06
33.80000, -1.47023e-05
34.00000, 4.39987e-05
34.20000, -8.50787e-05
34.40000, 1.32402e-04
34.60000, -1.73780e-04
34.80000, 1.96463e-04
35.00000, -1.95283e-04
35.20000, 1.74593e-04
35.40000, -1.42770e-04
35.60000, 1.06605e-04
35.80000, -7.09892e-05
36.00000, 4.08805e-05
36.20000, -2.06331e-05
36.40000, 1.16850e-05
36.60000, -1.25162e-05
36.80000, 2.07056e-05
37.00000, -3.33230e-05
37.20000, 4.49674e-05
37.40000, -4.80372e-05
37.60000, 3.84693e-05
37.80000, -2.21497e-05
38.00000, 1.33596e-05
38.20000, -2.40125e-05
38.40000, 5.27527e-05
38.60000, -8.38970e-05
38.80000, 9.75747e-05
39.00000, -8.33125e-05
39.20000, 4.66060e-05
39.40000, -3.71756e-06
39.60000, -2.99263e-05
39.80000, 4.76708e-05
40.00000, -5.15191e-05
40.20000, 4.76777e-05
40.40000, -4.24857e-05
40.60000, 3.94056e-05
40.80000, -3.64967e-05
41.00000, 2.69441e-05
41.20000, -6.23092e-06
41.40000, -1.73513e-05
41.60000, 2.05352e-05
41.80000, 2.12968e-05
42.00000, -1.13377e-04
42.20000, 2.31274e-04
42.40000, -3.30083e-04
42.60000, 3.66687e-04
42.80000, -3.18687e-04
43.00000, 1.84826e-04
43.20000, 3.23018e-05
43.40000, -3.39946e-04
43.60000, 7.44802e-04
43.80000, -1.22595e-03
44.00000, 1.71971e-03
44.20000, -2.13078e-03
44.40000, 2.35940e-03
44.60000, -2.33473e-03
44.80000, 2.05008e-03
45.00000, -1.57658e-03
45.20000, 1.02885e-03
45.40000, -5.06116e-04
45.60000, 6.71617e-05
45.80000, 2.50875e-04
46.00000, -4.20086e-04
46.20000, 4.41511e-04
46.40000, -3.61732e-04
46.60000, 2.52858e-04
