# Frequency (THz), VDOS (THz^-1)
0.00000, -2.23827e-04
0.20000, 2.24591e-04
0.40000, -2.12410e-04
0.60000, 1.61630e-04
0.80000, -6.92826e-05
1.00000, -3.13980e-05
1.20000, 9.26232e-05
1.40000, -8.88107e-05
1.60000, 3.43366e-05
1.80000, 3.22964e-05
2.00000, -7.90147e-05
2.20000, 9.60052e-05
2.40000, -8.90757e-05
2.60000, 6.58511e-05
2.80000, -2.94111e-05
3.00000, -1.90683e-05
3.20000, 7.37576e-05
3.40000, -1.20111e-04
3.60000, 1.39837e-04
3.80000, -1.24105e-04
4.00000, 8.25516e-05
4.20000, -3.72653e-05
4.40000, 7.20748e-06
4.60000, 2.21155e-06
4.80000, 2.21268e-06
5.00000, -9.49365e-06
5.20000, 1.13207e-05
5.40000, -4.22326e-06
5.60000, -1.14585e-05
5.80000, 3.23359e-05
6.00000, -5.17683e-05
6.20000, 6.16404e-05
6.40000, -5.73399e-05
6.60000, 4.16875e-05
6.80000, -2.30510e-05
7.00000, 9.07068e-06
7.20000, -1.97839e-06
7.40000, -1.14653e-06
7.60000, 5.05257e-06
7.80000, -1.32238e-05
8.00000, 2.62745e-05
8.20000, -4.15419e-05
8.40000, 5.37127e-05
8.60000, -5.64747e-05
8.80000, 4.46734e-05
9.00000, -1.60592e-05
9.20000, -2.79300e-05
9.40000, 8.20285e-05
9.60000, -1.36970e-04
9.80000, 1.79829e-04
10.00000, -1.97133e-04
10.20000, 1.81585e-04
10.40000, -1.37687e-04
10.60000, 7.89437e-05
10.80000, -1.75996e-05
11.00000, -4.12762e-05
11.20000, 9.39697e-05
11.40000, -1.30238e-04
11.60000, 1.37281e-04
11.80000, -1.12536e-04
12.00000, 6.88930e-05
12.20000, -2.56238e-05
12.40000, -4.26265e-06
12.60000, 1.82798e-05
12.80000, -2.04817e-05
13.00000, 1.62736e-05
13.20000, -9.85839e-06
13.40000, 3.78441e-06
13.60000, 6.49021e-07
13.80000, -2.85272e-06
14.00000, 2.91724e-06
14.20000, -2.16328e-06
14.40000, 3.23618e-06
14.60000, -8.49184e-06
14.80000, 1.70515e-05
15.00000, -2.33425e-05
15.20000, 2.02284e-05
15.40000, -5.68560e-06
15.60000, -1.42253e-05
15.80000, 3.34155e-05
16.00000, -5.94537e-05
16.20000, 1.12782e-04
16.40000, -2.01503e-04
16.60000, 2.97254e-04
16.80000, -3.48798e-04
17.00000, 3.26420e-04
17.20000, -2.47696e-04
17.40000, 1.57837e-04
17.60000, -9.18847e-05
17.80000, 5.74426e-05
18.00000, -4.37843e-05
18.20000, 3.79826e-05
18.40000, -3.29924e-05
18.60000, 2.71896e-05
18.80000, -2.12632e-05
19.00000, 1.61790e-05
19.20000, -1.24874e-05
19.40000, 1.02817e-05
19.60000, -9.51241e-06
19.80000, 1.05162e-05
20.00000, -1.44715e-05
20.20000, 2.33805e-05
20.40000, -3.93704e-05
20.60000, 6.36129e-05
20.80000, -9.51746e-05
21.00000, 1.29548e-04
21.20000, -1.57574e-04
21.40000, 1.67720e-04
21.60000, -1.53044e-04
21.80000, 1.17552e-04
22.00000, -7.46626e-05
22.20000, 3.83048e-05
22.40000, -1.50992e-05
22.60000, 3.34515e-06
22.80000, 3.67332e-06
23.00000, -1.50543e-05
23.20000, 4.06322e-05
23.40000, -8.66229e-05
23.60000, 1.48090e-04
23.80000, -2.05503e-04
24.00000, 2.33602e-04
24.20000, -2.18793e-04
24.40000, 1.69322e-04
24.60000, -1.08084e-04
24.80000, 5.61168e-05
25.00000, -2.22952e-05
25.20000, 4.66015e-06
25.40000, 2.84195e-06
25.60000, -5.42720e-06
25.80000, 6.18921e-06
26.00000, -6.73353e-06
26.20000, 7.92771e-06
26.40000, -1.02120e-05
26.60000, 1.36579e-05
26.80000, -1.78658e-05
27.00000, 2.17523e-05
27.20000, -2.36717e-05
27.40000, 2.22652e-05
27.60000, -1.75399e-05
27.80000, 1.11140e-05
28.00000, -5.23787e-06
28.20000, 1.36374e-06
28.40000, 7.01627e-07
28.60000, -2.91063e-06
28.80000, 9.00396e-06
29.00000, -2.44642e-05
29.20000, 5.47459e-05
29.40000, -1.00246e-04
29.60000, 1.50659e-04
29.80000, -1.86081e-04
30.00000, 1.88841e-04
30.20000, -1.57769e-04
30.40000, 1.10251e-04
30.60000, -6.87342e-05
30.80000, 4.48768e-05
31.00000, -3.52966e-05
31.20000, 2.90440e-05
31.40000, -1.72844e-05
31.60000, -1.80602e-06
31.80000, 2.34697e-05
32.00000, -4.00916e-05
32.20000, 4.62362e-05
32.40000, -4.22400e-05
32.60000, 3.35045e-05
32.80000, -2.59330e-05
33.00000, 2.17204e-05
33.20000, -1.89444e-05
33.40000, 1.40999e-05
33.60000, -4.20933e-06
33.80000, -1.31697e-05
34.00000, 4.02813e-05
34.20000, -7.71332e-05
34.40000, 1.17839e-04
34.60000, -1.50345e-04
34.80000, 1.62787e-04
35.00000, -1.51879e-04
35.20000, 1.24758e-04
35.40000, -9.25295e-05
35.60000, 6.29357e-05
35.80000, -3.87805e-05
36.00000, 2.05904e-05
36.20000, -8.43893e-06
36.40000, 1.67629e-06
36.60000, 1.27354e-06
36.80000, -2.05802e-06
37.00000, 1.67272e-06
37.20000, -7.25221e-07
37.40000, -1.00218e-07
37.60000, 4.45498e-07
37.80000, -1.24111e-06
38.00000, 4.78016e-06
38.20000, -1.30402e-05
38.40000, 2.51948e-05
38.60000, -3.65837e-05
38.80000, 4.08366e-05
39.00000, -3.42146e-05
39.20000, 1.86135e-05
39.40000, -3.44387e-07
39.60000, -1.41523e-05
39.80000, 2.17004e-05
40.00000, -2.26495e-05
40.20000, 1.92121e-05
40.40000, -1.39394e-05
40.60000, 8.86247e-06
40.80000, -4.87125e-06
41.00000, 1.49594e-06
41.20000, 2.13102e-06
41.40000, -5.29247e-06
41.60000, 4.58464e-06
41.80000, 4.40060e-06
42.00000, -2.32181e-05
42.20000, 4.76414e-05
42.40000, -6.85564e-05
42.60000, 7.64781e-05
42.80000, -6.57857e-05
43.00000, 3.43436e-05
43.20000, 2.09862e-05
43.40000, -1.06917e-04
43.60000, 2.29701e-04
43.80000, -3.87366e-04
44.00000, 5.64782e-04
44.20000, -7.33232e-04
44.40000, 8.53226e-04
44.60000, -8.84784e-04
44.80000, 8.08050e-04
45.00000, -6.39771e-04
45.20000, 4.25172e-04
45.40000, -2.10966e-04
45.60000, 2.83234e-05
45.80000, 1.03593e-04
46.00000, -1.72637e-04
46.20000, 1.80103e-04
46.40000, -1.45840e-04
46.60000, 9.89888e-05
46.80000, -6.17310e-05
47.00000, 4.08316e-05
47.20000, -3.08510e-05
47.40000, 2.28275e-05
47.60000, -1.15688e-05
47.80000, -1.94733e-06
48.00000, 1.31085e-05
48.20000, -1.81831e-05
48.40000, 1.69957e-05
48.60000, -1.22506e-05
48.80000, 7.08848e-06
49.00000, -3.30499e-06
49.20000, 1.17153e-06
49.40000, -1.84275e-07
49.60000, -2.28813e-07
49.80000, 4.16781e-07
50.00000, -5.09973e-07
50.20000, 5.23319e-07
50.40000, -4.54380e-07
50.60000, 3.31053e-07
50.80000, -2.01816e-07
51.00000, 1.03233e-07
51.20000, -4.49964e-08
51.40000, 1.84773e-08
51.60000, -1.05472e-08
51.80000, 9.77934e-09
52.00000, -2.29090e-09
52.20000, -4.51641e-08
52.40000, 2.14460e-07
52.60000, -6.54005e-07
52.80000, 1.52662e-06
53.00000, -2.84894e-06
53.20000, 4.32016e-06
53.40000, -5.37071e-06
53.60000, 5.52171e-06
53.80000, -4.76359e-06
54.00000, 3.54275e-06
54.20000, -2.36383e-06
54.40000, 1.44760e-06
54.60000, -7.46016e-07
54.80000, 1.66371e-07
55.00000, 2.89938e-07
55.20000, -5.59267e-07
55.40000, 6.10546e-07
55.60000, -4.92339e-07
55.80000, 3.06220e-07
56.00000, -1.45207e-07
56.20000, 5.12106e-08
56.40000, -1.65563e-08
56.60000, 1.30999e-08
56.80000, -1.78171e-08
57.00000, 2.05569e-08
57.20000, -1.98101e-08
57.40000, 1.69031e-08
57.60000, -1.31433e-08
57.80000, 9.31236e-09
58.00000, -5.88609e-09
58.20000, 3.19477e-09
58.40000, -1.37876e-09
58.60000, 2.17014e-10
58.80000, 9.34311e-10
59.00000, -2.86076e-09
59.20000, 6.02604e-09
59.40000, -1.04214e-08
59.60000, 1.58955e-08
59.80000, -2.25056e-08
60.00000, 3.04106e-08
60.20000, -3.93920e-08
60.40000, 4.83364e-08
60.60000, -5.47499e-08
60.80000, 5.46515e-08
61.00000, -4.40773e-08
61.20000, 2.25614e-08
61.40000, 4.27772e-09
61.60000, -2.69138e-08
61.80000, 3.81380e-08
62.00000, -3.75636e-08
62.20000, 3.02510e-08
62.40000, -2.16906e-08
62.60000, 1.44149e-08
62.80000, -8.38114e-09
63.00000, 3.06886e-09
63.20000, 1.33413e-09
63.40000, -4.20652e-09
63.60000, 5.25968e-09
63.80000, -4.89072e-09
64.00000, 3.93692e-09
64.20000, -3.14806e-09
64.40000, 2.79353e-09
64.60000, -2.64152e-09
64.80000, 2.25812e-09
65.00000, -1.37936e-09
65.20000, 1.21732e-10
65.40000, 1.05782e-09
65.60000, -1.58927e-09
65.80000, 1.05587e-09
66.00000, 5.95649e-10
66.20000, -2.88457e-09
66.40000, 4.74814e-09
66.60000, -4.92314e-09
66.80000, 2.81004e-09
67.00000, 8.75738e-10
67.20000, -4.48496e-09
67.40000, 6.61249e-09
67.60000, -6.92176e-09
67.80000, 5.96908e-09
68.00000, -4.50316e-09
68.20000, 2.98989e-09
68.40000, -1.56670e-09
68.60000, 2.09163e-10
68.80000, 1.09428e-09
69.00000, -2.23991e-09
69.20000, 3.01306e-09
69.40000, -3.19448e-09
69.60000, 2.69634e-09
69.80000, -1.62914e-09
70.00000, 2.54911e-10
70.20000, 1.13185e-09
70.40000, -2.31004e-09
70.60000, 3.16746e-09
70.80000, -3.67462e-09
71.00000, 3.84685e-09
71.20000, -3.72812e-09
71.40000, 3.39032e-09
71.60000, -2.92696e-09
71.80000, 2.43945e-09
72.00000, -2.02590e-09
72.20000, 1.76662e-09
72.40000, -1.69276e-09
72.60000, 1.75548e-09
72.80000, -1.83815e-09
73.00000, 1.81989e-09
73.20000, -1.64063e-09
73.40000, 1.31640e-09
73.60000, -9.08269e-10
73.80000, 4.86092e-10
74.00000, -1.11278e-10
74.20000, -1.68957e-10
74.40000, 3.28102e-10
74.60000, -3.66823e-10
74.80000, 3.14329e-10
75.00000, -2.22324e-10
75.20000, 1.47467e-10
75.40000, -1.21576e-10
75.60000, 1.28209e-10
75.80000, -1.15684e-10
76.00000, 4.79493e-11
76.20000, 5.18124e-11
76.40000, -1.13556e-10
76.60000, 8.36583e-11
76.80000, 2.15815e-11
77.00000, -1.29317e-10
77.20000, 1.81544e-10
77.40000, -1.90161e-10
77.60000, 2.13924e-10
77.80000, -2.83404e-10
78.00000, 3.61278e-10
78.20000, -3.81703e-10
78.40000, 3.18853e-10
78.60000, -2.05641e-10
78.80000, 8.61786e-11
79.00000, 4.06154e-11
79.20000, -2.22353e-10
79.40000, 4.95369e-10
79.60000, -8.25766e-10
79.80000, 1.11198e-09
80.00000, -1.25398e-09
80.20000, 1.22958e-09
80.40000, -1.10896e-09
80.60000, 9.95425e-10
80.80000, -9.47316e-10
81.00000, 9.48854e-10
81.20000, -9.45913e-10
81.40000, 9.01372e-10
81.60000, -8.15416e-10
81.80000, 7.01989e-10
82.00000, -5.59318e-10
82.20000, 3.71633e-10
82.40000, -1.38256e-10
82.60000, -1.06480e-10
82.80000, 3.10541e-10
83.00000, -4.47701e-10
83.20000, 5.46557e-10
83.40000, -6.73654e-10
83.60000, 8.79359e-10
83.80000, -1.14854e-09
84.00000, 1.39654e-09
84.20000, -1.51690e-09
84.40000, 1.44915e-09
84.60000, -1.22057e-09
84.80000, 9.32899e-10
85.00000, -7.00164e-10
85.20000, 5.80039e-10
85.40000, -5.50867e-10
85.60000, 5.49881e-10
85.80000, -5.30436e-10
86.00000, 4.82845e-10
86.20000, -4.12736e-10
86.40000, 3.18492e-10
86.60000, -1.95860e-10
86.80000, 5.44507e-11
87.00000, 7.74003e-11
87.20000, -1.58482e-10
87.40000, 1.43298e-10
87.60000, 3.46722e-13
87.80000, -2.61878e-10
88.00000, 5.69442e-10
88.20000, -8.11902e-10
88.40000, 8.99825e-10
88.60000, -8.26490e-10
88.80000, 6.82868e-10
89.00000, -6.05503e-10
89.20000, 6.78993e-10
89.40000, -8.60567e-10
89.60000, 1.00571e-09
89.80000, -1.00196e-09
90.00000, 8.94728e-10
90.20000, -8.57549e-10
90.40000, 1.00642e-09
90.60000, -1.24481e-09
90.80000, 1.32861e-09
91.00000, -1.13324e-09
91.20000, 8.72697e-10
91.40000, -9.87204e-10
91.60000, 1.70210e-09
91.80000, -2.67070e-09
92.00000, 3.14395e-09
92.20000, -2.57775e-09
92.40000, 1.07226e-09
92.60000, 7.90932e-10
92.80000, -2.47047e-09
93.00000, 3.76691e-09
93.20000, -4.70652e-09
93.40000, 5.31204e-09
93.60000, -5.54068e-09
93.80000, 5.34485e-09
94.00000, -4.73184e-09
94.20000, 3.80621e-09
94.40000, -2.77365e-09
94.60000, 1.86080e-09
94.80000, -1.20425e-09
95.00000, 8.18630e-10
95.20000, -6.57219e-10
95.40000, 6.78462e-10
